region_id,region_name,parent_region_id,parent_region_name,depth,is_leaf,child_count,shortname,species,rgb
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP7_FRONTAL_OPERCULUM,Area Op7 (Frontal Operculum),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_OPERCULUM,frontal operculum,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP7_FRONTAL_OPERCULUM_RIGHT,Area Op7 (Frontal Operculum) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP7_FRONTAL_OPERCULUM,Area Op7 (Frontal Operculum),6,True,0,,Homo sapiens,"(133, 116, 192)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP7_FRONTAL_OPERCULUM_LEFT,Area Op7 (Frontal Operculum) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP7_FRONTAL_OPERCULUM,Area Op7 (Frontal Operculum),6,True,0,,Homo sapiens,"(133, 116, 192)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP9_FRONTAL_OPERCULUM,Area Op9 (Frontal Operculum),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_OPERCULUM,frontal operculum,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP9_FRONTAL_OPERCULUM_RIGHT,Area Op9 (Frontal Operculum) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP9_FRONTAL_OPERCULUM,Area Op9 (Frontal Operculum),6,True,0,,Homo sapiens,"(174, 122, 33)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP9_FRONTAL_OPERCULUM_LEFT,Area Op9 (Frontal Operculum) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP9_FRONTAL_OPERCULUM,Area Op9 (Frontal Operculum),6,True,0,,Homo sapiens,"(174, 122, 33)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP8_FRONTAL_OPERCULUM,Area Op8 (Frontal Operculum),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_OPERCULUM,frontal operculum,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP8_FRONTAL_OPERCULUM_RIGHT,Area Op8 (Frontal Operculum) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP8_FRONTAL_OPERCULUM,Area Op8 (Frontal Operculum),6,True,0,,Homo sapiens,"(29, 75, 168)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP8_FRONTAL_OPERCULUM_LEFT,Area Op8 (Frontal Operculum) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP8_FRONTAL_OPERCULUM,Area Op8 (Frontal Operculum),6,True,0,,Homo sapiens,"(29, 75, 168)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_INFERIOR_FRONTAL_SULCUS,inferior frontal sulcus,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FRONTAL_LOBE,frontal lobe,4,False,6,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS4_IFS,Area IFS4 (IFS),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_INFERIOR_FRONTAL_SULCUS,inferior frontal sulcus,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS4_IFS_RIGHT,Area IFS4 (IFS) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS4_IFS,Area IFS4 (IFS),6,True,0,,Homo sapiens,"(31, 72, 124)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS4_IFS_LEFT,Area IFS4 (IFS) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS4_IFS,Area IFS4 (IFS),6,True,0,,Homo sapiens,"(31, 72, 124)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS2_IFS,Area IFS2 (IFS),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_INFERIOR_FRONTAL_SULCUS,inferior frontal sulcus,5,False,2,,Homo sapiens,
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS2_IFS_RIGHT,Area IFS2 (IFS) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS2_IFS,Area IFS2 (IFS),6,True,0,,Homo sapiens,"(255, 0, 0)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS2_IFS_LEFT,Area IFS2 (IFS) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS2_IFS,Area IFS2 (IFS),6,True,0,,Homo sapiens,"(255, 0, 0)"
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS1_IFS,Area IFS1 (IFS),JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_INFERIOR_FRONTAL_SULCUS,inferior frontal sulcus,5,False,2,,Homo sapiens,
