source_region_id,source_region_name,parent_region_id,parent_region_name,hemisphere,biological_base_name,granularity_level,species_taxon_id,canonical_candidate,circuit_discovery_eligible,normalized_name_en,normalized_name_zh,name_en_status,name_zh_status,identity_note
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_CE_AMYGDALA_LEFT,CM.Ce (Amygdala) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA_LEFT,CM (Amygdala) left,left,CM.Ce (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,CM.Ce (Amygdala) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_ME_AMYGDALA_LEFT,CM.Me (Amygdala) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CM_AMYGDALA_LEFT,CM (Amygdala) left,left,CM.Me (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,CM.Me (Amygdala) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BL_AMYGDALA_RIGHT,LB.Bl (Amygdala) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA_RIGHT,LB (Amygdala) right,right,LB.Bl (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,LB.Bl (Amygdala) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BM_AMYGDALA_RIGHT,LB.Bm (Amygdala) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA_RIGHT,LB (Amygdala) right,right,LB.Bm (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,LB.Bm (Amygdala) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_PL_AMYGDALA_RIGHT,LB.Pl (Amygdala) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA_RIGHT,LB (Amygdala) right,right,LB.Pl (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,LB.Pl (Amygdala) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_LA_AMYGDALA_RIGHT,LB.La (Amygdala) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA_RIGHT,LB (Amygdala) right,right,LB.La (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,LB.La (Amygdala) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BL_AMYGDALA_LEFT,LB.Bl (Amygdala) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA_LEFT,LB (Amygdala) left,left,LB.Bl (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,LB.Bl (Amygdala) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_BM_AMYGDALA_LEFT,LB.Bm (Amygdala) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA_LEFT,LB (Amygdala) left,left,LB.Bm (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,LB.Bm (Amygdala) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_PL_AMYGDALA_LEFT,LB.Pl (Amygdala) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA_LEFT,LB (Amygdala) left,left,LB.Pl (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,LB.Pl (Amygdala) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_LA_AMYGDALA_LEFT,LB.La (Amygdala) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA_LEFT,LB (Amygdala) left,left,LB.La (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,LB.La (Amygdala) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AHI_AMYGDALA_RIGHT,SF.AHi (Amygdala) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA_RIGHT,SF (Amygdala) right,right,SF.AHi (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,SF.AHi (Amygdala) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_APIR_AMYGDALA_RIGHT,SF.APir (Amygdala) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA_RIGHT,SF (Amygdala) right,right,SF.APir (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,SF.APir (Amygdala) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_VCO_AMYGDALA_RIGHT,SF.VCo (Amygdala) right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA_RIGHT,SF (Amygdala) right,right,SF.VCo (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,SF.VCo (Amygdala) right,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AHI_AMYGDALA_LEFT,SF.AHi (Amygdala) left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA_LEFT,SF (Amygdala) left,left,SF.AHi (Amygdala),G4_MICROSTRUCTURAL_FINE,9606,true,true,SF.AHi (Amygdala) left,,source,MISSING,Julich-Brain v3.1 leaf; hemisphere-specific G4 candidate
