relation_id,fine_region_id,fine_name,granularity,atlas,hemisphere,historical_status,proposed_g1_id,proposed_g1_name,proposed_containment,proposed_rank,proposed_dice,best_g1_id,best_containment,second_best_g1_id,second_best_containment,best_non_proposed_g1_id,best_non_proposed_score,margin_vs_best_competitor,fine_voxels,outside_union_voxels,outside_union_fraction,v3_historical,flags,left_fraction,right_fraction,correct_side_fraction,contralateral_fraction
NGIQ-BR-00000065,NGIQ-BR-00000065,OrG_L_6_5,G3_MESO_FINE,Brainnetome,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000280,Left Medial Orbitofrontal Cortex,0.16784,1,0.21058,NGIQ-BR-00000280,0.16784,NGIQ-BR-00000278,0.1122,NGIQ-BR-00000278,0.1122,0.05564,7531,5420,0.71969,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000069,NGIQ-BR-00000069,PrG_L_6_1,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000290,Left Precentral Gyrus,0.46287,1,0.3423,NGIQ-BR-00000290,0.46287,NGIQ-BR-00000288,0.0092,NGIQ-BR-00000288,0.0092,0.45366,7823,4130,0.52793,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000071,NGIQ-BR-00000071,PrG_L_6_2,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000290,Left Precentral Gyrus,0.32115,1,0.21019,NGIQ-BR-00000290,0.32115,NGIQ-BR-00000270,0.02667,NGIQ-BR-00000270,0.02667,0.29448,6486,4182,0.64477,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000073,NGIQ-BR-00000073,PrG_L_6_3,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000290,Left Precentral Gyrus,0.40291,1,0.21612,NGIQ-BR-00000290,0.40291,NGIQ-BR-00000288,0.03417,NGIQ-BR-00000288,0.03417,0.36873,4887,2751,0.56292,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000075,NGIQ-BR-00000075,PrG_L_6_4,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000290,Left Precentral Gyrus,0.38564,1,0.11161,NGIQ-BR-00000290,0.38564,NGIQ-BR-00000283,0.02039,NGIQ-BR-00000283,0.02039,0.36525,2256,1339,0.59353,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000077,NGIQ-BR-00000077,PrG_L_6_5,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000290,Left Precentral Gyrus,0.43813,1,0.18876,NGIQ-BR-00000290,0.43813,NGIQ-BR-00000288,0.02677,NGIQ-BR-00000288,0.02677,0.41136,3661,1906,0.52062,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000079,NGIQ-BR-00000079,PrG_L_6_6,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000290,Left Precentral Gyrus,0.27933,1,0.18038,NGIQ-BR-00000290,0.27933,NGIQ-BR-00000284,0.01478,NGIQ-BR-00000284,0.01478,0.26455,6358,4452,0.70022,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000081,NGIQ-BR-00000081,PCL_L_2_1,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000283,Left Paracentral Lobule,0.41861,1,0.33866,NGIQ-BR-00000283,0.41861,NGIQ-BR-00000290,0.0165,NGIQ-BR-00000290,0.0165,0.40212,3213,1804,0.56147,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,0.98164,0.01836,0.98164,0.01836
NGIQ-BR-00000083,NGIQ-BR-00000083,PCL_L_2_2,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000283,Left Paracentral Lobule,0.44526,1,0.4213,NGIQ-BR-00000283,0.44526,NGIQ-BR-00000290,0.00188,NGIQ-BR-00000290,0.00188,0.44337,4247,2346,0.55239,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,0.95456,0.04544,0.95456,0.04544
NGIQ-BR-00000085,NGIQ-BR-00000085,STG_L_6_2,G3_MESO_FINE,Brainnetome,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000296,Left Superior Temporal Gyrus,0.38456,1,0.2004,NGIQ-BR-00000296,0.38456,NGIQ-BR-00000298,0.0279,NGIQ-BR-00000298,0.0279,0.35666,4015,2336,0.58182,FROZEN_DECISION_PREVAILS,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000089,NGIQ-BR-00000089,STG_L_6_4,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000296,Left Superior Temporal Gyrus,0.37922,1,0.23883,NGIQ-BR-00000296,0.37922,NGIQ-BR-00000297,0.00726,NGIQ-BR-00000297,0.00726,0.37197,5237,3208,0.61256,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000091,NGIQ-BR-00000091,STG_L_6_5,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000296,Left Superior Temporal Gyrus,0.46871,1,0.26094,NGIQ-BR-00000296,0.46871,NGIQ-BR-00000269,0.0,NGIQ-BR-00000269,0.0,0.46871,4395,2335,0.53129,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000093,NGIQ-BR-00000093,STG_L_6_6,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000296,Left Superior Temporal Gyrus,0.43798,1,0.29807,NGIQ-BR-00000296,0.43798,NGIQ-BR-00000269,0.0,NGIQ-BR-00000269,0.0,0.43798,5877,3303,0.56202,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000095,NGIQ-BR-00000095,MTG_L_4_2,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000281,Left Middle Temporal Gyrus,0.31198,1,0.28107,NGIQ-BR-00000281,0.31198,NGIQ-BR-00000296,0.0337,NGIQ-BR-00000296,0.0337,0.27827,7180,4697,0.65418,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
NGIQ-BR-00000097,NGIQ-BR-00000097,MTG_L_4_3,G3_MESO_FINE,Brainnetome,left,APPROVE_CONTAINED_IN,NGIQ-BR-00000281,Left Middle Temporal Gyrus,0.27231,1,0.19952,NGIQ-BR-00000281,0.27231,NGIQ-BR-00000274,0.00415,NGIQ-BR-00000274,0.00415,0.26817,5064,3664,0.72354,NOT_IN_CLASSIFICATION,PROPOSED_RANK_1|LOW_CONTAINMENT|HIGH_OUTSIDE_UNION,1.0,0.0,1.0,0.0
