label_id,label_name,hemisphere,dk_name
2011,ctx-rh-lateraloccipital,right,lateraloccipital
2012,ctx-rh-lateralorbitofrontal,right,lateralorbitofrontal
2013,ctx-rh-lingual,right,lingual
2014,ctx-rh-medialorbitofrontal,right,medialorbitofrontal
2015,ctx-rh-middletemporal,right,middletemporal
2016,ctx-rh-parahippocampal,right,parahippocampal
2017,ctx-rh-paracentral,right,paracentral
2018,ctx-rh-parsopercularis,right,parsopercularis
2019,ctx-rh-parsorbitalis,right,parsorbitalis
2020,ctx-rh-parstriangularis,right,parstriangularis
2021,ctx-rh-pericalcarine,right,pericalcarine
2022,ctx-rh-postcentral,right,postcentral
2023,ctx-rh-posteriorcingulate,right,posteriorcingulate
2024,ctx-rh-precentral,right,precentral
2025,ctx-rh-precuneus,right,precuneus
2026,ctx-rh-rostralanteriorcingulate,right,rostralanteriorcingulate
2027,ctx-rh-rostralmiddlefrontal,right,rostralmiddlefrontal
2028,ctx-rh-superiorfrontal,right,superiorfrontal
2029,ctx-rh-superiorparietal,right,superiorparietal
2030,ctx-rh-superiortemporal,right,superiortemporal
2031,ctx-rh-supramarginal,right,supramarginal
2032,ctx-rh-frontalpole,right,frontalpole
2033,ctx-rh-temporalpole,right,temporalpole
2034,ctx-rh-transversetemporal,right,transversetemporal
2035,ctx-rh-insula,right,insula
2100,ctx-rh-Unknown,right,Unknown
2101,ctx-rh-Corpus_callosum,right,Corpus_callosum
2102,ctx-rh-G_and_S_Insula_ONLY_AVERAGE,right,G_and_S_Insula_ONLY_AVERAGE
2103,ctx-rh-G_cingulate-Isthmus,right,G_cingulate-Isthmus
2104,ctx-rh-G_cingulate-Main_part,right,G_cingulate-Main_part
2105,ctx-rh-G_cuneus,right,G_cuneus
2106,ctx-rh-G_frontal_inf-Opercular_part,right,G_frontal_inf-Opercular_part
2107,ctx-rh-G_frontal_inf-Orbital_part,right,G_frontal_inf-Orbital_part
2108,ctx-rh-G_frontal_inf-Triangular_part,right,G_frontal_inf-Triangular_part
2109,ctx-rh-G_frontal_middle,right,G_frontal_middle
2110,ctx-rh-G_frontal_superior,right,G_frontal_superior
2111,ctx-rh-G_frontomarginal,right,G_frontomarginal
2112,ctx-rh-G_insular_long,right,G_insular_long
2113,ctx-rh-G_insular_short,right,G_insular_short
2114,ctx-rh-G_and_S_occipital_inferior,right,G_and_S_occipital_inferior
2115,ctx-rh-G_occipital_middle,right,G_occipital_middle
2116,ctx-rh-G_occipital_superior,right,G_occipital_superior
2117,ctx-rh-G_occipit-temp_lat-Or_fusiform,right,G_occipit-temp_lat-Or_fusiform
2118,ctx-rh-G_occipit-temp_med-Lingual_part,right,G_occipit-temp_med-Lingual_part
2119,ctx-rh-G_occipit-temp_med-Parahippocampal_part,right,G_occipit-temp_med-Parahippocampal_part
2120,ctx-rh-G_orbital,right,G_orbital
2121,ctx-rh-G_paracentral,right,G_paracentral
2122,ctx-rh-G_parietal_inferior-Angular_part,right,G_parietal_inferior-Angular_part
2123,ctx-rh-G_parietal_inferior-Supramarginal_part,right,G_parietal_inferior-Supramarginal_part
2124,ctx-rh-G_parietal_superior,right,G_parietal_superior
2125,ctx-rh-G_postcentral,right,G_postcentral
2126,ctx-rh-G_precentral,right,G_precentral
2127,ctx-rh-G_precuneus,right,G_precuneus
2128,ctx-rh-G_rectus,right,G_rectus
2129,ctx-rh-G_subcallosal,right,G_subcallosal
2130,ctx-rh-G_subcentral,right,G_subcentral
2131,ctx-rh-G_temporal_inferior,right,G_temporal_inferior
2132,ctx-rh-G_temporal_middle,right,G_temporal_middle
2133,ctx-rh-G_temp_sup-G_temp_transv_and_interm_S,right,G_temp_sup-G_temp_transv_and_interm_S
2134,ctx-rh-G_temp_sup-Lateral_aspect,right,G_temp_sup-Lateral_aspect
2135,ctx-rh-G_temp_sup-Planum_polare,right,G_temp_sup-Planum_polare
2136,ctx-rh-G_temp_sup-Planum_tempolare,right,G_temp_sup-Planum_tempolare
2137,ctx-rh-G_and_S_transverse_frontopolar,right,G_and_S_transverse_frontopolar
2138,ctx-rh-Lat_Fissure-ant_sgt-ramus_horizontal,right,Lat_Fissure-ant_sgt-ramus_horizontal
2139,ctx-rh-Lat_Fissure-ant_sgt-ramus_vertical,right,Lat_Fissure-ant_sgt-ramus_vertical
2140,ctx-rh-Lat_Fissure-post_sgt,right,Lat_Fissure-post_sgt
2141,ctx-rh-Medial_wall,right,Medial_wall
2142,ctx-rh-Pole_occipital,right,Pole_occipital
2143,ctx-rh-Pole_temporal,right,Pole_temporal
2144,ctx-rh-S_calcarine,right,S_calcarine
2145,ctx-rh-S_central,right,S_central
2146,ctx-rh-S_central_insula,right,S_central_insula
2147,ctx-rh-S_cingulate-Main_part_and_Intracingulate,right,S_cingulate-Main_part_and_Intracingulate
2148,ctx-rh-S_cingulate-Marginalis_part,right,S_cingulate-Marginalis_part
2149,ctx-rh-S_circular_insula_anterior,right,S_circular_insula_anterior
2150,ctx-rh-S_circular_insula_inferior,right,S_circular_insula_inferior
2151,ctx-rh-S_circular_insula_superior,right,S_circular_insula_superior
2152,ctx-rh-S_collateral_transverse_ant,right,S_collateral_transverse_ant
2153,ctx-rh-S_collateral_transverse_post,right,S_collateral_transverse_post
2154,ctx-rh-S_frontal_inferior,right,S_frontal_inferior
2155,ctx-rh-S_frontal_middle,right,S_frontal_middle
2156,ctx-rh-S_frontal_superior,right,S_frontal_superior
2157,ctx-rh-S_frontomarginal,right,S_frontomarginal
2158,ctx-rh-S_intermedius_primus-Jensen,right,S_intermedius_primus-Jensen
2159,ctx-rh-S_intraparietal-and_Parietal_transverse,right,S_intraparietal-and_Parietal_transverse
2160,ctx-rh-S_occipital_anterior,right,S_occipital_anterior
2161,ctx-rh-S_occipital_middle_and_Lunatus,right,S_occipital_middle_and_Lunatus
2162,ctx-rh-S_occipital_superior_and_transversalis,right,S_occipital_superior_and_transversalis
2163,ctx-rh-S_occipito-temporal_lateral,right,S_occipito-temporal_lateral
2164,ctx-rh-S_occipito-temporal_medial_and_S_Lingual,right,S_occipito-temporal_medial_and_S_Lingual
2165,ctx-rh-S_orbital-H_shapped,right,S_orbital-H_shapped
2166,ctx-rh-S_orbital_lateral,right,S_orbital_lateral
2167,ctx-rh-S_orbital_medial-Or_olfactory,right,S_orbital_medial-Or_olfactory
2168,ctx-rh-S_paracentral,right,S_paracentral
2169,ctx-rh-S_parieto_occipital,right,S_parieto_occipital
2170,ctx-rh-S_pericallosal,right,S_pericallosal
2171,ctx-rh-S_postcentral,right,S_postcentral
2172,ctx-rh-S_precentral-Inferior-part,right,S_precentral-Inferior-part
2173,ctx-rh-S_precentral-Superior-part,right,S_precentral-Superior-part
2174,ctx-rh-S_subcentral_ant,right,S_subcentral_ant
2175,ctx-rh-S_subcentral_post,right,S_subcentral_post
2176,ctx-rh-S_suborbital,right,S_suborbital
2177,ctx-rh-S_subparietal,right,S_subparietal
2178,ctx-rh-S_supracingulate,right,S_supracingulate
2179,ctx-rh-S_temporal_inferior,right,S_temporal_inferior
2180,ctx-rh-S_temporal_superior,right,S_temporal_superior
2181,ctx-rh-S_temporal_transverse,right,S_temporal_transverse
2200,ctx-rh-G_cingulate-caudal_ACC,right,G_cingulate-caudal_ACC
2201,ctx-rh-G_cingulate-rostral_ACC,right,G_cingulate-rostral_ACC
2202,ctx-rh-G_cingulate-posterior,right,G_cingulate-posterior
2205,ctx-rh-S_cingulate-caudal_ACC,right,S_cingulate-caudal_ACC
2206,ctx-rh-S_cingulate-rostral_ACC,right,S_cingulate-rostral_ACC
2207,ctx-rh-S_cingulate-posterior,right,S_cingulate-posterior
2210,ctx-rh-S_pericallosal-caudal,right,S_pericallosal-caudal
2211,ctx-rh-S_pericallosal-rostral,right,S_pericallosal-rostral
2212,ctx-rh-S_pericallosal-posterior,right,S_pericallosal-posterior
9000,ctx-lh-prefrontal,left,prefrontal
9001,ctx-lh-primary-motor,left,primary-motor
9002,ctx-lh-premotor,left,premotor
9003,ctx-lh-temporal,left,temporal
9004,ctx-lh-posterior-parietal,left,posterior-parietal
9005,ctx-lh-prim-sec-somatosensory,left,prim-sec-somatosensory
9006,ctx-lh-occipital,left,occipital
9500,ctx-rh-prefrontal,right,prefrontal
9501,ctx-rh-primary-motor,right,primary-motor
9502,ctx-rh-premotor,right,premotor
9503,ctx-rh-temporal,right,temporal
9504,ctx-rh-posterior-parietal,right,posterior-parietal
9505,ctx-rh-prim-sec-somatosensory,right,prim-sec-somatosensory
9506,ctx-rh-occipital,right,occipital
