fine_region_id,hemisphere,gm_mass,raw_proposed_containment,gm_weighted_proposed_containment,raw_proposed_rank,gm_weighted_rank,raw_best_competitor,gm_best_non_proposed_id,gm_best_non_proposed_score,gm_margin,gm_inside_full_dk_fraction,gm_outside_full_dk_fraction
NGIQ-BR-00000052,right,2126.38,0.2955,0.32923,1,1,NGIQ-BR-00000324,NGIQ-BR-00000324,0.00183,0.3274,0.29802,0.70198
NGIQ-BR-00000056,right,1509.16,0.3984,0.47626,1,1,NGIQ-BR-00000321,NGIQ-BR-00000321,0.04101,0.43525,0.43137,0.56863
NGIQ-BR-00000058,right,4237.71,0.32352,0.33256,1,1,NGIQ-BR-00000325,NGIQ-BR-00000325,0.02676,0.3058,0.35841,0.64159
NGIQ-BR-00000062,right,7018.79,0.4628,0.50927,1,1,NGIQ-BR-00000316,NGIQ-BR-00000316,0.02061,0.48866,0.48952,0.51048
NGIQ-BR-00000066,right,4974.37,0.22754,0.24117,1,1,NGIQ-BR-00000309,NGIQ-BR-00000309,0.11295,0.12822,0.32904,0.67096
NGIQ-BR-00000070,right,2617.07,0.50142,0.58644,1,1,NGIQ-BR-00000319,NGIQ-BR-00000319,0.01396,0.57248,0.51581,0.48419
NGIQ-BR-00000072,right,3898.8,0.29978,0.30763,1,1,NGIQ-BR-00000325,NGIQ-BR-00000325,0.01937,0.28826,0.34019,0.65981
NGIQ-BR-00000074,right,2542.91,0.39103,0.4213,1,1,NGIQ-BR-00000319,NGIQ-BR-00000319,0.03298,0.38833,0.41391,0.58609
NGIQ-BR-00000076,right,1210.58,0.34435,0.47065,1,1,NGIQ-BR-00000314,NGIQ-BR-00000314,0.0166,0.45405,0.36276,0.63724
NGIQ-BR-00000078,right,2248.99,0.43452,0.52496,1,1,NGIQ-BR-00000315,NGIQ-BR-00000315,0.01697,0.50799,0.45909,0.54091
NGIQ-BR-00000080,right,3811.58,0.28599,0.31207,1,1,NGIQ-BR-00000301,NGIQ-BR-00000301,0.00164,0.31043,0.28775,0.71225
NGIQ-BR-00000082,right,2471.75,0.39484,0.414,1,1,NGIQ-BR-00000322,NGIQ-BR-00000322,0.02523,0.38877,0.42452,0.57548
NGIQ-BR-00000084,right,2795.02,0.39314,0.42582,1,1,NGIQ-BR-00000321,NGIQ-BR-00000321,0.00144,0.42438,0.39461,0.60539
NGIQ-BR-00000086,right,2038.27,0.3362,0.31532,1,1,NGIQ-BR-00000329,NGIQ-BR-00000329,0.08563,0.22969,0.41104,0.58896
NGIQ-BR-00000090,right,2860.44,0.37777,0.46503,1,1,NGIQ-BR-00000328,NGIQ-BR-00000328,0.00292,0.46211,0.39907,0.60093
NGIQ-BR-00000092,right,3782.9,0.43371,0.58517,1,1,NGIQ-BR-00000330,NGIQ-BR-00000330,0.00048,0.58469,0.43406,0.56594
NGIQ-BR-00000094,right,2102.23,0.52515,0.61367,1,1,NGIQ-BR-00000312,NGIQ-BR-00000312,0.00511,0.60856,0.5356,0.4644
