fine_region_id,hemisphere,fine_voxels,inside_selected62_voxels,inside_selected62_fraction,outside_selected62_fraction,inside_full_dk_fraction,inside_omitted_dk_fraction,outside_full_dk_fraction,conservation_check
NGIQ-BR-00000123,left,1254,646,0.51515,0.48485,0.51515,0.0,0.48485,1.0
NGIQ-BR-00000125,left,1344,623,0.46354,0.53646,0.46354,0.0,0.53646,1.0
NGIQ-BR-00000127,left,1540,793,0.51494,0.48506,0.51494,0.0,0.48506,1.0
NGIQ-BR-00000129,left,771,246,0.31907,0.68093,0.32036,0.0013,0.67964,1.0
NGIQ-BR-00000131,left,1104,437,0.39583,0.60417,0.39583,0.0,0.60417,1.0
NGIQ-BR-00000137,left,4580,1381,0.30153,0.69847,0.30153,0.0,0.69847,1.0
NGIQ-BR-00000139,left,4713,1299,0.27562,0.72438,0.27562,0.0,0.72438,1.0
NGIQ-BR-00000141,left,4600,1320,0.28696,0.71304,0.28696,0.0,0.71304,1.0
NGIQ-BR-00000143,left,4267,801,0.18772,0.81228,0.18772,0.0,0.81228,1.0
NGIQ-BR-00000145,left,7842,1993,0.25414,0.74586,0.25414,0.0,0.74586,1.0
NGIQ-BR-00000147,left,8402,2306,0.27446,0.72554,0.27446,0.0,0.72554,1.0
NGIQ-BR-00000149,left,9503,3186,0.33526,0.66474,0.33526,0.0,0.66474,1.0
NGIQ-BR-00000151,left,12884,3258,0.25287,0.74713,0.25357,0.0007,0.74643,1.0
NGIQ-BR-00000153,left,8918,3151,0.35333,0.64667,0.35333,0.0,0.64667,1.0
NGIQ-BR-00000155,left,4401,1004,0.22813,0.77187,0.22813,0.0,0.77187,1.0
NGIQ-BR-00000157,left,4770,1577,0.33061,0.66939,0.33061,0.0,0.66939,1.0
NGIQ-BR-00000159,left,7419,2253,0.30368,0.69632,0.30368,0.0,0.69632,1.0
NGIQ-BR-00000161,left,6905,2283,0.33063,0.66937,0.33063,0.0,0.66937,1.0
NGIQ-BR-00000163,left,7897,2488,0.31506,0.68494,0.31506,0.0,0.68494,1.0
NGIQ-BR-00000165,left,5568,2727,0.48976,0.51024,0.48976,0.0,0.51024,1.0
NGIQ-BR-00000167,left,6715,2195,0.32688,0.67312,0.32688,0.0,0.67312,1.0
NGIQ-BR-00000169,left,5064,1561,0.30825,0.69175,0.30825,0.0,0.69175,1.0
NGIQ-BR-00000171,left,1859,1095,0.58903,0.41097,0.58903,0.0,0.41097,1.0
NGIQ-BR-00000173,left,2208,1276,0.5779,0.4221,0.5779,0.0,0.4221,1.0
NGIQ-BR-00000175,left,2234,1389,0.62175,0.37825,0.62175,0.0,0.37825,1.0
NGIQ-BR-00000177,left,2429,1541,0.63442,0.36558,0.63442,0.0,0.36558,1.0
NGIQ-BR-00000179,left,3289,1958,0.59532,0.40468,0.59532,0.0,0.40468,1.0
NGIQ-BR-00000187,left,3064,1408,0.45953,0.54047,0.45953,0.0,0.54047,1.0
NGIQ-BR-00000191,left,5219,2027,0.38839,0.61161,0.38839,0.0,0.61161,1.0
NGIQ-BR-00000193,left,5172,1632,0.31555,0.68445,0.31555,0.0,0.68445,1.0
NGIQ-BR-00000199,left,7124,2491,0.34966,0.65034,0.34966,0.0,0.65034,1.0
NGIQ-BR-00000203,left,6351,1457,0.22941,0.77059,0.22941,0.0,0.77059,1.0
NGIQ-BR-00000205,left,5982,1359,0.22718,0.77282,0.22718,0.0,0.77282,1.0
NGIQ-BR-00000207,left,7993,1939,0.24259,0.75741,0.24259,0.0,0.75741,1.0
NGIQ-BR-00000209,left,8708,1980,0.22738,0.77262,0.22738,0.0,0.77262,1.0
NGIQ-BR-00000002,right,7520,3342,0.44441,0.55559,0.44441,0.0,0.55559,1.0
NGIQ-BR-00000004,right,2841,702,0.2471,0.7529,0.2471,0.0,0.7529,1.0
NGIQ-BR-00000008,right,6159,2429,0.39438,0.60562,0.39568,0.0013,0.60432,1.0
NGIQ-BR-00000010,right,4842,1447,0.29884,0.70116,0.29884,0.0,0.70116,1.0
NGIQ-BR-00000012,right,9858,2615,0.26527,0.73473,0.26527,0.0,0.73473,1.0
NGIQ-BR-00000014,right,2265,1225,0.54084,0.45916,0.54084,0.0,0.45916,1.0
NGIQ-BR-00000016,right,5165,1344,0.26021,0.73979,0.26021,0.0,0.73979,1.0
NGIQ-BR-00000022,right,6521,2261,0.34673,0.65327,0.34673,0.0,0.65327,1.0
NGIQ-BR-00000024,right,7326,3770,0.51461,0.48539,0.51461,0.0,0.48539,1.0
NGIQ-BR-00000026,right,5415,2199,0.40609,0.59391,0.40609,0.0,0.59391,1.0
NGIQ-BR-00000028,right,6392,2085,0.32619,0.67381,0.32619,0.0,0.67381,1.0
NGIQ-BR-00000030,right,7818,3477,0.44474,0.55526,0.44474,0.0,0.55526,1.0
NGIQ-BR-00000032,right,8267,3481,0.42107,0.57893,0.42131,0.00024,0.57869,1.0
NGIQ-BR-00000034,right,9074,2440,0.2689,0.7311,0.2689,0.0,0.7311,1.0
NGIQ-BR-00000036,right,5257,1037,0.19726,0.80274,0.19726,0.0,0.80274,1.0
NGIQ-BR-00000038,right,8918,2828,0.31711,0.68289,0.31711,0.0,0.68289,1.0
NGIQ-BR-00000040,right,8742,2995,0.3426,0.6574,0.3426,0.0,0.6574,1.0
NGIQ-BR-00000044,right,5041,1828,0.36263,0.63737,0.36263,0.0,0.63737,1.0
NGIQ-BR-00000046,right,9023,3969,0.43988,0.56012,0.4442,0.00432,0.5558,1.0
NGIQ-BR-00000052,right,3577,1066,0.29802,0.70198,0.29802,0.0,0.70198,1.0
NGIQ-BR-00000056,right,2244,968,0.43137,0.56863,0.43137,0.0,0.56863,1.0
NGIQ-BR-00000058,right,6049,2167,0.35824,0.64176,0.35841,0.00017,0.64159,1.0
NGIQ-BR-00000062,right,10404,5084,0.48866,0.51134,0.48952,0.00087,0.51048,1.0
NGIQ-BR-00000066,right,6601,2172,0.32904,0.67096,0.32904,0.0,0.67096,1.0
NGIQ-BR-00000070,right,4587,2366,0.51581,0.48419,0.51581,0.0,0.48419,1.0
NGIQ-BR-00000072,right,6955,2366,0.34019,0.65981,0.34019,0.0,0.65981,1.0
NGIQ-BR-00000074,right,5465,2262,0.41391,0.58609,0.41391,0.0,0.58609,1.0
NGIQ-BR-00000076,right,3206,1163,0.36276,0.63724,0.36276,0.0,0.63724,1.0
NGIQ-BR-00000078,right,3459,1588,0.45909,0.54091,0.45909,0.0,0.54091,1.0
NGIQ-BR-00000080,right,5696,1639,0.28775,0.71225,0.28775,0.0,0.71225,1.0
NGIQ-BR-00000082,right,3875,1645,0.42452,0.57548,0.42452,0.0,0.57548,1.0
NGIQ-BR-00000084,right,4749,1874,0.39461,0.60539,0.39461,0.0,0.60539,1.0
NGIQ-BR-00000086,right,3260,1340,0.41104,0.58896,0.41104,0.0,0.58896,1.0
NGIQ-BR-00000090,right,4741,1801,0.37988,0.62012,0.39907,0.01919,0.60093,1.0
NGIQ-BR-00000092,right,5755,2498,0.43406,0.56594,0.43406,0.0,0.56594,1.0
NGIQ-BR-00000094,right,3062,1624,0.53037,0.46963,0.5356,0.00523,0.4644,1.0
NGIQ-BR-00000096,right,8744,3408,0.38975,0.61025,0.40805,0.0183,0.59195,1.0
NGIQ-BR-00000098,right,6337,1786,0.28184,0.71816,0.29841,0.01657,0.70159,1.0
NGIQ-BR-00000100,right,10235,3896,0.38065,0.61935,0.38544,0.00479,0.61456,1.0
NGIQ-BR-00000102,right,1643,706,0.4297,0.5703,0.4297,0.0,0.5703,1.0
NGIQ-BR-00000104,right,1895,585,0.30871,0.69129,0.30871,0.0,0.69129,1.0
NGIQ-BR-00000106,right,3478,1229,0.35336,0.64664,0.35365,0.00029,0.64635,1.0
NGIQ-BR-00000108,right,3804,1313,0.34516,0.65484,0.34516,0.0,0.65484,1.0
NGIQ-BR-00000110,right,2906,780,0.26841,0.73159,0.26841,0.0,0.73159,1.0
NGIQ-BR-00000112,right,3269,881,0.2695,0.7305,0.2695,0.0,0.7305,1.0
NGIQ-BR-00000114,right,4698,2064,0.43934,0.56066,0.43934,0.0,0.56066,1.0
NGIQ-BR-00000116,right,8909,2938,0.32978,0.67022,0.33303,0.00326,0.66697,1.0
NGIQ-BR-00000118,right,6500,2220,0.34154,0.65846,0.34154,0.0,0.65846,1.0
NGIQ-BR-00000120,right,6538,2337,0.35745,0.64255,0.35745,0.0,0.64255,1.0
NGIQ-BR-00000122,right,1185,493,0.41603,0.58397,0.41603,0.0,0.58397,1.0
NGIQ-BR-00000124,right,1421,691,0.48628,0.51372,0.48628,0.0,0.51372,1.0
NGIQ-BR-00000126,right,1217,548,0.45029,0.54971,0.45029,0.0,0.54971,1.0
NGIQ-BR-00000128,right,1182,529,0.44755,0.55245,0.44755,0.0,0.55245,1.0
NGIQ-BR-00000130,right,1029,571,0.55491,0.44509,0.55491,0.0,0.44509,1.0
NGIQ-BR-00000132,right,1308,503,0.38456,0.61544,0.38456,0.0,0.61544,1.0
NGIQ-BR-00000138,right,3931,1136,0.28898,0.71102,0.28898,0.0,0.71102,1.0
NGIQ-BR-00000140,right,3763,1057,0.28089,0.71911,0.28089,0.0,0.71911,1.0
NGIQ-BR-00000142,right,4629,1285,0.2776,0.7224,0.2776,0.0,0.7224,1.0
NGIQ-BR-00000144,right,3400,564,0.16588,0.83412,0.16588,0.0,0.83412,1.0
NGIQ-BR-00000146,right,7665,2350,0.30659,0.69341,0.30659,0.0,0.69341,1.0
NGIQ-BR-00000148,right,9665,2533,0.26208,0.73792,0.26208,0.0,0.73792,1.0
NGIQ-BR-00000150,right,10166,3231,0.31782,0.68218,0.31782,0.0,0.68218,1.0
NGIQ-BR-00000152,right,11421,2572,0.2252,0.7748,0.23001,0.00482,0.76999,1.0
NGIQ-BR-00000154,right,10549,3431,0.32524,0.67476,0.32524,0.0,0.67476,1.0
NGIQ-BR-00000156,right,3681,991,0.26922,0.73078,0.26922,0.0,0.73078,1.0
NGIQ-BR-00000158,right,5467,1646,0.30108,0.69892,0.30108,0.0,0.69892,1.0
NGIQ-BR-00000160,right,8869,3272,0.36893,0.63107,0.36893,0.0,0.63107,1.0
NGIQ-BR-00000162,right,7477,2326,0.31109,0.68891,0.31109,0.0,0.68891,1.0
NGIQ-BR-00000164,right,8220,2804,0.34112,0.65888,0.34112,0.0,0.65888,1.0
NGIQ-BR-00000166,right,5584,2450,0.43875,0.56125,0.43875,0.0,0.56125,1.0
NGIQ-BR-00000168,right,6908,2272,0.32889,0.67111,0.32889,0.0,0.67111,1.0
NGIQ-BR-00000170,right,4641,1481,0.31911,0.68089,0.31911,0.0,0.68089,1.0
NGIQ-BR-00000172,right,1781,1192,0.66929,0.33071,0.66929,0.0,0.33071,1.0
NGIQ-BR-00000174,right,1862,1177,0.63212,0.36788,0.63212,0.0,0.36788,1.0
NGIQ-BR-00000176,right,2391,1516,0.63404,0.36596,0.63404,0.0,0.36596,1.0
NGIQ-BR-00000178,right,2261,1387,0.61345,0.38655,0.61345,0.0,0.38655,1.0
NGIQ-BR-00000180,right,2575,1473,0.57204,0.42796,0.57204,0.0,0.42796,1.0
NGIQ-BR-00000188,right,2837,1320,0.46528,0.53472,0.46528,0.0,0.53472,1.0
NGIQ-BR-00000192,right,4582,1660,0.36229,0.63771,0.36229,0.0,0.63771,1.0
NGIQ-BR-00000194,right,3401,1130,0.33226,0.66774,0.33226,0.0,0.66774,1.0
NGIQ-BR-00000200,right,7428,2375,0.31974,0.68026,0.31974,0.0,0.68026,1.0
NGIQ-BR-00000204,right,6955,1504,0.21625,0.78375,0.21625,0.0,0.78375,1.0
NGIQ-BR-00000206,right,7172,1802,0.25125,0.74875,0.25125,0.0,0.74875,1.0
NGIQ-BR-00000208,right,8173,1990,0.24348,0.75652,0.24348,0.0,0.75652,1.0
NGIQ-BR-00000210,right,7760,1898,0.24459,0.75541,0.24459,0.0,0.75541,1.0
