geometry_id,canonical_region_id,name,hemisphere,dk_label,fs_label_id,source_geometry_id,voxel_count,volume_mm3,centroid_ras,bbox_ras,connected_components,largest_component_fraction,single_voxel_islands,correct_side_fraction,contralateral_fraction,source_target_volume_ratio,fov_clip_fraction,boundary_touching,geometry_sha256
GEO-G1-CORT-NGIQ-BR-00000304-MNI2009CASYM-V1,NGIQ-BR-00000304,Right Fusiform Gyrus,right,fusiform,2007,GEO-G1-CORT-NGIQ-BR-00000304-FSAVG-V1,7250,7250.0,"[34.99, -38.98, -23.06]","[[22.0, -79.0, -52.0], [51.0, 10.0, -3.0]]",4,0.999586,3,0.0,1.0,1.33616,0.0,False,7cf46867bf7419e540569287db2dbd951da5573f4fe615e01c9ce71625e722a9
GEO-G1-CORT-NGIQ-BR-00000305-MNI2009CASYM-V1,NGIQ-BR-00000305,Right Inferior Parietal Lobule,right,inferiorparietal,2008,GEO-G1-CORT-NGIQ-BR-00000305-FSAVG-V1,9702,9702.0,"[44.69, -63.47, 31.91]","[[29.0, -87.0, 6.0], [62.0, -41.0, 54.0]]",9,0.998969,6,0.0,1.0,1.32054,0.0,False,a86c1c696fac3459efefbefae78d9208eafb6012746f388a2661a0fc3b6c0cea
GEO-G1-CORT-NGIQ-BR-00000306-MNI2009CASYM-V1,NGIQ-BR-00000306,Right Inferior Temporal Gyrus,right,inferiortemporal,2009,GEO-G1-CORT-NGIQ-BR-00000306-FSAVG-V1,8187,8187.0,"[51.18, -25.7, -28.88]","[[27.0, -63.0, -52.0], [64.0, 15.0, 2.0]]",4,0.999511,2,0.0,1.0,1.27563,0.0,False,7e8425d4a68c0b043c9c084c2fd64c31c5565677972076ff4ad54a21b6b73147
GEO-G1-CORT-NGIQ-BR-00000307-MNI2009CASYM-V1,NGIQ-BR-00000307,Right Isthmus Of Cingulate Gyrus,right,isthmuscingulate,2010,GEO-G1-CORT-NGIQ-BR-00000307-FSAVG-V1,2583,2583.0,"[10.15, -43.89, 18.93]","[[1.0, -55.0, -5.0], [24.0, -31.0, 34.0]]",3,0.999226,2,0.0,1.0,1.1709,0.0,False,03c5aadc458c0f7a3094d428b6cb5f6aa3e1cad240c42fc9f7d06128731f91db
GEO-G1-CORT-NGIQ-BR-00000308-MNI2009CASYM-V1,NGIQ-BR-00000308,Right Lateral Occipital Cortex,right,lateraloccipital,2011,GEO-G1-CORT-NGIQ-BR-00000308-FSAVG-V1,6898,6898.0,"[33.44, -85.78, 0.23]","[[8.0, -104.0, -19.0], [54.0, -58.0, 23.0]]",7,0.998695,5,0.0,1.0,1.0431,0.0,False,a0a026920f11f7b9acbd4b5a7106dac7b0d026f6c1a535a299a58477c292367f
GEO-G1-CORT-NGIQ-BR-00000309-MNI2009CASYM-V1,NGIQ-BR-00000309,Right Lateral Orbitofrontal Cortex,right,lateralorbitofrontal,2012,GEO-G1-CORT-NGIQ-BR-00000309-FSAVG-V1,7532,7532.0,"[23.91, 34.03, -17.6]","[[5.0, 9.0, -29.0], [46.0, 65.0, 6.0]]",6,0.999071,3,0.0,1.0,1.15433,0.0,False,068c648ea26b50c37e410b734f616c5ca093cd12ecbd8754036df78564e0080f
GEO-G1-CORT-NGIQ-BR-00000310-MNI2009CASYM-V1,NGIQ-BR-00000310,Right Lingual Gyrus,right,lingual,2013,GEO-G1-CORT-NGIQ-BR-00000310-FSAVG-V1,5471,5471.0,"[14.62, -65.53, -2.38]","[[2.0, -97.0, -16.0], [33.0, -40.0, 11.0]]",4,0.999452,3,0.0,1.0,1.09093,0.0,False,35060d9bde0af147eda35e6a82ce98e094648a08a9e531994d87eff10bbe8385
GEO-G1-CORT-NGIQ-BR-00000311-MNI2009CASYM-V1,NGIQ-BR-00000311,Right Medial Orbitofrontal Cortex,right,medialorbitofrontal,2014,GEO-G1-CORT-NGIQ-BR-00000311-FSAVG-V1,5235,5235.0,"[6.55, 42.79, -15.87]","[[1.0, 14.0, -31.0], [17.0, 70.0, 1.0]]",3,0.999236,0,0.0,1.0,1.27901,0.0,False,a29d4e4980faa281d259f8ca56e33169a667a00864a8764915133e2e3d042ab2
GEO-G1-CORT-NGIQ-BR-00000312-MNI2009CASYM-V1,NGIQ-BR-00000312,Right Middle Temporal Gyrus,right,middletemporal,2015,GEO-G1-CORT-NGIQ-BR-00000312-FSAVG-V1,10515,10515.0,"[59.71, -20.38, -15.48]","[[37.0, -62.0, -47.0], [71.0, 20.0, 13.0]]",4,0.999715,3,0.0,1.0,1.3538,0.0,False,4da6e43ecfab560f372d81be2759403ff802ba3f69c244874a9cef0efa223843
GEO-G1-CORT-NGIQ-BR-00000313-MNI2009CASYM-V1,NGIQ-BR-00000313,Right Parahippocampal Gyrus,right,parahippocampal,2016,GEO-G1-CORT-NGIQ-BR-00000313-FSAVG-V1,2141,2141.0,"[24.63, -26.93, -19.68]","[[14.0, -43.0, -36.0], [35.0, -11.0, -4.0]]",3,0.999066,2,0.0,1.0,1.04848,0.0,False,6098f4f049016cff621bbc61d7c2de62eebc38354ce7dd36212f6fddb766b190
