relation_id,fine_region_id,fine_region_name,parcel_id,fine_granularity,fine_atlas,hemisphere,proposed_g1_id,proposed_g1_name,historical_status,historical_reason
NGIQ-BR-00000076,NGIQ-BR-00000076,PrG_R_6_4,60,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000321,Right Precentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000077,NGIQ-BR-00000077,PrG_L_6_5,61,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000290,Left Precentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000078,NGIQ-BR-00000078,PrG_R_6_5,62,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000321,Right Precentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000079,NGIQ-BR-00000079,PrG_L_6_6,63,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000290,Left Precentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000080,NGIQ-BR-00000080,PrG_R_6_6,64,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000321,Right Precentral Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000081,NGIQ-BR-00000081,PCL_L_2_1,65,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000283,Left Paracentral Lobule,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000082,NGIQ-BR-00000082,PCL_R_2_1,66,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000314,Right Paracentral Lobule,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000083,NGIQ-BR-00000083,PCL_L_2_2,67,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000283,Left Paracentral Lobule,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000084,NGIQ-BR-00000084,PCL_R_2_2,68,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000314,Right Paracentral Lobule,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000085,NGIQ-BR-00000085,STG_L_6_2,71,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000296,Left Superior Temporal Gyrus,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000086,NGIQ-BR-00000086,STG_R_6_2,72,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000327,Right Superior Temporal Gyrus,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000089,NGIQ-BR-00000089,STG_L_6_4,75,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000296,Left Superior Temporal Gyrus,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000090,NGIQ-BR-00000090,STG_R_6_4,76,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000327,Right Superior Temporal Gyrus,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000091,NGIQ-BR-00000091,STG_L_6_5,77,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000296,Left Superior Temporal Gyrus,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000092,NGIQ-BR-00000092,STG_R_6_5,78,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000327,Right Superior Temporal Gyrus,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000093,NGIQ-BR-00000093,STG_L_6_6,79,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000296,Left Superior Temporal Gyrus,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000094,NGIQ-BR-00000094,STG_R_6_6,80,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000327,Right Superior Temporal Gyrus,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000007,NGIQ-BR-00000007,MTG_L_4_1,81,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000281,Left Middle Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000008,NGIQ-BR-00000008,MTG_R_4_1,82,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000312,Right Middle Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000095,NGIQ-BR-00000095,MTG_L_4_2,83,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000281,Left Middle Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000096,NGIQ-BR-00000096,MTG_R_4_2,84,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000312,Right Middle Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000097,NGIQ-BR-00000097,MTG_L_4_3,85,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000281,Left Middle Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000098,NGIQ-BR-00000098,MTG_R_4_3,86,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000312,Right Middle Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000099,NGIQ-BR-00000099,MTG_L_4_4,87,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000281,Left Middle Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000100,NGIQ-BR-00000100,MTG_R_4_4,88,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000312,Right Middle Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000101,NGIQ-BR-00000101,ITG_L_7_1,89,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000102,NGIQ-BR-00000102,ITG_R_7_1,90,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000306,Right Inferior Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000103,NGIQ-BR-00000103,ITG_L_7_2,91,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000104,NGIQ-BR-00000104,ITG_R_7_2,92,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000306,Right Inferior Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000105,NGIQ-BR-00000105,ITG_L_7_3,93,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000106,NGIQ-BR-00000106,ITG_R_7_3,94,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000306,Right Inferior Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000107,NGIQ-BR-00000107,ITG_L_7_4,95,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000108,NGIQ-BR-00000108,ITG_R_7_4,96,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000306,Right Inferior Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000109,NGIQ-BR-00000109,ITG_L_7_5,97,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000110,NGIQ-BR-00000110,ITG_R_7_5,98,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000306,Right Inferior Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000111,NGIQ-BR-00000111,ITG_L_7_6,99,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000112,NGIQ-BR-00000112,ITG_R_7_6,100,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000306,Right Inferior Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000113,NGIQ-BR-00000113,ITG_L_7_7,101,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000114,NGIQ-BR-00000114,ITG_R_7_7,102,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000306,Right Inferior Temporal Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000115,NGIQ-BR-00000115,FuG_L_3_1,103,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000273,Left Fusiform Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000116,NGIQ-BR-00000116,FuG_R_3_1,104,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000304,Right Fusiform Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000117,NGIQ-BR-00000117,FuG_L_3_2,105,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000273,Left Fusiform Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000118,NGIQ-BR-00000118,FuG_R_3_2,106,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000304,Right Fusiform Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000119,NGIQ-BR-00000119,FuG_L_3_3,107,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000273,Left Fusiform Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000120,NGIQ-BR-00000120,FuG_R_3_3,108,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000304,Right Fusiform Gyrus,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000121,NGIQ-BR-00000121,PhG_L_6_1,109,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000272,Left Entorhinal Cortex,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000122,NGIQ-BR-00000122,PhG_R_6_1,110,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000303,Right Entorhinal Cortex,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000123,NGIQ-BR-00000123,PhG_L_6_2,111,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000282,Left Parahippocampal Gyrus,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000124,NGIQ-BR-00000124,PhG_R_6_2,112,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000313,Right Parahippocampal Gyrus,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000125,NGIQ-BR-00000125,PhG_L_6_3,113,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000282,Left Parahippocampal Gyrus,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000126,NGIQ-BR-00000126,PhG_R_6_3,114,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000313,Right Parahippocampal Gyrus,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000127,NGIQ-BR-00000127,PhG_L_6_4,115,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000272,Left Entorhinal Cortex,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000128,NGIQ-BR-00000128,PhG_R_6_4,116,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000303,Right Entorhinal Cortex,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000129,NGIQ-BR-00000129,PhG_L_6_5,117,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000272,Left Entorhinal Cortex,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000130,NGIQ-BR-00000130,PhG_R_6_5,118,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000303,Right Entorhinal Cortex,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000131,NGIQ-BR-00000131,PhG_L_6_6,119,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000282,Left Parahippocampal Gyrus,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000132,NGIQ-BR-00000132,PhG_R_6_6,120,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000313,Right Parahippocampal Gyrus,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000009,NGIQ-BR-00000009,SPL_L_5_1,125,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000295,Left Superior Parietal Lobule,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000010,NGIQ-BR-00000010,SPL_R_5_1,126,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000326,Right Superior Parietal Lobule,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000137,NGIQ-BR-00000137,SPL_L_5_2,127,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000295,Left Superior Parietal Lobule,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000138,NGIQ-BR-00000138,SPL_R_5_2,128,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000326,Right Superior Parietal Lobule,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000139,NGIQ-BR-00000139,SPL_L_5_3,129,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000295,Left Superior Parietal Lobule,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000140,NGIQ-BR-00000140,SPL_R_5_3,130,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000326,Right Superior Parietal Lobule,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000141,NGIQ-BR-00000141,SPL_L_5_4,131,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000295,Left Superior Parietal Lobule,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000142,NGIQ-BR-00000142,SPL_R_5_4,132,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000326,Right Superior Parietal Lobule,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000143,NGIQ-BR-00000143,SPL_L_5_5,133,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000295,Left Superior Parietal Lobule,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000144,NGIQ-BR-00000144,SPL_R_5_5,134,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000326,Right Superior Parietal Lobule,APPROVE_CONTAINED_IN,SEED_CONTAINMENT_CONFIRMED
NGIQ-BR-00000011,NGIQ-BR-00000011,IPL_L_6_1,135,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000274,Left Inferior Parietal Lobule,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000012,NGIQ-BR-00000012,IPL_R_6_1,136,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000305,Right Inferior Parietal Lobule,APPROVE_CONTAINED_IN,FREEZE
NGIQ-BR-00000145,NGIQ-BR-00000145,IPL_L_6_2,137,G3_MESO_FINE,Brainnetome,left,NGIQ-BR-00000274,Left Inferior Parietal Lobule,APPROVE_DOMINANT_OVERLAP,FREEZE
NGIQ-BR-00000146,NGIQ-BR-00000146,IPL_R_6_2,138,G3_MESO_FINE,Brainnetome,right,NGIQ-BR-00000305,Right Inferior Parietal Lobule,APPROVE_DOMINANT_OVERLAP,FREEZE
