parcel_id,atlas,version,geometry_source,raw_sha256,transform_sha256,derived_sha256,native_space,current_space,discrete,probabilistic,grid_ready,provenance_complete,voxel_count,hemisphere
34,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,3392,right
35,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,3103,left
36,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,3577,right
37,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,4237,left
38,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,4948,right
39,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,2380,left
40,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,2244,right
41,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,4496,left
42,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,6049,right
43,Brainnetome,BN 246 (v1.0),D:/Tool/Coding/IDE/PyCharm/NeuroGraphIQ_KG_marco/backend/data/atlases/brainnetome/bna246/transformed_label_to_julich2009c/BN_Atlas_246_1mm_NLin6to2009c_labels.nii.gz,0d90d084952bdbddf417abb457f4eec016cbb95dfd53a4801713806da5646ba3,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,9c0185c7c0b9a2bf03a9e72d296d4fc8caed0e1318a59723a52ada8f06f1e19f,MNI152NLin6Asym 1mm,MNI152NLin2009cAsym 1mm,True,False,True,True,4685,left
