hemisphere,g3_entity_id,parcel_id,official_code,official_modified_name,seed_mask_code,seed_type,cohort,current_authority_decision,g3_vertex_count,dk_label_name,dk_label_id,dk_vertex_count,intersection_vertex_count,source_coverage_ratio,target_coverage_ratio,g1_entity_id,g1_name_en,g1_alignment_status,is_no_g1_target
left,NGIQ-BR-00000055,39,IFG_L_6_6,ventral area 44,IFG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,649,precentral,24,0,5,0.007704,0,NGIQ-BR-00000290,Left Precentral Gyrus,ALIGNED,false
left,NGIQ-BR-00000057,41,OrG_L_6_1,medial area 14,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,855,medialorbitofrontal,14,0,691,0.808187,0,NGIQ-BR-00000280,Left Medial Orbitofrontal Cortex,ALIGNED,false
left,NGIQ-BR-00000057,41,OrG_L_6_1,medial area 14,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,855,rostralanteriorcingulate,26,0,1,0.00117,0,NGIQ-BR-00000292,Left Rostral Anterior Cingulate Cortex,ALIGNED,false
left,NGIQ-BR-00000057,41,OrG_L_6_1,medial area 14,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,855,superiorfrontal,28,0,79,0.092398,0,NGIQ-BR-00000294,Left Superior Frontal Gyrus,ALIGNED,false
left,NGIQ-BR-00000057,41,OrG_L_6_1,medial area 14,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,855,frontalpole,32,0,84,0.098246,0,,,NO_G1_TARGET,true
left,NGIQ-BR-00000059,43,OrG_L_6_2,orbital area 12/47,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,805,lateralorbitofrontal,12,0,468,0.581366,0,NGIQ-BR-00000278,Left Lateral Orbitofrontal Cortex,ALIGNED,false
left,NGIQ-BR-00000059,43,OrG_L_6_2,orbital area 12/47,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,805,parsorbitalis,19,0,337,0.418634,0,NGIQ-BR-00000285,"Left Inferior Frontal Gyrus, Pars Orbitalis",ALIGNED,false
left,NGIQ-BR-00000061,45,OrG_L_6_3,lateral area 11,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1621,lateralorbitofrontal,12,0,1605,0.99013,0,NGIQ-BR-00000278,Left Lateral Orbitofrontal Cortex,ALIGNED,false
left,NGIQ-BR-00000061,45,OrG_L_6_3,lateral area 11,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1621,parsorbitalis,19,0,16,0.00987,0,NGIQ-BR-00000285,"Left Inferior Frontal Gyrus, Pars Orbitalis",ALIGNED,false
left,NGIQ-BR-00000063,47,OrG_L_6_4,medial area 11,OrG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1218,lateralorbitofrontal,12,0,289,0.237274,0,NGIQ-BR-00000278,Left Lateral Orbitofrontal Cortex,ALIGNED,false
