row_index,julich_asset_file,julich_component_id,julich_region_name,julich_hemisphere,spatial_identity_status,canonical_g4_descendant_count,pp_top1_g3_id,pp_top1_name,pp_top1_joint_mass,pp_top1_g4_weighted,pp_top1_g3_weighted,pp_top1_cosine,pp_top1_soft_dice,pp_top2_g3_id,pp_top2_g4_weighted,pp_top3_g3_id,pp_top1_top2_margin,pp_top1_top2_ratio,pp_association_effective_targets,hard_top1_g3_id,hard_top1_name,hard_top1_coverage,hard_top2_g3_id,hard_top2_coverage,hard_top3_g3_id,hard_top3_coverage,hard_top1_top2_margin,hard_top1_top2_ratio,hard_total_bna_coverage,bna_uncovered_fraction,effective_target_count,top1_agreement,evidence_pattern,qa_flags,metric_version
38,AREA_6D3_SFS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D3_SFS,Area 6d3 (SFS) right,right,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000026,SFG_R_7_4,654.24389682,0.30053373,0.1085169,0.38408229,0.34759653,NGIQ-BR-00000044,0.28774118,NGIQ-BR-00000022,0.01279255,1.0445,6.2325,NGIQ-BR-00000044,MFG_R_7_6,0.34540716,NGIQ-BR-00000026,0.28178682,NGIQ-BR-00000072,0.1784401,0.06362034,1.2258,0.87413209,0.12586791,3.5162,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
276,AREA_TPJ_STG_SMG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_TPJ_STG_SMG,"Area TPJ (STG, SMG) right",right,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000086,STG_R_6_2,560.3445733,0.32123547,0.11055742,0.47339032,0.35951599,NGIQ-BR-00000154,0.31907622,NGIQ-BR-00000090,0.00215926,1.0068,5.5916,NGIQ-BR-00000154,IPL_R_6_6,0.39794889,NGIQ-BR-00000090,0.27920349,NGIQ-BR-00000086,0.23242075,0.1187454,1.4253,0.97101676,0.02898324,3.7346,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
214,AREA_P24C_PACC_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24C_PACC,Area p24c (pACC) right,right,SHARED_SPATIAL_REPRESENTATION,3,NGIQ-BR-00000032,SFG_R_7_7,509.88819043,0.30823077,0.05881106,0.28270897,0.17571637,NGIQ-BR-00000194,0.26165665,NGIQ-BR-00000030,0.04657412,1.178,6.0821,NGIQ-BR-00000194,CG_R_7_7,0.33898049,NGIQ-BR-00000032,0.30637543,NGIQ-BR-00000030,0.17121482,0.03260505,1.1064,0.959134,0.040866,4.133,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|shared,G4_G3_OVERLAP_INTERPRETATION_V1
57,AREA_7P_SPL_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7P_SPL,Area 7P (SPL) left,left,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000155,PCun_L_4_1,469.08894825,0.26507738,0.09493288,0.42084247,0.31843662,NGIQ-BR-00000137,0.26450375,NGIQ-BR-00000009,0.00057363,1.0022,7.2511,NGIQ-BR-00000137,SPL_L_5_2,0.36567568,NGIQ-BR-00000155,0.31895616,NGIQ-BR-00000009,0.11460917,0.04671952,1.1465,0.94806151,0.05193849,4.4137,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
286,CA2_HIPPOCAMPUS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CA2_HIPPOCAMPUS,CA2 (Hippocampus) right,right,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000018,Hipp_R_2_1,464.50297809,0.51168634,0.08776795,0.47059668,0.23943139,NGIQ-BR-00000220,0.32434512,NGIQ-BR-00000188,0.18734122,1.5776,2.5032,NGIQ-BR-00000220,Hipp_R_2_2,0.47260042,NGIQ-BR-00000018,0.35035556,NGIQ-BR-00000188,0.01697537,0.12224486,1.3489,0.85210839,0.14789161,2.3365,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
27,AREA_5CI_SPL_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL,Area 5Ci (SPL) left,left,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000081,PCL_L_2_1,457.43821493,0.43684196,0.10231253,0.42086459,0.26843189,NGIQ-BR-00000191,0.24714743,NGIQ-BR-00000157,0.18969453,1.7675,4.2652,NGIQ-BR-00000191,CG_L_7_6,0.47368087,NGIQ-BR-00000081,0.2244769,NGIQ-BR-00000157,0.1434091,0.24920397,2.1102,0.8467487,0.1532513,2.7548,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
182,AREA_MFG1_MFG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_MFG1_MFG,Area MFG1 (MFG) right,right,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000038,MFG_R_7_3,430.26541378,0.38623266,0.04554139,0.34010997,0.18202305,NGIQ-BR-00000034,0.24310516,NGIQ-BR-00000040,0.1431275,1.5887,4.115,NGIQ-BR-00000040,MFG_R_7_4,0.45521414,NGIQ-BR-00000038,0.35476732,NGIQ-BR-00000034,0.16117858,0.10044683,1.2831,0.9779447,0.0220553,2.8732,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
213,AREA_P24C_PACC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_P24C_PACC,Area p24c (pACC) left,left,SHARED_SPATIAL_REPRESENTATION,3,NGIQ-BR-00000193,CG_L_7_7,417.4004616,0.32204003,0.08458166,0.35739011,0.25169972,NGIQ-BR-00000185,0.28138935,NGIQ-BR-00000031,0.04065068,1.1445,5.2939,NGIQ-BR-00000185,CG_L_7_3,0.43082422,NGIQ-BR-00000193,0.38455378,NGIQ-BR-00000031,0.1370039,0.04627044,1.1203,0.96455395,0.03544605,2.919,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|shared,G4_G3_OVERLAP_INTERPRETATION_V1
287,CA3_HIPPOCAMPUS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CA3_HIPPOCAMPUS,CA3 (Hippocampus) left,left,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000017,Hipp_L_2_1,391.35073405,0.49856208,0.07990618,0.47809897,0.22217588,NGIQ-BR-00000219,0.40723176,NGIQ-BR-00000237,0.09133032,1.2243,2.5784,NGIQ-BR-00000219,Hipp_L_2_2,0.4862059,NGIQ-BR-00000017,0.42061205,NGIQ-BR-00000187,0.014067,0.06559384,1.1559,0.94356872,0.05643128,2.3946,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
319,FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_FUP_VENTRAL_STRIATUM_FUNDUS_OF_PUTAMEN,"FuP (Ventral Striatum, Fundus of Putamen) left",left,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000019,BG_L_6_1,381.02941643,0.32089273,0.09228836,0.31894875,0.27393578,NGIQ-BR-00000226,0.23769421,NGIQ-BR-00000224,0.08319851,1.35,5.1862,NGIQ-BR-00000224,BG_L_6_3,0.3161483,NGIQ-BR-00000226,0.3095543,NGIQ-BR-00000019,0.23094895,0.006594,1.0213,0.94765142,0.05234858,3.8733,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
288,CA3_HIPPOCAMPUS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CA3_HIPPOCAMPUS,CA3 (Hippocampus) right,right,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000018,Hipp_R_2_1,374.58847238,0.47855232,0.07077858,0.45942855,0.19744687,NGIQ-BR-00000220,0.34647995,NGIQ-BR-00000242,0.13207237,1.3812,2.9399,NGIQ-BR-00000220,Hipp_R_2_2,0.49659706,NGIQ-BR-00000018,0.31565866,NGIQ-BR-00000242,0.02816659,0.1809384,1.5732,0.86393073,0.13606927,2.5436,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
66,AREA_8V2_MFG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V2_MFG,Area 8v2 (MFG) right,right,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000034,MFG_R_7_1,366.87544342,0.38350755,0.03977345,0.30573293,0.16801567,NGIQ-BR-00000042,0.34620391,NGIQ-BR-00000044,0.03730364,1.1078,3.7629,NGIQ-BR-00000042,MFG_R_7_5,0.49959558,NGIQ-BR-00000034,0.38816034,NGIQ-BR-00000022,0.00578104,0.11143524,1.2871,0.89456441,0.10543559,2.0722,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
325,LB_AMYGDALA_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB (Amygdala) left,left,SHARED_SPATIAL_REPRESENTATION,4,NGIQ-BR-00000215,Amyg_L_2_1,340.58621151,0.47080758,0.1903282,0.52025993,0.43385723,NGIQ-BR-00000217,0.34598312,NGIQ-BR-00000017,0.12482446,1.3608,3.3851,NGIQ-BR-00000017,Hipp_L_2_1,0.32168084,NGIQ-BR-00000215,0.30202864,NGIQ-BR-00000217,0.26125339,0.0196522,1.0651,0.92483303,0.07516697,3.4628,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|shared,G4_G3_OVERLAP_INTERPRETATION_V1
152,AREA_ID4_INSULA_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID4_INSULA,Area Id4 (Insula) right,right,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000178,INS_R_6_5,339.64030872,0.38294318,0.13670605,0.53678009,0.44761994,NGIQ-BR-00000180,0.37674204,NGIQ-BR-00000078,0.00620114,1.0165,4.1342,NGIQ-BR-00000180,INS_R_6_6,0.4062847,NGIQ-BR-00000178,0.34104387,NGIQ-BR-00000078,0.05934429,0.06524083,1.1913,0.87266002,0.12733998,3.1405,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
326,LB_AMYGDALA_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_LB_AMYGDALA,LB (Amygdala) right,right,SHARED_SPATIAL_REPRESENTATION,4,NGIQ-BR-00000216,Amyg_R_2_1,309.58819561,0.419448,0.15118437,0.43633355,0.340942,NGIQ-BR-00000218,0.36434112,NGIQ-BR-00000018,0.05510688,1.1513,3.2853,NGIQ-BR-00000218,Amyg_R_2_2,0.40810337,NGIQ-BR-00000216,0.32291789,NGIQ-BR-00000018,0.12633037,0.08518548,1.2638,0.8813188,0.1186812,3.0523,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|shared,G4_G3_OVERLAP_INTERPRETATION_V1
297,CL_THALAMUS_ANTERIOR_INTRALAMINAR_NUCLEI_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CL_THALAMUS_ANTERIOR_INTRALAMINAR_NUCLEI,"CL (Thalamus, anterior intralaminar nuclei) left",left,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000020,Tha_L_8_1,292.43546811,0.1955436,0.14687977,0.49512231,0.48539645,NGIQ-BR-00000245,0.16721547,NGIQ-BR-00000239,0.02832813,1.1694,7.4342,NGIQ-BR-00000245,Tha_L_8_8,0.24013596,NGIQ-BR-00000020,0.21649375,NGIQ-BR-00000239,0.14231803,0.02364221,1.1092,0.97925325,0.02074675,6.5399,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
203,AREA_OP7_FRONTAL_OPERCULUM_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_OP7_FRONTAL_OPERCULUM,Area Op7 (Frontal Operculum) left,left,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000053,IFG_L_6_5,291.38350586,0.54309915,0.06167778,0.35411246,0.1845389,NGIQ-BR-00000055,0.18098302,NGIQ-BR-00000179,0.36211612,3.0008,4.1828,NGIQ-BR-00000179,INS_L_6_6,0.51957615,NGIQ-BR-00000053,0.27995504,NGIQ-BR-00000077,0.03222469,0.23962112,1.8559,0.86283741,0.13716259,2.5543,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
298,CL_THALAMUS_ANTERIOR_INTRALAMINAR_NUCLEI_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_CL_THALAMUS_ANTERIOR_INTRALAMINAR_NUCLEI,"CL (Thalamus, anterior intralaminar nuclei) right",right,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000232,Tha_R_8_1,289.53716065,0.21792044,0.1606106,0.49571911,0.46194392,NGIQ-BR-00000246,0.18835336,NGIQ-BR-00000240,0.02956707,1.157,7.2559,NGIQ-BR-00000246,Tha_R_8_8,0.31665346,NGIQ-BR-00000232,0.20239447,NGIQ-BR-00000240,0.13201105,0.11425899,1.5645,0.98728034,0.01271966,6.3978,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
398,VLP_THALAMUS_VENTRAL_LATERAL_POSTERIOR_NUCLEUS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VLP_THALAMUS_VENTRAL_LATERAL_POSTERIOR_NUCLEUS,"VLP (Thalamus, ventral lateral posterior Nucleus) right",right,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000234,Tha_R_8_2,261.56310907,0.34475767,0.14489417,0.46739272,0.4163584,NGIQ-BR-00000246,0.27810212,NGIQ-BR-00000236,0.06665555,1.2397,4.9098,NGIQ-BR-00000246,Tha_R_8_8,0.38299621,NGIQ-BR-00000234,0.25338754,NGIQ-BR-00000236,0.19603407,0.12960867,1.5115,0.99535102,0.00464898,4.202,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
174,AREA_IFS4_IFS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS4_IFS,Area IFS4 (IFS) right,right,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000036,MFG_R_7_2,249.64520083,0.30959626,0.0375164,0.29768937,0.12972914,NGIQ-BR-00000042,0.20539533,NGIQ-BR-00000004,0.10420092,1.5073,5.9826,NGIQ-BR-00000004,IFG_R_6_1,0.34043907,NGIQ-BR-00000036,0.22992131,NGIQ-BR-00000042,0.22712005,0.11051776,1.4807,0.92755129,0.07244871,4.1856,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
391,VA_THALAMUS_VENTRAL_ANTERIOR_NUCLEUS_VENTRAL_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VA_THALAMUS_VENTRAL_ANTERIOR_NUCLEUS_VENTRAL,"VA (Thalamus, ventral anterior Nucleus (ventral)) left",left,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000020,Tha_L_8_1,247.96690278,0.27415081,0.12454481,0.56343566,0.5010344,NGIQ-BR-00000245,0.20197964,NGIQ-BR-00000241,0.07217117,1.3573,7.1792,NGIQ-BR-00000245,Tha_L_8_8,0.35286611,NGIQ-BR-00000020,0.29399944,NGIQ-BR-00000237,0.12058341,0.05886667,1.2002,0.97317255,0.02682745,5.1479,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
148,AREA_ID2_INSULA_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID2_INSULA,Area Id2 (Insula) right,right,ONE_TO_ONE_CANONICAL,1,NGIQ-BR-00000014,INS_R_6_1,217.11110462,0.43854996,0.0870736,0.44034464,0.28367458,NGIQ-BR-00000178,0.36684158,NGIQ-BR-00000088,0.07170838,1.1955,4.1015,NGIQ-BR-00000178,INS_R_6_5,0.43190711,NGIQ-BR-00000014,0.42425928,NGIQ-BR-00000088,0.06672549,0.00764783,1.018,0.96921434,0.03078566,2.9961,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1
