row_index,julich_asset_file,julich_component_id,julich_region_name,julich_hemisphere,spatial_identity_status,canonical_g4_descendant_count,canonical_g4_ids,pp_top1_g3_id,pp_top1_name,pp_top1_joint_mass,pp_top1_g4_weighted,pp_top1_g3_weighted,pp_top1_cosine,pp_top1_soft_dice,pp_top2_g3_id,pp_top2_g4_weighted,pp_top3_g3_id,pp_top1_top2_margin,pp_top1_top2_ratio,pp_association_effective_targets,hard_top1_g3_id,hard_top1_name,hard_top1_coverage,hard_top2_g3_id,hard_top2_coverage,hard_top3_g3_id,hard_top3_coverage,hard_top1_top2_margin,hard_top1_top2_ratio,hard_total_bna_coverage,bna_uncovered_fraction,effective_target_count,top1_agreement,evidence_pattern,qa_flags,metric_version,scientific_decision,decision_reason
149,AREA_ID3_INSULA_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID3_INSULA,Area Id3 (Insula) left,left,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID3_INSULA_LEFT,NGIQ-BR-00000175,INS_L_6_4,330.54502416,0.47092669,0.14070563,0.53393769,0.43498284,NGIQ-BR-00000013,0.20987587,NGIQ-BR-00000091,0.26105082,2.2438,5.2271,NGIQ-BR-00000175,INS_L_6_4,0.56992552,NGIQ-BR-00000091,0.16442404,NGIQ-BR-00000013,0.15735306,0.40550147,3.4662,0.95844279,0.04155721,3.1172,TRUE,DIFFUSE_ASSOCIATION,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
150,AREA_ID3_INSULA_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID3_INSULA,Area Id3 (Insula) right,right,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID3_INSULA_RIGHT,NGIQ-BR-00000176,INS_R_6_4,427.65194646,0.44756052,0.19776839,0.64467158,0.57937522,NGIQ-BR-00000014,0.21953724,NGIQ-BR-00000092,0.22802327,2.0387,4.916,NGIQ-BR-00000176,INS_R_6_4,0.56292174,NGIQ-BR-00000014,0.18820738,NGIQ-BR-00000092,0.14552881,0.37471436,2.991,0.94964704,0.05035296,3.0706,TRUE,DIFFUSE_ASSOCIATION,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
151,AREA_ID4_INSULA_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID4_INSULA,Area Id4 (Insula) left,left,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID4_INSULA_LEFT,NGIQ-BR-00000177,INS_L_6_5,314.17101798,0.47262914,0.11739696,0.51067336,0.37312708,NGIQ-BR-00000179,0.30985857,NGIQ-BR-00000077,0.16277057,1.5253,3.4115,NGIQ-BR-00000177,INS_L_6_5,0.48016114,NGIQ-BR-00000179,0.31950065,NGIQ-BR-00000077,0.13043051,0.16066049,1.5028,0.93714559,0.06285441,2.7889,TRUE,MULTI_TARGET_CONCENTRATED,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
152,AREA_ID4_INSULA_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID4_INSULA,Area Id4 (Insula) right,right,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID4_INSULA_RIGHT,NGIQ-BR-00000178,INS_R_6_5,339.64030872,0.38294318,0.13670605,0.53678009,0.44761994,NGIQ-BR-00000180,0.37674204,NGIQ-BR-00000078,0.00620114,1.0165,4.1342,NGIQ-BR-00000180,INS_R_6_6,0.4062847,NGIQ-BR-00000178,0.34104387,NGIQ-BR-00000078,0.05934429,0.06524083,1.1913,0.87266002,0.12733998,3.1405,FALSE,PROBABILITY_HARDLABEL_DISAGREEMENT,PP_HARDLABEL_TOP1_DISAGREE|one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
153,AREA_ID5_INSULA_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID5_INSULA,Area Id5 (Insula) left,left,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID5_INSULA_LEFT,NGIQ-BR-00000177,INS_L_6_5,265.23703524,0.52127896,0.09911169,0.49232887,0.32710798,NGIQ-BR-00000175,0.12387435,NGIQ-BR-00000179,0.3974046,4.2081,3.5259,NGIQ-BR-00000177,INS_L_6_5,0.69089774,NGIQ-BR-00000175,0.11848021,NGIQ-BR-00000179,0.05339225,0.57241753,5.8313,0.87582314,0.12417686,2.0297,TRUE,DIFFUSE_ASSOCIATION,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
154,AREA_ID5_INSULA_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID5_INSULA,Area Id5 (Insula) right,right,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID5_INSULA_RIGHT,NGIQ-BR-00000178,INS_R_6_5,405.28418961,0.49393396,0.16312787,0.61345026,0.52355079,NGIQ-BR-00000180,0.16996659,NGIQ-BR-00000014,0.32396736,2.9061,4.2151,NGIQ-BR-00000178,INS_R_6_5,0.69501334,NGIQ-BR-00000180,0.08902477,NGIQ-BR-00000176,0.06526289,0.60598856,7.807,0.89293711,0.10706289,2.2606,TRUE,DIFFUSE_ASSOCIATION,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
155,AREA_ID6_INSULA_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID6_INSULA,Area Id6 (Insula) left,left,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID6_INSULA_LEFT,NGIQ-BR-00000179,INS_L_6_6,853.81480316,0.40422656,0.32924732,0.73994681,0.73439929,NGIQ-BR-00000173,0.30300925,NGIQ-BR-00000053,0.1012173,1.334,4.5237,NGIQ-BR-00000179,INS_L_6_6,0.49276001,NGIQ-BR-00000173,0.27868064,NGIQ-BR-00000053,0.07910796,0.21407937,1.7682,0.87891328,0.12108672,2.8597,TRUE,MULTI_TARGET_CONCENTRATED,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
156,AREA_ID6_INSULA_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID6_INSULA,Area Id6 (Insula) right,right,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID6_INSULA_RIGHT,NGIQ-BR-00000180,INS_R_6_6,930.80979929,0.43707845,0.33855882,0.78693668,0.7794087,NGIQ-BR-00000174,0.32620146,NGIQ-BR-00000054,0.11087699,1.3399,3.9926,NGIQ-BR-00000180,INS_R_6_6,0.50877983,NGIQ-BR-00000174,0.26533113,NGIQ-BR-00000054,0.0790071,0.2434487,1.9175,0.88212629,0.11787371,2.8194,TRUE,MULTI_TARGET_CONCENTRATED,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
157,AREA_ID7_INSULA_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID7_INSULA,Area Id7 (Insula) left,left,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID7_INSULA_LEFT,NGIQ-BR-00000173,INS_L_6_3,309.9384704,0.41437522,0.13413664,0.45811202,0.37027128,NGIQ-BR-00000053,0.26358036,NGIQ-BR-00000067,0.15079486,1.5721,4.8272,NGIQ-BR-00000173,INS_L_6_3,0.49884358,NGIQ-BR-00000053,0.22076346,NGIQ-BR-00000067,0.15367299,0.27808012,2.2596,0.87337817,0.12662183,2.6493,TRUE,MULTI_TARGET_CONCENTRATED,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
158,AREA_ID7_INSULA_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID7_INSULA,Area Id7 (Insula) right,right,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID7_INSULA_RIGHT,NGIQ-BR-00000054,IFG_R_6_5,360.1853066,0.3893728,0.06745992,0.31591027,0.18063319,NGIQ-BR-00000174,0.30845029,NGIQ-BR-00000068,0.08092251,1.2624,4.8953,NGIQ-BR-00000054,IFG_R_6_5,0.39669424,NGIQ-BR-00000174,0.32843644,NGIQ-BR-00000068,0.08682589,0.0682578,1.2078,0.81300682,0.18699318,2.6235,TRUE,DIFFUSE_ASSOCIATION,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
159,AREA_ID8_INSULA_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID8_INSULA,Area Id8 (Insula) left,left,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID8_INSULA_LEFT,NGIQ-BR-00000173,INS_L_6_3,265.59263406,0.32913713,0.11494444,0.39768478,0.31897042,NGIQ-BR-00000067,0.25017763,NGIQ-BR-00000171,0.0789595,1.3156,5.9096,NGIQ-BR-00000173,INS_L_6_3,0.39435432,NGIQ-BR-00000067,0.29286294,NGIQ-BR-00000171,0.194859,0.10149138,1.3465,0.92653492,0.07346508,3.5106,TRUE,DIFFUSE_ASSOCIATION,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
160,AREA_ID8_INSULA_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID8_INSULA,Area Id8 (Insula) right,right,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID8_INSULA_RIGHT,NGIQ-BR-00000174,INS_R_6_3,336.02273369,0.34493372,0.15006917,0.4838933,0.41858827,NGIQ-BR-00000068,0.20254956,NGIQ-BR-00000172,0.14238417,1.703,6.9179,NGIQ-BR-00000174,INS_R_6_3,0.40316256,NGIQ-BR-00000068,0.22686259,NGIQ-BR-00000172,0.1740836,0.17629996,1.7771,0.91885188,0.08114812,3.676,TRUE,MULTI_TARGET_CONCENTRATED,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
161,AREA_ID9_INSULA_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID9_INSULA,Area Id9 (Insula) left,left,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID9_INSULA_LEFT,NGIQ-BR-00000179,INS_L_6_6,118.99043306,0.30112893,0.04588499,0.27948545,0.16484914,NGIQ-BR-00000175,0.30045604,NGIQ-BR-00000173,0.0006729,1.0022,5.1811,NGIQ-BR-00000179,INS_L_6_6,0.41236659,NGIQ-BR-00000175,0.33325323,NGIQ-BR-00000171,0.09410445,0.07911336,1.2374,0.96371077,0.03628923,3.8359,TRUE,MULTI_TARGET_CONCENTRATED,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
162,AREA_ID9_INSULA_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID9_INSULA,Area Id9 (Insula) right,right,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_ID9_INSULA_RIGHT,NGIQ-BR-00000176,INS_R_6_4,172.08723479,0.21797784,0.07958204,0.28087812,0.2431748,NGIQ-BR-00000180,0.21150797,NGIQ-BR-00000174,0.00646988,1.0306,6.2022,NGIQ-BR-00000176,INS_R_6_4,0.29718009,NGIQ-BR-00000180,0.22937476,NGIQ-BR-00000172,0.19805043,0.06780533,1.2956,0.9563735,0.0436265,5.0282,TRUE,DIFFUSE_ASSOCIATION,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
163,AREA_IFJ1_IFS_PRECS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ1_IFS_PRECS,"Area IFJ1 (IFS, PreCS) left",left,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ1_IFS_PRECS_LEFT,NGIQ-BR-00000035,MFG_L_7_2,440.23668114,0.38953949,0.06466653,0.38459283,0.22935962,NGIQ-BR-00000003,0.24524009,NGIQ-BR-00000047,0.1442994,1.5884,4.9631,NGIQ-BR-00000035,MFG_L_7_2,0.4881682,NGIQ-BR-00000003,0.29816646,NGIQ-BR-00000079,0.02248459,0.19000174,1.6372,0.81624959,0.18375041,2.274,TRUE,MULTI_TARGET_CONCENTRATED,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
164,AREA_IFJ1_IFS_PRECS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ1_IFS_PRECS,"Area IFJ1 (IFS, PreCS) right",right,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ1_IFS_PRECS_RIGHT,NGIQ-BR-00000004,IFG_R_6_1,296.10591666,0.34757792,0.10168893,0.54565841,0.34053563,NGIQ-BR-00000036,0.32709881,NGIQ-BR-00000042,0.0204791,1.0626,5.2561,NGIQ-BR-00000004,IFG_R_6_1,0.48287397,NGIQ-BR-00000036,0.29175303,NGIQ-BR-00000042,0.05539297,0.19112095,1.6551,0.89089205,0.10910795,3.1043,TRUE,MULTI_TARGET_CONCENTRATED,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
165,AREA_IFJ2_IFS_PRECS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ2_IFS_PRECS,"Area IFJ2 (IFS, PreCS) left",left,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ2_IFS_PRECS_LEFT,NGIQ-BR-00000035,MFG_L_7_2,452.39248255,0.37821976,0.0664521,0.38462016,0.23440161,NGIQ-BR-00000079,0.2821026,NGIQ-BR-00000003,0.09611716,1.3407,4.753,NGIQ-BR-00000035,MFG_L_7_2,0.36921284,NGIQ-BR-00000079,0.3121113,NGIQ-BR-00000003,0.24573805,0.05710154,1.183,0.92722332,0.07277668,2.9643,TRUE,DIFFUSE_ASSOCIATION,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
166,AREA_IFJ2_IFS_PRECS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ2_IFS_PRECS,"Area IFJ2 (IFS, PreCS) right",right,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFJ2_IFS_PRECS_RIGHT,NGIQ-BR-00000004,IFG_R_6_1,277.61861023,0.69577176,0.09534,0.56343046,0.32552154,NGIQ-BR-00000056,0.12826112,NGIQ-BR-00000080,0.56751064,5.4247,2.8386,NGIQ-BR-00000004,IFG_R_6_1,0.71730085,NGIQ-BR-00000080,0.19783813,NGIQ-BR-00000036,0.00879405,0.51946272,3.6257,0.92803504,0.07196496,1.8161,TRUE,SINGLE_TARGET_CONCENTRATED,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
167,AREA_IFS1_IFS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS1_IFS,Area IFS1 (IFS) left,left,ONE_TO_ONE_CANONICAL,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_IFS1_IFS_LEFT,NGIQ-BR-00000039,MFG_L_7_4,131.07307622,0.34717108,0.01423402,0.16768747,0.06121733,NGIQ-BR-00000035,0.28138791,NGIQ-BR-00000047,0.06578317,1.2338,5.6981,NGIQ-BR-00000039,MFG_L_7_4,0.41639574,NGIQ-BR-00000047,0.30011051,NGIQ-BR-00000035,0.20517261,0.11628523,1.3875,0.92414187,0.07585813,2.9349,TRUE,MULTI_TARGET_CONCENTRATED,one_to_one,G4_G3_OVERLAP_INTERPRETATION_V1,,
