g3_entity_id,g3_name_en,g3_name_zh,g3_source_name,g3_hemisphere,derived_anatomical_family,derivation_basis,g1_candidate_entity_id,g1_candidate_name_en,g1_candidate_name_zh,g1_hemisphere,candidate_relation,candidate_method,confidence_class,candidate_count,decision,review_reason
NGIQ-BR-00000037,"Left Middle frontal gyrus, Brainnetome 7_3",左侧额中回（Brainnetome 7-3）,MFG_L_7_3,left,Middle frontal gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: caudal middle frontal gyrus; rostral middle frontal cortex
NGIQ-BR-00000039,"Left Middle frontal gyrus, Brainnetome 7_4",左侧额中回（Brainnetome 7-4）,MFG_L_7_4,left,Middle frontal gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: caudal middle frontal gyrus; rostral middle frontal cortex
NGIQ-BR-00000041,"Left Middle frontal gyrus, Brainnetome 7_5",左侧额中回（Brainnetome 7-5）,MFG_L_7_5,left,Middle frontal gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: caudal middle frontal gyrus; rostral middle frontal cortex
NGIQ-BR-00000043,"Left Middle frontal gyrus, Brainnetome 7_6",左侧额中回（Brainnetome 7-6）,MFG_L_7_6,left,Middle frontal gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: caudal middle frontal gyrus; rostral middle frontal cortex
NGIQ-BR-00000045,"Left Middle frontal gyrus, Brainnetome 7_7",左侧额中回（Brainnetome 7-7）,MFG_L_7_7,left,Middle frontal gyrus,MANUAL_REVIEW_REQUIRED,,Left Caudal Middle Frontal Gyrus; Left Rostral Middle Frontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: caudal middle frontal gyrus; rostral middle frontal cortex
NGIQ-BR-00000057,"Left Orbital gyrus, Brainnetome 6_1",左侧眶回（Brainnetome 6-1）,OrG_L_6_1,left,Orbital gyrus,MANUAL_REVIEW_REQUIRED,,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: lateral orbitofrontal cortex; medial orbitofrontal cortex
NGIQ-BR-00000059,"Left Orbital gyrus, Brainnetome 6_2",左侧眶回（Brainnetome 6-2）,OrG_L_6_2,left,Orbital gyrus,MANUAL_REVIEW_REQUIRED,,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: lateral orbitofrontal cortex; medial orbitofrontal cortex
NGIQ-BR-00000061,"Left Orbital gyrus, Brainnetome 6_3",左侧眶回（Brainnetome 6-3）,OrG_L_6_3,left,Orbital gyrus,MANUAL_REVIEW_REQUIRED,,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: lateral orbitofrontal cortex; medial orbitofrontal cortex
NGIQ-BR-00000063,"Left Orbital gyrus, Brainnetome 6_4",左侧眶回（Brainnetome 6-4）,OrG_L_6_4,left,Orbital gyrus,MANUAL_REVIEW_REQUIRED,,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: lateral orbitofrontal cortex; medial orbitofrontal cortex
NGIQ-BR-00000065,"Left Orbital gyrus, Brainnetome 6_5",左侧眶回（Brainnetome 6-5）,OrG_L_6_5,left,Orbital gyrus,MANUAL_REVIEW_REQUIRED,,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: lateral orbitofrontal cortex; medial orbitofrontal cortex
NGIQ-BR-00000067,"Left Orbital gyrus, Brainnetome 6_6",左侧眶回（Brainnetome 6-6）,OrG_L_6_6,left,Orbital gyrus,MANUAL_REVIEW_REQUIRED,,Left Lateral Orbitofrontal Cortex; Left Medial Orbitofrontal Cortex,,left,COARSE_AGGREGATION_CANDIDATE,,low,2,NEEDS_REVIEW,multiple coarse G1 candidates: lateral orbitofrontal cortex; medial orbitofrontal cortex
NGIQ-BR-00000133,"Left Posterior superior temporal sulcus, Brainnetome 2_1",左侧颞上沟后部（Brainnetome 2-1）,pSTS_L_2_1,left,Posterior superior temporal sulcus,MANUAL_REVIEW_REQUIRED,,,,left,,,none,0,NO_CANDIDATE,sulcal region; no coarse gyrus concept in G1
NGIQ-BR-00000135,"Left Posterior superior temporal sulcus, Brainnetome 2_2",左侧颞上沟后部（Brainnetome 2-2）,pSTS_L_2_2,left,Posterior superior temporal sulcus,MANUAL_REVIEW_REQUIRED,,,,left,,,none,0,NO_CANDIDATE,sulcal region; no coarse gyrus concept in G1
NGIQ-BR-00000019,"Left Striatum (basal ganglia), Brainnetome 6_1",左侧纹状体（Brainnetome 6-1）,Str_L_6_1,left,Striatum (basal ganglia),MANUAL_REVIEW_REQUIRED,,Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,multiple coarse G1 candidates: caudate nucleus; putamen; nucleus accumbens
NGIQ-BR-00000222,"Left Striatum (basal ganglia), Brainnetome 6_2",左侧纹状体（Brainnetome 6-2）,Str_L_6_2,left,Striatum (basal ganglia),MANUAL_REVIEW_REQUIRED,,Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,multiple coarse G1 candidates: caudate nucleus; putamen; nucleus accumbens
NGIQ-BR-00000224,"Left Striatum (basal ganglia), Brainnetome 6_3",左侧纹状体（Brainnetome 6-3）,Str_L_6_3,left,Striatum (basal ganglia),MANUAL_REVIEW_REQUIRED,,Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,multiple coarse G1 candidates: caudate nucleus; putamen; nucleus accumbens
NGIQ-BR-00000226,"Left Striatum (basal ganglia), Brainnetome 6_4",左侧纹状体（Brainnetome 6-4）,Str_L_6_4,left,Striatum (basal ganglia),MANUAL_REVIEW_REQUIRED,,Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,multiple coarse G1 candidates: caudate nucleus; putamen; nucleus accumbens
NGIQ-BR-00000228,"Left Striatum (basal ganglia), Brainnetome 6_5",左侧纹状体（Brainnetome 6-5）,Str_L_6_5,left,Striatum (basal ganglia),MANUAL_REVIEW_REQUIRED,,Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,multiple coarse G1 candidates: caudate nucleus; putamen; nucleus accumbens
NGIQ-BR-00000230,"Left Striatum (basal ganglia), Brainnetome 6_6",左侧纹状体（Brainnetome 6-6）,Str_L_6_6,left,Striatum (basal ganglia),MANUAL_REVIEW_REQUIRED,,Left Caudate Nucleus; Left Putamen; Left Nucleus Accumbens,,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,multiple coarse G1 candidates: caudate nucleus; putamen; nucleus accumbens
NGIQ-BR-00000182,"Right Cingulate gyrus, Brainnetome 7_1",右侧扣带回（Brainnetome 7-1）,CG_R_7_1,right,Cingulate gyrus,MANUAL_REVIEW_REQUIRED,,Right Caudal Anterior Cingulate Cortex; Right Rostral Anterior Cingulate Cortex; Right Posterior Cingulate Cortex; Right Isthmus Of Cingulate Gyrus,,right,COARSE_AGGREGATION_CANDIDATE,,low,4,NEEDS_REVIEW,multiple coarse G1 candidates: caudal anterior cingulate cortex; rostral anterior cingulate cortex; posterior cingulate cortex; isthmus of cingulate gyrus
NGIQ-BR-00000184,"Right Cingulate gyrus, Brainnetome 7_2",右侧扣带回（Brainnetome 7-2）,CG_R_7_2,right,Cingulate gyrus,MANUAL_REVIEW_REQUIRED,,Right Caudal Anterior Cingulate Cortex; Right Rostral Anterior Cingulate Cortex; Right Posterior Cingulate Cortex; Right Isthmus Of Cingulate Gyrus,,right,COARSE_AGGREGATION_CANDIDATE,,low,4,NEEDS_REVIEW,multiple coarse G1 candidates: caudal anterior cingulate cortex; rostral anterior cingulate cortex; posterior cingulate cortex; isthmus of cingulate gyrus
NGIQ-BR-00000186,"Right Cingulate gyrus, Brainnetome 7_3",右侧扣带回（Brainnetome 7-3）,CG_R_7_3,right,Cingulate gyrus,MANUAL_REVIEW_REQUIRED,,Right Caudal Anterior Cingulate Cortex; Right Rostral Anterior Cingulate Cortex; Right Posterior Cingulate Cortex; Right Isthmus Of Cingulate Gyrus,,right,COARSE_AGGREGATION_CANDIDATE,,low,4,NEEDS_REVIEW,multiple coarse G1 candidates: caudal anterior cingulate cortex; rostral anterior cingulate cortex; posterior cingulate cortex; isthmus of cingulate gyrus
NGIQ-BR-00000188,"Right Cingulate gyrus, Brainnetome 7_4",右侧扣带回（Brainnetome 7-4）,CG_R_7_4,right,Cingulate gyrus,MANUAL_REVIEW_REQUIRED,,Right Caudal Anterior Cingulate Cortex; Right Rostral Anterior Cingulate Cortex; Right Posterior Cingulate Cortex; Right Isthmus Of Cingulate Gyrus,,right,COARSE_AGGREGATION_CANDIDATE,,low,4,NEEDS_REVIEW,multiple coarse G1 candidates: caudal anterior cingulate cortex; rostral anterior cingulate cortex; posterior cingulate cortex; isthmus of cingulate gyrus
NGIQ-BR-00000190,"Right Cingulate gyrus, Brainnetome 7_5",右侧扣带回（Brainnetome 7-5）,CG_R_7_5,right,Cingulate gyrus,MANUAL_REVIEW_REQUIRED,,Right Caudal Anterior Cingulate Cortex; Right Rostral Anterior Cingulate Cortex; Right Posterior Cingulate Cortex; Right Isthmus Of Cingulate Gyrus,,right,COARSE_AGGREGATION_CANDIDATE,,low,4,NEEDS_REVIEW,multiple coarse G1 candidates: caudal anterior cingulate cortex; rostral anterior cingulate cortex; posterior cingulate cortex; isthmus of cingulate gyrus
NGIQ-BR-00000192,"Right Cingulate gyrus, Brainnetome 7_6",右侧扣带回（Brainnetome 7-6）,CG_R_7_6,right,Cingulate gyrus,MANUAL_REVIEW_REQUIRED,,Right Caudal Anterior Cingulate Cortex; Right Rostral Anterior Cingulate Cortex; Right Posterior Cingulate Cortex; Right Isthmus Of Cingulate Gyrus,,right,COARSE_AGGREGATION_CANDIDATE,,low,4,NEEDS_REVIEW,multiple coarse G1 candidates: caudal anterior cingulate cortex; rostral anterior cingulate cortex; posterior cingulate cortex; isthmus of cingulate gyrus
NGIQ-BR-00000194,"Right Cingulate gyrus, Brainnetome 7_7",右侧扣带回（Brainnetome 7-7）,CG_R_7_7,right,Cingulate gyrus,MANUAL_REVIEW_REQUIRED,,Right Caudal Anterior Cingulate Cortex; Right Rostral Anterior Cingulate Cortex; Right Posterior Cingulate Cortex; Right Isthmus Of Cingulate Gyrus,,right,COARSE_AGGREGATION_CANDIDATE,,low,4,NEEDS_REVIEW,multiple coarse G1 candidates: caudal anterior cingulate cortex; rostral anterior cingulate cortex; posterior cingulate cortex; isthmus of cingulate gyrus
NGIQ-BR-00000004,"Right Inferior frontal gyrus, Brainnetome 6_1",右侧额下回（Brainnetome 6-1）,IFG_R_6_1,right,Inferior frontal gyrus,MANUAL_REVIEW_REQUIRED,,"Right Inferior Frontal Gyrus, Pars Opercularis; Right Inferior Frontal Gyrus, Pars Orbitalis; Right Inferior Frontal Gyrus, Pars Triangularis",,right,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,"multiple coarse G1 candidates: inferior frontal gyrus, pars opercularis; inferior frontal gyrus, pars orbitalis; inferior frontal gyrus, pars triangularis"
NGIQ-BR-00000048,"Right Inferior frontal gyrus, Brainnetome 6_2",右侧额下回（Brainnetome 6-2）,IFG_R_6_2,right,Inferior frontal gyrus,MANUAL_REVIEW_REQUIRED,,"Right Inferior Frontal Gyrus, Pars Opercularis; Right Inferior Frontal Gyrus, Pars Orbitalis; Right Inferior Frontal Gyrus, Pars Triangularis",,right,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,"multiple coarse G1 candidates: inferior frontal gyrus, pars opercularis; inferior frontal gyrus, pars orbitalis; inferior frontal gyrus, pars triangularis"
NGIQ-BR-00000050,"Right Inferior frontal gyrus, Brainnetome 6_3",右侧额下回（Brainnetome 6-3）,IFG_R_6_3,right,Inferior frontal gyrus,MANUAL_REVIEW_REQUIRED,,"Right Inferior Frontal Gyrus, Pars Opercularis; Right Inferior Frontal Gyrus, Pars Orbitalis; Right Inferior Frontal Gyrus, Pars Triangularis",,right,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,"multiple coarse G1 candidates: inferior frontal gyrus, pars opercularis; inferior frontal gyrus, pars orbitalis; inferior frontal gyrus, pars triangularis"
