canonical_g4_id,canonical_g4_name,hemisphere,spatial_component_id,spatial_asset_file,spatial_evidence_status,pp_top1_g3,pp_top1_name,pp_top1_g4_weighted,pp_top1_joint_mass,hard_top1_g3,hard_top1_coverage,hard_top2_coverage,hard_top1_top2_margin,hard_total_bna_coverage,bna_uncovered_fraction,effective_target_count,top1_agreement,scientific_decision,decision_reason_code,future_rollup_eligible,future_primary_rollup,decision_policy_version,review_status
NGIQ-BR-00000361,SF.AHi (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000216,Amyg_R_2_1,0.58703699,497.81077275,NGIQ-BR-00000216,0.60122441,0.16810792,0.43311649,0.85152456,0.14847544,2.5227,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000362,SF.APir (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000216,Amyg_R_2_1,0.58703699,497.81077275,NGIQ-BR-00000216,0.60122441,0.16810792,0.43311649,0.85152456,0.14847544,2.5227,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000363,SF.VCo (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_RIGHT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000216,Amyg_R_2_1,0.58703699,497.81077275,NGIQ-BR-00000216,0.60122441,0.16810792,0.43311649,0.85152456,0.14847544,2.5227,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000364,SF.AHi (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000215,Amyg_L_2_1,0.54228576,304.26643731,NGIQ-BR-00000215,0.47511073,0.3385727,0.13653802,0.89587853,0.10412147,2.8226,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000365,SF.APir (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000215,Amyg_L_2_1,0.54228576,304.26643731,NGIQ-BR-00000215,0.47511073,0.3385727,0.13653802,0.89587853,0.10412147,2.8226,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000366,SF.VCo (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_SF_AMYGDALA,SF_AMYGDALA_LEFT.nii.gz,SHARED_SPATIAL_EVIDENCE,NGIQ-BR-00000215,Amyg_L_2_1,0.54228576,304.26643731,NGIQ-BR-00000215,0.47511073,0.3385727,0.13653802,0.89587853,0.10412147,2.8226,TRUE,SHARED_SPATIAL_EVIDENCE_ONLY,NO_INDEPENDENT_LEAF_SPATIAL_EVIDENCE,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000367,Astr (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ASTR_AMYGDALA,ASTR_AMYGDALA_RIGHT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000218,Amyg_R_2_2,0.405868,152.44894244,NGIQ-BR-00000218,0.41906006,0.16263818,0.25642188,0.77303393,0.22696607,3.5332,TRUE,CONFLICT_REVIEW,HIGH_FRAGMENTATION,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000368,Astr (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_ASTR_AMYGDALA,ASTR_AMYGDALA_LEFT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000217,Amyg_L_2_2,0.45278582,139.52660795,NGIQ-BR-00000217,0.30739363,0.29863416,0.00875947,0.77729099,0.22270901,3.5256,TRUE,CONFLICT_REVIEW,PARTIAL_TARGET_EVIDENCE_INCONSISTENT,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000369,VTM (Amygdala) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VTM_AMYGDALA,VTM_AMYGDALA_RIGHT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000018,Hipp_R_2_1,0.61868056,190.36134515,NGIQ-BR-00000018,0.64652805,0.19260343,0.45392462,0.98744702,0.01255298,2.5631,TRUE,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000370,VTM (Amygdala) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_VTM_AMYGDALA,VTM_AMYGDALA_LEFT.nii.gz,DIRECT_CANONICAL_SPATIAL_EVIDENCE,NGIQ-BR-00000017,Hipp_L_2_1,0.47957675,90.41299748,NGIQ-BR-00000017,0.827706,0.06151195,0.76619404,0.95014071,0.04985929,1.6673,TRUE,APPROVE_CONTAINED_IN,CONTAINED_CRITERIA_V1,True,True,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
