pair_id,family,modified_name,seed_dk_constituents,left_parcel_id,left_g3,left_authority,left_top1_dk,left_top1_g1,left_top1_cov,left_top2_dk,left_top2_cov,left_margin,left_non_g1,left_n_dk,right_parcel_id,right_g3,right_authority,right_top1_dk,right_top1_g1,right_top1_cov,right_top2_dk,right_top2_cov,right_margin,right_non_g1,right_n_dk,bilateral_status,review_tags,special_case
STG_6_3,STG,TE1.0 and TE1.2,Superior Temporal Gyrus; Temporal Pole; Transverse Temporal Cortex,73,NGIQ-BR-00000087,PENDING_HUMAN_REVIEW,superiortemporal,Left Superior Temporal Gyrus,0.570241,transversetemporal,0.429322,0.140919,0.0,3,74,NGIQ-BR-00000088,PENDING_HUMAN_REVIEW,superiortemporal,Right Superior Temporal Gyrus,0.675108,transversetemporal,0.304957,0.370151,0.0,3,ASYMMETRIC_COVERAGE,BOUNDARY_LIKE,no
STG_6_4,STG,caudal area 22,Superior Temporal Gyrus; Temporal Pole; Transverse Temporal Cortex,75,NGIQ-BR-00000089,PENDING_HUMAN_REVIEW,superiortemporal,Left Superior Temporal Gyrus,0.954993,bankssts,0.043601,0.953586,0.043601,3,76,NGIQ-BR-00000090,PENDING_HUMAN_REVIEW,superiortemporal,Right Superior Temporal Gyrus,0.958685,bankssts,0.040472,0.957841,0.040472,3,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE;NON_G1_COMPONENT_PRESENT,no
STG_6_5,STG,lateral area 38,Superior Temporal Gyrus; Temporal Pole; Transverse Temporal Cortex,77,NGIQ-BR-00000091,PENDING_HUMAN_REVIEW,superiortemporal,Left Superior Temporal Gyrus,0.957774,insula,0.042226,0.915547,0.0,2,78,NGIQ-BR-00000092,PENDING_HUMAN_REVIEW,superiortemporal,Right Superior Temporal Gyrus,0.965749,insula,0.034251,0.931498,0.0,2,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE,no
STG_6_6,STG,rostral area 22,Superior Temporal Gyrus; Temporal Pole; Transverse Temporal Cortex,79,NGIQ-BR-00000093,PENDING_HUMAN_REVIEW,superiortemporal,Left Superior Temporal Gyrus,0.994943,middletemporal,0.005057,0.989886,0.0,2,80,NGIQ-BR-00000094,PENDING_HUMAN_REVIEW,superiortemporal,Right Superior Temporal Gyrus,0.970827,bankssts,0.029173,0.970827,0.029173,2,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE;NON_G1_COMPONENT_PRESENT,no
PhG_6_1,PhG,rostral area 35/36,Entorhinal Area; Parahippocampal Gyrus,109,NGIQ-BR-00000121,PENDING_HUMAN_REVIEW,entorhinal,Left Entorhinal Cortex,0.974747,fusiform,0.025253,0.949495,0.0,2,110,NGIQ-BR-00000122,PENDING_HUMAN_REVIEW,entorhinal,Right Entorhinal Cortex,0.903571,fusiform,0.096429,0.807143,0.0,2,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE,no
PhG_6_2,PhG,caudal area 35/36,Entorhinal Area; Parahippocampal Gyrus,111,NGIQ-BR-00000123,PENDING_HUMAN_REVIEW,parahippocampal,Left Parahippocampal Gyrus,0.928191,entorhinal,0.071809,0.856383,0.0,2,112,NGIQ-BR-00000124,PENDING_HUMAN_REVIEW,parahippocampal,Right Parahippocampal Gyrus,0.951482,entorhinal,0.040431,0.911051,0.0,3,SAME_TOP1_TARGET,HIGH_SPATIAL_CONCORDANCE,no
PhG_6_3,PhG,"area TL (lateral PPHC, posterior parahippocampal gyrus)",Entorhinal Area; Parahippocampal Gyrus,113,NGIQ-BR-00000125,PENDING_HUMAN_REVIEW,parahippocampal,Left Parahippocampal Gyrus,0.979133,fusiform,0.020867,0.958266,0.0,2,114,NGIQ-BR-00000126,PENDING_HUMAN_REVIEW,parahippocampal,Right Parahippocampal Gyrus,0.836466,fusiform,0.163534,0.672932,0.0,2,ASYMMETRIC_COVERAGE,MID_SPATIAL_CONCORDANCE,no
PhG_6_4,PhG,"area 28/34 (EC, entorhinal cortex)",Entorhinal Area; Parahippocampal Gyrus,115,NGIQ-BR-00000127,PENDING_HUMAN_REVIEW,entorhinal,Left Entorhinal Cortex,0.607046,parahippocampal,0.392954,0.214092,0.0,2,116,NGIQ-BR-00000128,PENDING_HUMAN_REVIEW,entorhinal,Right Entorhinal Cortex,0.693798,parahippocampal,0.306202,0.387597,0.0,2,SAME_TOP1_TARGET,BOUNDARY_LIKE,no
PhG_6_5,PhG,area TI(temporal agranular insular cortex),Entorhinal Area; Parahippocampal Gyrus,117,NGIQ-BR-00000129,PENDING_HUMAN_REVIEW,entorhinal,Left Entorhinal Cortex,0.833333,temporalpole,0.114583,0.78125,0.114583,3,118,NGIQ-BR-00000130,PENDING_HUMAN_REVIEW,entorhinal,Right Entorhinal Cortex,0.977654,temporalpole,0.022346,0.977654,0.022346,2,ASYMMETRIC_COVERAGE,MID_SPATIAL_CONCORDANCE;NON_G1_COMPONENT_PRESENT,no
PhG_6_6,PhG,area TH (medial PPHC),Entorhinal Area; Parahippocampal Gyrus,119,NGIQ-BR-00000131,PENDING_HUMAN_REVIEW,parahippocampal,Left Parahippocampal Gyrus,0.896471,lingual,0.077647,0.818824,0.0,3,120,NGIQ-BR-00000132,PENDING_HUMAN_REVIEW,parahippocampal,Right Parahippocampal Gyrus,0.995833,lingual,0.004167,0.991667,0.0,2,SAME_TOP1_TARGET,MID_SPATIAL_CONCORDANCE,no
