component_index,parcel_id,official_name,official_code,canonical_g3_id,hemisphere,lut_name,lobe,macro_gyrus_name,source_asset,source_sha256,output_asset,output_sha256,source_space,target_space,transform_sha256,tool,tool_version,interpolation,source_scale,output_scale,source_nonzero_voxels,target_nonzero_voxels,source_probability_sum,target_probability_sum,probability_sum_ratio,support_volume_ratio,target_grid_match,hemisphere_check,finite_check,range_check,nonempty_check,cross_check,boundary_touch_fraction,correct_side_mass_fraction,transform_status
21,21,Middle frontal gyrus,MFG_L_7_4,NGIQ-BR-00000039,left,A9/46v_L,Frontal lobe,Middle frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp021_MFG_L_7_4_prob_2009c.nii.gz,de8537838b3b17b1da796f768eabcb9fcb1cf7dd7b0ef749618957c4dea7ba13,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,18409,51950,430724.3475,9208.4338,0.021379,2.821989,True,True,True,True,True,True,0.0,1.0,PASS
22,22,Middle frontal gyrus,MFG_R_7_4,NGIQ-BR-00000040,right,A9/46v_R,Frontal lobe,Middle frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp022_MFG_R_7_4_prob_2009c.nii.gz,de34f676ac3645dbd81423e6d1cf60fc7d1bc4b8ed9d7fe5a50fb4b8e72d7741,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,18408,54577,384281.0661,8508.2198,0.022141,2.964852,True,True,True,True,True,True,0.0,1.0,PASS
23,23,Middle frontal gyrus,MFG_L_7_5,NGIQ-BR-00000041,left,A8vl_L,Frontal lobe,Middle frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp023_MFG_L_7_5_prob_2009c.nii.gz,c9587c778df14517b4c8702c5baab110092a9480da264402648d7a513ea35249,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,15829,44969,361790.971,7070.8826,0.019544,2.840925,True,True,True,True,True,True,0.0,1.0,PASS
24,24,Middle frontal gyrus,MFG_R_7_5,NGIQ-BR-00000042,right,A8vl_R,Frontal lobe,Middle frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp024_MFG_R_7_5_prob_2009c.nii.gz,464e3f10639d4c2aeb8491ddbd2f801ac01f079682b13b125097cddcd3fc0d31,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,19549,56772,360385.7005,7858.0562,0.021805,2.904087,True,True,True,True,True,True,0.0,1.0,PASS
25,25,Middle frontal gyrus,MFG_L_7_6,NGIQ-BR-00000043,left,A6vl_L,Frontal lobe,Middle frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp025_MFG_L_7_6_prob_2009c.nii.gz,878d1d977f03b026a1aee470fa4fb04343e417cebd7a532cdc0bf567e8e5ff46,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,15651,47649,303606.9435,6198.5965,0.020417,3.04447,True,True,True,True,True,True,0.0,1.0,PASS
26,26,Middle frontal gyrus,MFG_R_7_6,NGIQ-BR-00000044,right,A6vl_R,Frontal lobe,Middle frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp026_MFG_R_7_6_prob_2009c.nii.gz,cf1e7dc454518cd77ee7e43c96db0331d49463a45e77f00997a47d99b42bf966,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,11272,35516,286085.7629,5921.8189,0.020699,3.150816,True,True,True,True,True,True,0.0,1.0,PASS
27,27,Middle frontal gyrus,MFG_L_7_7,NGIQ-BR-00000045,left,A10l_L,Frontal lobe,Middle frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp027_MFG_L_7_7_prob_2009c.nii.gz,f7c69a88643541426918f4625e32b4290f37f2fbb6effb4f60786ed84cff414e,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,15565,48739,368976.2143,8121.9261,0.022012,3.13132,True,True,True,True,True,True,0.0,1.0,PASS
28,28,Middle frontal gyrus,MFG_R_7_7,NGIQ-BR-00000046,right,A10l_R,Frontal lobe,Middle frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp028_MFG_R_7_7_prob_2009c.nii.gz,140752231da46cc22c37f584646b394571ca6344338584192385925854c00728,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,12836,41046,426973.0578,9165.514,0.021466,3.197725,True,True,True,True,True,True,0.0,1.0,PASS
29,29,Inferior frontal gyrus,IFG_L_6_1,NGIQ-BR-00000003,left,A44d_L,Frontal lobe,Inferior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp029_IFG_L_6_1_prob_2009c.nii.gz,71514708f434e61818e191331f044c6760cce406ae054fc5321b49d180b2323e,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,4581,15242,140668.0781,2835.7747,0.020159,3.327221,True,True,True,True,True,True,0.0,1.0,PASS
30,30,Inferior frontal gyrus,IFG_R_6_1,NGIQ-BR-00000004,right,A44d_R,Frontal lobe,Inferior frontal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp030_IFG_R_6_1_prob_2009c.nii.gz,014df24f52a75b2c4f123dd8c2186a5a5c81110d7d0b5fd25787cafeac4138c6,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,4816,15541,148063.1604,2911.8796,0.019666,3.226952,True,True,True,True,True,True,0.0,1.0,PASS
