component_index,parcel_id,official_name,official_code,canonical_g3_id,hemisphere,lut_name,lobe,macro_gyrus_name,source_asset,source_sha256,output_asset,output_sha256,source_space,target_space,transform_sha256,tool,tool_version,interpolation,source_scale,output_scale,source_nonzero_voxels,target_nonzero_voxels,source_probability_sum,target_probability_sum,probability_sum_ratio,support_volume_ratio,target_grid_match,hemisphere_check,finite_check,range_check,nonempty_check,cross_check,boundary_touch_fraction,correct_side_mass_fraction,transform_status
63,63,Precentral gyrus,PrG_L_6_6,NGIQ-BR-00000079,left,A6cvl_L,Frontal lobe,Precentral gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp063_PrG_L_6_6_prob_2009c.nii.gz,7ea5a4e5566610b153b8640508c603cd505103f02109327baaaf79076dbcff8a,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,7436,24554,271760.7277,5623.223,0.020692,3.302044,True,True,True,True,True,True,0.0,1.0,PASS
64,64,Precentral gyrus,PrG_R_6_6,NGIQ-BR-00000080,right,A6cvl_R,Frontal lobe,Precentral gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp064_PrG_R_6_6_prob_2009c.nii.gz,c62ce8a1908dfc30065c6bc95aabfbd86fd0a889f37727e8c523d5de90d95aab,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,8596,27082,240431.9557,4935.6218,0.020528,3.150535,True,True,True,True,True,True,0.0,1.0,PASS
65,65,Paracentral lobule,PCL_L_2_1,NGIQ-BR-00000081,left,A1/2/3ll_L,Frontal lobe,Paracentral lobule,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp065_PCL_L_2_1_prob_2009c.nii.gz,29a1c03035c9dbe507e61506a1fd9814868dddd358bf9f74282d15a24bf4f70c,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,4241,12434,220122.8068,4470.9893,0.020311,2.931856,True,True,True,True,True,True,0.0,0.984349,PASS
66,66,Paracentral lobule,PCL_R_2_1,NGIQ-BR-00000082,right,A1/2/3ll_R,Frontal lobe,Paracentral lobule,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp066_PCL_R_2_1_prob_2009c.nii.gz,822a33cc0378f91146ff560e3092e486fb251a88db2cf634dfda4734dec10943,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,4156,12683,231200.1709,4784.0313,0.020692,3.051732,True,True,True,True,True,True,0.0,0.972344,PASS
67,67,Paracentral lobule,PCL_L_2_2,NGIQ-BR-00000083,left,A4ll_L,Frontal lobe,Paracentral lobule,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp067_PCL_L_2_2_prob_2009c.nii.gz,a9fbd77b880e5ab4cad7e845cd81386552d3f20cb8b44b0f3a4d2d9ec0126d7b,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,4187,12292,226377.1927,4649.0015,0.020537,2.935754,True,True,True,True,True,True,0.0,0.955634,PASS
68,68,Paracentral lobule,PCL_R_2_2,NGIQ-BR-00000084,right,A4ll_R,Frontal lobe,Paracentral lobule,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp068_PCL_R_2_2_prob_2009c.nii.gz,42794d896f274e9817866b080073388c5c05dc61a6a8a78202f301d17591e9c2,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,4704,13825,262199.8285,5292.9975,0.020187,2.938988,True,True,True,True,True,True,0.0,0.915383,PASS
69,69,Superior temporal gyrus,STG_L_6_1,NGIQ-BR-00000005,left,A38m_L,Temporal lobe,Superior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp069_STG_L_6_1_prob_2009c.nii.gz,02385be513457c6f5253d2597d15f40e7256680c901954e642c4bec178dad7a4,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,7003,21465,290310.0701,5892.537,0.020297,3.065115,True,True,True,True,True,True,0.0,1.0,PASS
70,70,Superior temporal gyrus,STG_R_6_1,NGIQ-BR-00000006,right,A38m_R,Temporal lobe,Superior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp070_STG_R_6_1_prob_2009c.nii.gz,a2d149a9e918bf3d39581351c31b75a14c0d1e5e0dd2609fcf30eb7a01c0c8bb,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,4904,13902,290159.293,5718.5018,0.019708,2.834829,True,True,True,True,True,True,0.0,1.0,PASS
71,71,Superior temporal gyrus,STG_L_6_2,NGIQ-BR-00000085,left,A41/42_L,Temporal lobe,Superior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp071_STG_L_6_2_prob_2009c.nii.gz,cdb73c93b84b89d26679d312b4bbad365a205eadaff4c6ccb8bc492e91c21d24,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,12743,38938,261594.9929,5311.2182,0.020303,3.055638,True,True,True,True,True,True,0.0,1.0,PASS
72,72,Superior temporal gyrus,STG_R_6_2,NGIQ-BR-00000086,right,A41/42_R,Temporal lobe,Superior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp072_STG_R_6_2_prob_2009c.nii.gz,68c3b8d654ffce09ddad5ff510951d5c9cb5b52f435dec8f0647afba2e9a07c8,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,9698,30086,237546.9199,5068.3578,0.021336,3.102289,True,True,True,True,True,True,0.0,1.0,PASS
73,73,Superior temporal gyrus,STG_L_6_3,NGIQ-BR-00000087,left,TE1.0/TE1.2_L,Temporal lobe,Superior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp073_STG_L_6_3_prob_2009c.nii.gz,5bee2f765a785343b242108bba9c3069988db816b7ceda7aea91df0c48c3cd42,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,11819,34601,366509.3123,7725.7232,0.021079,2.927574,True,True,True,True,True,True,0.0,1.0,PASS
74,74,Superior temporal gyrus,STG_R_6_3,NGIQ-BR-00000088,right,TE1.0/TE1.2_R,Temporal lobe,Superior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp074_STG_R_6_3_prob_2009c.nii.gz,351a273d66c05612b018a316fee169ec96a7167d359f67ca002113ff7ba29bc7,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,9870,30734,313405.5574,6591.3713,0.021031,3.11388,True,True,True,True,True,True,0.0,1.0,PASS
75,75,Superior temporal gyrus,STG_L_6_4,NGIQ-BR-00000089,left,A22c_L,Temporal lobe,Superior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp075_STG_L_6_4_prob_2009c.nii.gz,dade7b1a722d507cbb53f70a8ac3a4ade83a57338e21527efe2a8a68f227835e,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,9147,28490,255781.5838,5311.1373,0.020764,3.114682,True,True,True,True,True,True,0.0,1.0,PASS
76,76,Superior temporal gyrus,STG_R_6_4,NGIQ-BR-00000090,right,A22c_R,Temporal lobe,Superior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp076_STG_R_6_4_prob_2009c.nii.gz,76c6d1c75ebe55b7354833340b249ec6c4da7bfacd42d16506c8d159ead220db,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,9489,29826,228298.9818,4861.6997,0.021295,3.143218,True,True,True,True,True,True,0.0,1.0,PASS
77,77,Superior temporal gyrus,STG_L_6_5,NGIQ-BR-00000091,left,A38l_L,Temporal lobe,Superior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp077_STG_L_6_5_prob_2009c.nii.gz,b1b3dae6749568116bac13b7c34415cde1edb9e98bcceeecf5eeca316598d6c6,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,15501,44983,289387.5657,6098.2051,0.021073,2.901942,True,True,True,True,True,True,0.0,1.0,PASS
78,78,Superior temporal gyrus,STG_R_6_5,NGIQ-BR-00000092,right,A38l_R,Temporal lobe,Superior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp078_STG_R_6_5_prob_2009c.nii.gz,c3cbda2f520ab1cb6eff33242515309f66aa46dfd609a7f88d22426e56540a66,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,11072,34418,291944.2421,6251.8009,0.021414,3.108562,True,True,True,True,True,True,0.0,1.0,PASS
79,79,Superior temporal gyrus,STG_L_6_6,NGIQ-BR-00000093,left,A22r_L,Temporal lobe,Superior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp079_STG_L_6_6_prob_2009c.nii.gz,033e50615d53618d44657bf04edc9ae9e7d520d530ef2e91921ec2bfcc9ba72f,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,10322,32401,269316.4731,5727.0048,0.021265,3.139023,True,True,True,True,True,True,0.0,1.0,PASS
80,80,Superior temporal gyrus,STG_R_6_6,NGIQ-BR-00000094,right,A22r_R,Temporal lobe,Superior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp080_STG_R_6_6_prob_2009c.nii.gz,b8b9cc281b9683a1e8ce811e0979863e14889b90a35a672c772f36ec0e335674,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,8263,25869,259545.0041,5545.9837,0.021368,3.130703,True,True,True,True,True,True,0.0,1.0,PASS
81,81,Middle temporal gyrus,MTG_L_4_1,NGIQ-BR-00000007,left,A21c_L,Temporal lobe,Middle temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp081_MTG_L_4_1_prob_2009c.nii.gz,f99c55ba8e8c0fcd43e1f1500abfd7092f7083447455f9e05b2e6d0538a0b7e5,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,12154,34948,349887.6833,7417.3028,0.021199,2.875432,True,True,True,True,True,True,0.0,1.0,PASS
82,82,Middle temporal gyrus,MTG_R_4_1,NGIQ-BR-00000008,right,A21c_R,Temporal lobe,Middle temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp082_MTG_R_4_1_prob_2009c.nii.gz,e19dd826a0b0e4fa956cda7f07755d3494478fe51709c9d0e8412f8ef238dc86,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,12397,36582,356312.6182,7678.0151,0.021549,2.950875,True,True,True,True,True,True,0.0,1.0,PASS
83,83,Middle temporal gyrus,MTG_L_4_2,NGIQ-BR-00000095,left,A21r_L,Temporal lobe,Middle temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp083_MTG_L_4_2_prob_2009c.nii.gz,3431697fc74ebc19b007edf9f3a7ae4f8b21e3f6c8379a13ad6f0c67160c5e91,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,9823,30563,365965.7517,7918.7522,0.021638,3.111371,True,True,True,True,True,True,0.0,1.0,PASS
84,84,Middle temporal gyrus,MTG_R_4_2,NGIQ-BR-00000096,right,A21r_R,Temporal lobe,Middle temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp084_MTG_R_4_2_prob_2009c.nii.gz,4e677b912ded90be5d7727b5d818af6c250dd19c88ed18bf2781455aa098760b,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,10263,31910,395007.1702,8735.0151,0.022114,3.109227,True,True,True,True,True,True,0.0,1.0,PASS
85,85,Middle temporal gyrus,MTG_L_4_3,NGIQ-BR-00000097,left,A37dl_L,Temporal lobe,Middle temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp085_MTG_L_4_3_prob_2009c.nii.gz,acd089821aeda3e0457cb6b92636dfb29d84fcf918cdbf165287abbdbf33e50f,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,9967,31236,298793.4167,6119.5273,0.020481,3.133942,True,True,True,True,True,True,0.0,1.0,PASS
86,86,Middle temporal gyrus,MTG_R_4_3,NGIQ-BR-00000098,right,A37dl_R,Temporal lobe,Middle temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp086_MTG_R_4_3_prob_2009c.nii.gz,f7b75f0165ab98ccf142acdcf09cd8fb20751ce3616c68ba56af66a05fb9e100,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,9956,30838,291185.4856,6306.441,0.021658,3.097429,True,True,True,True,True,True,0.0,1.0,PASS
87,87,Middle temporal gyrus,MTG_L_4_4,NGIQ-BR-00000099,left,aSTS_L,Temporal lobe,Middle temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp087_MTG_L_4_4_prob_2009c.nii.gz,56c57638019f40b4fff57e43ca5c863fff7253b2bc1ac2af57285ff153205462,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,10558,31390,323353.1466,6785.6369,0.020985,2.973101,True,True,True,True,True,True,0.0,1.0,PASS
88,88,Middle temporal gyrus,MTG_R_4_4,NGIQ-BR-00000100,right,aSTS_R,Temporal lobe,Middle temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp088_MTG_R_4_4_prob_2009c.nii.gz,1bf9111843148cec0bc6fd8b611153f9f21104b8adc555954e24964a47b50468,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,10513,32085,393594.7249,8375.0857,0.021278,3.051936,True,True,True,True,True,True,0.0,1.0,PASS
89,89,Inferior temporal gyrus,ITG_L_7_1,NGIQ-BR-00000101,left,A20iv_L,Temporal lobe,Inferior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp089_ITG_L_7_1_prob_2009c.nii.gz,6eb520bd07630876c60877db665ea7f55d9da7312694b730652de0f38a4c9b0f,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,10439,30170,206505.3503,4161.1804,0.02015,2.890124,True,True,True,True,True,True,0.0,1.0,PASS
90,90,Inferior temporal gyrus,ITG_R_7_1,NGIQ-BR-00000102,right,A20iv_R,Temporal lobe,Inferior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp090_ITG_R_7_1_prob_2009c.nii.gz,c56b96984e9d8f755a38f4b679b213cfb70e4b91e19d94e27d892765d2804f00,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,10702,30946,177973.3511,3667.8737,0.020609,2.891609,True,True,True,True,True,True,0.0,1.0,PASS
91,91,Inferior temporal gyrus,ITG_L_7_2,NGIQ-BR-00000103,left,A37elv_L,Temporal lobe,Inferior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp091_ITG_L_7_2_prob_2009c.nii.gz,d76bebf1185e614f9c781695bf6986ef3ee05ba48d636e80f9d4b77bdf41a2b5,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,7412,22942,163776.044,3352.6215,0.020471,3.095251,True,True,True,True,True,True,0.0,1.0,PASS
92,92,Inferior temporal gyrus,ITG_R_7_2,NGIQ-BR-00000104,right,A37elv_R,Temporal lobe,Inferior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp092_ITG_R_7_2_prob_2009c.nii.gz,a4c112ed50e4f6869ea55cfcc1d59b4a783670bc95aa6ae04efa6ee319d2a636,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,7945,24501,141389.4558,2828.6162,0.020006,3.083826,True,True,True,True,True,True,0.0,1.0,PASS
93,93,Inferior temporal gyrus,ITG_L_7_3,NGIQ-BR-00000105,left,A20r_L,Temporal lobe,Inferior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp093_ITG_L_7_3_prob_2009c.nii.gz,7991951902ed0d772ced149942a6308141ea3ff68035449f1f477dd8e759a17f,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,9706,29648,210571.3222,4492.8803,0.021337,3.054605,True,True,True,True,True,True,0.0,1.0,PASS
94,94,Inferior temporal gyrus,ITG_R_7_3,NGIQ-BR-00000106,right,A20r_R,Temporal lobe,Inferior temporal gyrus,data/atlases/brainnetome/bna246/volume_raw/BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp094_ITG_R_7_3_prob_2009c.nii.gz,285a82752c9ecd9f2567ab2adb9c4c146ee83025e2ee1a31b12ab3eeb360ef47,MNI152NLin6Asym (HCP40 1.25mm grid),MNI152NLin2009cAsym 1mm,2e3869a07b96aec406e0419ca2e434afc54882d37cc212b933b139d1b63a4dfe,SimpleITK,2.5.6,Linear,percent_0_100,normalized_0_1,6615,22617,189291.9069,3829.0289,0.020228,3.419048,True,True,True,True,True,True,0.0,1.0,PASS
