pair_id,left_g3_entity_id,right_g3_entity_id,seed_mask_code,cohort,left_top1_g1,right_top1_g1,left_top1_cov,right_top1_cov,left_top1_dk,right_top1_dk,consistency_status
PrG_6_5,NGIQ-BR-00000077,NGIQ-BR-00000078,PrG,SINGLE_SEED_CONTROL,Precentral Gyrus,Precentral Gyrus,0.912011,0.954662,precentral,precentral,SAME_TOP1_TARGET
PrG_6_6,NGIQ-BR-00000079,NGIQ-BR-00000080,PrG,SINGLE_SEED_CONTROL,Precentral Gyrus,Precentral Gyrus,0.925864,0.965254,precentral,precentral,SAME_TOP1_TARGET
PCL_2_1,NGIQ-BR-00000081,NGIQ-BR-00000082,PCL,SINGLE_SEED_CONTROL,Paracentral Lobule,Paracentral Lobule,0.924893,0.928874,paracentral,paracentral,SAME_TOP1_TARGET
PCL_2_2,NGIQ-BR-00000083,NGIQ-BR-00000084,PCL,SINGLE_SEED_CONTROL,Paracentral Lobule,Paracentral Lobule,0.972814,0.93906,paracentral,paracentral,SAME_TOP1_TARGET
STG_6_1,NGIQ-BR-00000005,NGIQ-BR-00000006,STG,COMPOSITE_SEED_PENDING,Superior Temporal Gyrus,Superior Temporal Gyrus,0.154762,0.147059,temporalpole,temporalpole,SAME_TOP1_TARGET
STG_6_2,NGIQ-BR-00000085,NGIQ-BR-00000086,STG,COMPOSITE_SEED_PENDING,Superior Temporal Gyrus,Superior Temporal Gyrus,0.961657,0.865783,superiortemporal,superiortemporal,SAME_TOP1_TARGET
STG_6_3,NGIQ-BR-00000087,NGIQ-BR-00000088,STG,COMPOSITE_SEED_PENDING,Superior Temporal Gyrus,Superior Temporal Gyrus,0.570241,0.675108,superiortemporal,superiortemporal,ASYMMETRIC_COVERAGE
STG_6_4,NGIQ-BR-00000089,NGIQ-BR-00000090,STG,COMPOSITE_SEED_PENDING,Superior Temporal Gyrus,Superior Temporal Gyrus,0.954993,0.958685,superiortemporal,superiortemporal,SAME_TOP1_TARGET
STG_6_5,NGIQ-BR-00000091,NGIQ-BR-00000092,STG,COMPOSITE_SEED_PENDING,Superior Temporal Gyrus,Superior Temporal Gyrus,0.957774,0.965749,superiortemporal,superiortemporal,SAME_TOP1_TARGET
STG_6_6,NGIQ-BR-00000093,NGIQ-BR-00000094,STG,COMPOSITE_SEED_PENDING,Superior Temporal Gyrus,Superior Temporal Gyrus,0.994943,0.970827,superiortemporal,superiortemporal,SAME_TOP1_TARGET
