source_g4,target_count,candidate_targets,final_targets,target_set_match,per_target_coverage_match,duplicate_target_count,missing_target_count,extra_target_count,partial_review_result
NGIQ-BR-00000646,3,NGIQ-BR-00000065;NGIQ-BR-00000193;NGIQ-BR-00000057,NGIQ-BR-00000065;NGIQ-BR-00000193;NGIQ-BR-00000057,True,True,0,0,0,PASS
NGIQ-BR-00000649,3,NGIQ-BR-00000032;NGIQ-BR-00000058;NGIQ-BR-00000030,NGIQ-BR-00000032;NGIQ-BR-00000058;NGIQ-BR-00000030,True,True,0,0,0,PASS
NGIQ-BR-00000665,2,NGIQ-BR-00000220;NGIQ-BR-00000018,NGIQ-BR-00000220;NGIQ-BR-00000018,True,True,0,0,0,PASS
NGIQ-BR-00000666,2,NGIQ-BR-00000219;NGIQ-BR-00000017,NGIQ-BR-00000219;NGIQ-BR-00000017,True,True,0,0,0,PASS
NGIQ-BR-00000679,2,NGIQ-BR-00000220;NGIQ-BR-00000018,NGIQ-BR-00000220;NGIQ-BR-00000018,True,True,0,0,0,PASS
NGIQ-BR-00000680,2,NGIQ-BR-00000017;NGIQ-BR-00000219,NGIQ-BR-00000017;NGIQ-BR-00000219,True,True,0,0,0,PASS
NGIQ-BR-00000686,2,NGIQ-BR-00000224;NGIQ-BR-00000065,NGIQ-BR-00000224;NGIQ-BR-00000065,True,True,0,0,0,PASS
NGIQ-BR-00000688,2,NGIQ-BR-00000065;NGIQ-BR-00000224,NGIQ-BR-00000065;NGIQ-BR-00000224,True,True,0,0,0,PASS
NGIQ-BR-00000716,3,NGIQ-BR-00000237;NGIQ-BR-00000245;NGIQ-BR-00000020,NGIQ-BR-00000237;NGIQ-BR-00000245;NGIQ-BR-00000020,True,True,0,0,0,PASS
NGIQ-BR-00000720,3,NGIQ-BR-00000237;NGIQ-BR-00000238;NGIQ-BR-00000020,NGIQ-BR-00000237;NGIQ-BR-00000238;NGIQ-BR-00000020,True,True,0,0,0,PASS
NGIQ-BR-00000722,3,NGIQ-BR-00000239;NGIQ-BR-00000241;NGIQ-BR-00000235,NGIQ-BR-00000239;NGIQ-BR-00000241;NGIQ-BR-00000235,True,True,0,0,0,PASS
NGIQ-BR-00000723,2,NGIQ-BR-00000242;NGIQ-BR-00000240,NGIQ-BR-00000242;NGIQ-BR-00000240,True,True,0,0,0,PASS
NGIQ-BR-00000724,2,NGIQ-BR-00000241;NGIQ-BR-00000243,NGIQ-BR-00000241;NGIQ-BR-00000243,True,True,0,0,0,PASS
NGIQ-BR-00000725,2,NGIQ-BR-00000240;NGIQ-BR-00000242,NGIQ-BR-00000240;NGIQ-BR-00000242,True,True,0,0,0,PASS
NGIQ-BR-00000735,3,NGIQ-BR-00000240;NGIQ-BR-00000236;NGIQ-BR-00000246,NGIQ-BR-00000240;NGIQ-BR-00000236;NGIQ-BR-00000246,True,True,0,0,0,PASS
NGIQ-BR-00000736,3,NGIQ-BR-00000239;NGIQ-BR-00000235;NGIQ-BR-00000241,NGIQ-BR-00000239;NGIQ-BR-00000235;NGIQ-BR-00000241,True,True,0,0,0,PASS
NGIQ-BR-00000739,2,NGIQ-BR-00000244;NGIQ-BR-00000238,NGIQ-BR-00000244;NGIQ-BR-00000238,True,True,0,0,0,PASS
NGIQ-BR-00000740,2,NGIQ-BR-00000237;NGIQ-BR-00000243,NGIQ-BR-00000237;NGIQ-BR-00000243,True,True,0,0,0,PASS
NGIQ-BR-00000741,2,NGIQ-BR-00000238;NGIQ-BR-00000244,NGIQ-BR-00000238;NGIQ-BR-00000244,True,True,0,0,0,PASS
NGIQ-BR-00000747,3,NGIQ-BR-00000236;NGIQ-BR-00000240;NGIQ-BR-00000246,NGIQ-BR-00000236;NGIQ-BR-00000240;NGIQ-BR-00000246,True,True,0,0,0,PASS
NGIQ-BR-00000748,2,NGIQ-BR-00000239;NGIQ-BR-00000235,NGIQ-BR-00000239;NGIQ-BR-00000235,True,True,0,0,0,PASS
NGIQ-BR-00000749,3,NGIQ-BR-00000246;NGIQ-BR-00000234;NGIQ-BR-00000236,NGIQ-BR-00000246;NGIQ-BR-00000234;NGIQ-BR-00000236,True,True,0,0,0,PASS
NGIQ-BR-00000751,3,NGIQ-BR-00000234;NGIQ-BR-00000236;NGIQ-BR-00000246,NGIQ-BR-00000234;NGIQ-BR-00000236;NGIQ-BR-00000246,True,True,0,0,0,PASS
NGIQ-BR-00000755,3,NGIQ-BR-00000232;NGIQ-BR-00000246;NGIQ-BR-00000234,NGIQ-BR-00000232;NGIQ-BR-00000246;NGIQ-BR-00000234,True,True,0,0,0,PASS
NGIQ-BR-00000759,2,NGIQ-BR-00000232;NGIQ-BR-00000246,NGIQ-BR-00000232;NGIQ-BR-00000246,True,True,0,0,0,PASS
NGIQ-BR-00000761,2,NGIQ-BR-00000234;NGIQ-BR-00000236,NGIQ-BR-00000234;NGIQ-BR-00000236,True,True,0,0,0,PASS
NGIQ-BR-00000762,2,NGIQ-BR-00000245;NGIQ-BR-00000235,NGIQ-BR-00000245;NGIQ-BR-00000235,True,True,0,0,0,PASS
NGIQ-BR-00000767,3,NGIQ-BR-00000234;NGIQ-BR-00000246;NGIQ-BR-00000236,NGIQ-BR-00000234;NGIQ-BR-00000246;NGIQ-BR-00000236,True,True,0,0,0,PASS
