g3_entity_id,g3_name_en,g3_name_zh,g3_source_name,g3_hemisphere,derived_anatomical_family,derivation_basis,g1_candidate_entity_id,g1_candidate_name_en,g1_candidate_name_zh,g1_hemisphere,candidate_relation,candidate_method,confidence_class,candidate_count,decision,review_reason
NGIQ-BR-00000149,"Left Inferior parietal lobule, Brainnetome 6_4",左侧顶下小叶（Brainnetome 6-4）,IPL_L_6_4,left,Inferior parietal lobule,CANONICAL_NAME,NGIQ-BR-00000274,Left Inferior Parietal Lobule,左侧顶下小叶,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000151,"Left Inferior parietal lobule, Brainnetome 6_5",左侧顶下小叶（Brainnetome 6-5）,IPL_L_6_5,left,Inferior parietal lobule,CANONICAL_NAME,NGIQ-BR-00000274,Left Inferior Parietal Lobule,左侧顶下小叶,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000153,"Left Inferior parietal lobule, Brainnetome 6_6",左侧顶下小叶（Brainnetome 6-6）,IPL_L_6_6,left,Inferior parietal lobule,CANONICAL_NAME,NGIQ-BR-00000274,Left Inferior Parietal Lobule,左侧顶下小叶,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000101,"Left Inferior temporal gyrus, Brainnetome 7_1",左侧颞下回（Brainnetome 7-1）,ITG_L_7_1,left,Inferior temporal gyrus,CANONICAL_NAME,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,左颞下回,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000103,"Left Inferior temporal gyrus, Brainnetome 7_2",左侧颞下回（Brainnetome 7-2）,ITG_L_7_2,left,Inferior temporal gyrus,CANONICAL_NAME,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,左颞下回,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000105,"Left Inferior temporal gyrus, Brainnetome 7_3",左侧颞下回（Brainnetome 7-3）,ITG_L_7_3,left,Inferior temporal gyrus,CANONICAL_NAME,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,左颞下回,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000107,"Left Inferior temporal gyrus, Brainnetome 7_4",左侧颞下回（Brainnetome 7-4）,ITG_L_7_4,left,Inferior temporal gyrus,CANONICAL_NAME,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,左颞下回,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000109,"Left Inferior temporal gyrus, Brainnetome 7_5",左侧颞下回（Brainnetome 7-5）,ITG_L_7_5,left,Inferior temporal gyrus,CANONICAL_NAME,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,左颞下回,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000111,"Left Inferior temporal gyrus, Brainnetome 7_6",左侧颞下回（Brainnetome 7-6）,ITG_L_7_6,left,Inferior temporal gyrus,CANONICAL_NAME,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,左颞下回,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000113,"Left Inferior temporal gyrus, Brainnetome 7_7",左侧颞下回（Brainnetome 7-7）,ITG_L_7_7,left,Inferior temporal gyrus,CANONICAL_NAME,NGIQ-BR-00000275,Left Inferior Temporal Gyrus,左颞下回,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000013,"Left Insular gyrus, Brainnetome 6_1",左侧岛回（Brainnetome 6-1）,Ins_L_6_1,left,Insular gyrus,CANONICAL_NAME,NGIQ-BR-00000299,Left Insula,左岛叶,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000171,"Left Insular gyrus, Brainnetome 6_2",左侧岛回（Brainnetome 6-2）,Ins_L_6_2,left,Insular gyrus,CANONICAL_NAME,NGIQ-BR-00000299,Left Insula,左岛叶,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000173,"Left Insular gyrus, Brainnetome 6_3",左侧岛回（Brainnetome 6-3）,Ins_L_6_3,left,Insular gyrus,CANONICAL_NAME,NGIQ-BR-00000299,Left Insula,左岛叶,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000175,"Left Insular gyrus, Brainnetome 6_4",左侧岛回（Brainnetome 6-4）,Ins_L_6_4,left,Insular gyrus,CANONICAL_NAME,NGIQ-BR-00000299,Left Insula,左岛叶,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000177,"Left Insular gyrus, Brainnetome 6_5",左侧岛回（Brainnetome 6-5）,Ins_L_6_5,left,Insular gyrus,CANONICAL_NAME,NGIQ-BR-00000299,Left Insula,左岛叶,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000179,"Left Insular gyrus, Brainnetome 6_6",左侧岛回（Brainnetome 6-6）,Ins_L_6_6,left,Insular gyrus,CANONICAL_NAME,NGIQ-BR-00000299,Left Insula,左岛叶,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000203,"Left Lateral occipital cortex, Brainnetome 4_1",左侧外侧枕叶皮层（Brainnetome 4-1）,OcG_L_4_1,left,Lateral occipital cortex,CANONICAL_NAME,NGIQ-BR-00000277,Left Lateral Occipital Cortex,左外侧枕叶皮质,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000205,"Left Lateral occipital cortex, Brainnetome 4_2",左侧外侧枕叶皮层（Brainnetome 4-2）,OcG_L_4_2,left,Lateral occipital cortex,CANONICAL_NAME,NGIQ-BR-00000277,Left Lateral Occipital Cortex,左外侧枕叶皮质,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000207,"Left Lateral occipital cortex, Brainnetome 4_3",左侧外侧枕叶皮层（Brainnetome 4-3）,OcG_L_4_3,left,Lateral occipital cortex,CANONICAL_NAME,NGIQ-BR-00000277,Left Lateral Occipital Cortex,左外侧枕叶皮质,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000209,"Left Lateral occipital cortex, Brainnetome 4_4",左侧外侧枕叶皮层（Brainnetome 4-4）,OcG_L_4_4,left,Lateral occipital cortex,CANONICAL_NAME,NGIQ-BR-00000277,Left Lateral Occipital Cortex,左外侧枕叶皮质,left,COARSE_AGGREGATION_CANDIDATE,authoritative_anatomical_mapping,high,1,AUTO_HIGH,
NGIQ-BR-00000015,"Left Medioventral occipital cortex, Brainnetome 5_1",左侧腹内侧枕叶皮层（Brainnetome 5-1）,Cun_L_5_1,left,Medioventral occipital cortex,MANUAL_REVIEW_REQUIRED,,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,multiple coarse G1 candidates: lingual gyrus; pericalcarine cortex; cuneus
NGIQ-BR-00000195,"Left Medioventral occipital cortex, Brainnetome 5_2",左侧腹内侧枕叶皮层（Brainnetome 5-2）,Cun_L_5_2,left,Medioventral occipital cortex,MANUAL_REVIEW_REQUIRED,,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,multiple coarse G1 candidates: lingual gyrus; pericalcarine cortex; cuneus
NGIQ-BR-00000197,"Left Medioventral occipital cortex, Brainnetome 5_3",左侧腹内侧枕叶皮层（Brainnetome 5-3）,Cun_L_5_3,left,Medioventral occipital cortex,MANUAL_REVIEW_REQUIRED,,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,multiple coarse G1 candidates: lingual gyrus; pericalcarine cortex; cuneus
NGIQ-BR-00000199,"Left Medioventral occipital cortex, Brainnetome 5_4",左侧腹内侧枕叶皮层（Brainnetome 5-4）,Cun_L_5_4,left,Medioventral occipital cortex,MANUAL_REVIEW_REQUIRED,,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,multiple coarse G1 candidates: lingual gyrus; pericalcarine cortex; cuneus
NGIQ-BR-00000201,"Left Medioventral occipital cortex, Brainnetome 5_5",左侧腹内侧枕叶皮层（Brainnetome 5-5）,Cun_L_5_5,left,Medioventral occipital cortex,MANUAL_REVIEW_REQUIRED,,Left Lingual Gyrus; Left Pericalcarine Cortex; Left Cuneus,,left,COARSE_AGGREGATION_CANDIDATE,,low,3,NEEDS_REVIEW,multiple coarse G1 candidates: lingual gyrus; pericalcarine cortex; cuneus
