parcel_id,official_hemisphere_code,modified_cyto_code,volumetric_label_index,official_compact_ext_id,hemisphere,g3_entity_id,g3_name,alignment_method,alignment_status
59,PrG_L_6_4,A4t,59,PrG_L_6_4,left,NGIQ-BR-00000075,PrG_L_6_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
60,PrG_R_6_4,A4t,60,PrG_R_6_4,right,NGIQ-BR-00000076,PrG_R_6_4,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
61,PrG_L_6_5,A4tl,61,PrG_L_6_5,left,NGIQ-BR-00000077,PrG_L_6_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
62,PrG_R_6_5,A4tl,62,PrG_R_6_5,right,NGIQ-BR-00000078,PrG_R_6_5,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
63,PrG_L_6_6,A6cvl,63,PrG_L_6_6,left,NGIQ-BR-00000079,PrG_L_6_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
64,PrG_R_6_6,A6cvl,64,PrG_R_6_6,right,NGIQ-BR-00000080,PrG_R_6_6,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
65,PCL_L_2_1,A1/2/3ll,65,PCL_L_2_1,left,NGIQ-BR-00000081,PCL_L_2_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
66,PCL_R_2_1,A1/2/3ll,66,PCL_R_2_1,right,NGIQ-BR-00000082,PCL_R_2_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
67,PCL_L_2_2,A4ll,67,PCL_L_2_2,left,NGIQ-BR-00000083,PCL_L_2_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
68,PCL_R_2_2,A4ll,68,PCL_R_2_2,right,NGIQ-BR-00000084,PCL_R_2_2,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
69,STG_L_6_1,A38m,69,STG_L_6_1,left,NGIQ-BR-00000005,STG_L_6_1,DETERMINISTIC_PARCEL_ID_EQUALS_VOLUMETRIC_LABEL_INDEX,ALIGNED
