parcel_id,official_code,official_macro_gyrus,official_modified_name,hemisphere,g3_entity_id,g3_name_en,g3_name_zh,g3_source_name_original,current_alias,alignment_method,alignment_status
52,OrG_R_6_6,"OrG, Orbital gyrus",lateral area 12/47,right,NGIQ-BR-00000068,"Right Orbital gyrus, Brainnetome 6_6",右侧眶回（Brainnetome 6-6）,OrG_R_6_6,OrG_R_6_6,EXACT_BRAINNETOME_XREF,ALIGNED
53,PrG_L_6_1,"PrG, Precentral gyrus",area 4(head and face region),left,NGIQ-BR-00000069,"Left Precentral gyrus, Brainnetome 6_1",左侧中央前回（Brainnetome 6-1）,PrG_L_6_1,PrG_L_6_1,EXACT_BRAINNETOME_XREF,ALIGNED
54,PrG_R_6_1,"PrG, Precentral gyrus",area 4(head and face region),right,NGIQ-BR-00000070,"Right Precentral gyrus, Brainnetome 6_1",右侧中央前回（Brainnetome 6-1）,PrG_R_6_1,PrG_R_6_1,EXACT_BRAINNETOME_XREF,ALIGNED
55,PrG_L_6_2,"PrG, Precentral gyrus",caudal dorsolateral area 6,left,NGIQ-BR-00000071,"Left Precentral gyrus, Brainnetome 6_2",左侧中央前回（Brainnetome 6-2）,PrG_L_6_2,PrG_L_6_2,EXACT_BRAINNETOME_XREF,ALIGNED
56,PrG_R_6_2,"PrG, Precentral gyrus",caudal dorsolateral area 6,right,NGIQ-BR-00000072,"Right Precentral gyrus, Brainnetome 6_2",右侧中央前回（Brainnetome 6-2）,PrG_R_6_2,PrG_R_6_2,EXACT_BRAINNETOME_XREF,ALIGNED
57,PrG_L_6_3,"PrG, Precentral gyrus",area 4(upper limb region),left,NGIQ-BR-00000073,"Left Precentral gyrus, Brainnetome 6_3",左侧中央前回（Brainnetome 6-3）,PrG_L_6_3,PrG_L_6_3,EXACT_BRAINNETOME_XREF,ALIGNED
58,PrG_R_6_3,"PrG, Precentral gyrus",area 4(upper limb region),right,NGIQ-BR-00000074,"Right Precentral gyrus, Brainnetome 6_3",右侧中央前回（Brainnetome 6-3）,PrG_R_6_3,PrG_R_6_3,EXACT_BRAINNETOME_XREF,ALIGNED
59,PrG_L_6_4,"PrG, Precentral gyrus",area 4(trunk region),left,NGIQ-BR-00000075,"Left Precentral gyrus, Brainnetome 6_4",左侧中央前回（Brainnetome 6-4）,PrG_L_6_4,PrG_L_6_4,EXACT_BRAINNETOME_XREF,ALIGNED
60,PrG_R_6_4,"PrG, Precentral gyrus",area 4(trunk region),right,NGIQ-BR-00000076,"Right Precentral gyrus, Brainnetome 6_4",右侧中央前回（Brainnetome 6-4）,PrG_R_6_4,PrG_R_6_4,EXACT_BRAINNETOME_XREF,ALIGNED
61,PrG_L_6_5,"PrG, Precentral gyrus",area 4(tongue and larynx region),left,NGIQ-BR-00000077,"Left Precentral gyrus, Brainnetome 6_5",左侧中央前回（Brainnetome 6-5）,PrG_L_6_5,PrG_L_6_5,EXACT_BRAINNETOME_XREF,ALIGNED
62,PrG_R_6_5,"PrG, Precentral gyrus",area 4(tongue and larynx region),right,NGIQ-BR-00000078,"Right Precentral gyrus, Brainnetome 6_5",右侧中央前回（Brainnetome 6-5）,PrG_R_6_5,PrG_R_6_5,EXACT_BRAINNETOME_XREF,ALIGNED
63,PrG_L_6_6,"PrG, Precentral gyrus",caudal ventrolateral area 6,left,NGIQ-BR-00000079,"Left Precentral gyrus, Brainnetome 6_6",左侧中央前回（Brainnetome 6-6）,PrG_L_6_6,PrG_L_6_6,EXACT_BRAINNETOME_XREF,ALIGNED
64,PrG_R_6_6,"PrG, Precentral gyrus",caudal ventrolateral area 6,right,NGIQ-BR-00000080,"Right Precentral gyrus, Brainnetome 6_6",右侧中央前回（Brainnetome 6-6）,PrG_R_6_6,PrG_R_6_6,EXACT_BRAINNETOME_XREF,ALIGNED
65,PCL_L_2_1,"PCL, Paracentral lobule",area 1/2/3 (lower limb region),left,NGIQ-BR-00000081,"Left Paracentral lobule, Brainnetome 2_1",左侧中央旁小叶（Brainnetome 2-1）,PCL_L_2_1,PCL_L_2_1,EXACT_BRAINNETOME_XREF,ALIGNED
66,PCL_R_2_1,"PCL, Paracentral lobule",area 1/2/3 (lower limb region),right,NGIQ-BR-00000082,"Right Paracentral lobule, Brainnetome 2_1",右侧中央旁小叶（Brainnetome 2-1）,PCL_R_2_1,PCL_R_2_1,EXACT_BRAINNETOME_XREF,ALIGNED
67,PCL_L_2_2,"PCL, Paracentral lobule","area 4, (lower limb region)",left,NGIQ-BR-00000083,"Left Paracentral lobule, Brainnetome 2_2",左侧中央旁小叶（Brainnetome 2-2）,PCL_L_2_2,PCL_L_2_2,EXACT_BRAINNETOME_XREF,ALIGNED
68,PCL_R_2_2,"PCL, Paracentral lobule","area 4, (lower limb region)",right,NGIQ-BR-00000084,"Right Paracentral lobule, Brainnetome 2_2",右侧中央旁小叶（Brainnetome 2-2）,PCL_R_2_2,PCL_R_2_2,EXACT_BRAINNETOME_XREF,ALIGNED
69,STG_L_6_1,"STG, Superior temporal gyrus",medial area 38,left,NGIQ-BR-00000005,"Left Superior temporal gyrus, Brainnetome 6_1",左侧颞上回（Brainnetome 6-1）,STG_L_6_1,STG_L_6_1,EXACT_BRAINNETOME_XREF,ALIGNED
70,STG_R_6_1,"STG, Superior temporal gyrus",medial area 38,right,NGIQ-BR-00000006,"Right Superior temporal gyrus, Brainnetome 6_1",右侧颞上回（Brainnetome 6-1）,STG_R_6_1,STG_R_6_1,EXACT_BRAINNETOME_XREF,ALIGNED
71,STG_L_6_2,"STG, Superior temporal gyrus",area 41/42,left,NGIQ-BR-00000085,"Left Superior temporal gyrus, Brainnetome 6_2",左侧颞上回（Brainnetome 6-2）,STG_L_6_2,STG_L_6_2,EXACT_BRAINNETOME_XREF,ALIGNED
72,STG_R_6_2,"STG, Superior temporal gyrus",area 41/42,right,NGIQ-BR-00000086,"Right Superior temporal gyrus, Brainnetome 6_2",右侧颞上回（Brainnetome 6-2）,STG_R_6_2,STG_R_6_2,EXACT_BRAINNETOME_XREF,ALIGNED
73,STG_L_6_3,"STG, Superior temporal gyrus",TE1.0 and TE1.2,left,NGIQ-BR-00000087,"Left Superior temporal gyrus, Brainnetome 6_3",左侧颞上回（Brainnetome 6-3）,STG_L_6_3,STG_L_6_3,EXACT_BRAINNETOME_XREF,ALIGNED
74,STG_R_6_3,"STG, Superior temporal gyrus",TE1.0 and TE1.2,right,NGIQ-BR-00000088,"Right Superior temporal gyrus, Brainnetome 6_3",右侧颞上回（Brainnetome 6-3）,STG_R_6_3,STG_R_6_3,EXACT_BRAINNETOME_XREF,ALIGNED
75,STG_L_6_4,"STG, Superior temporal gyrus",caudal area 22,left,NGIQ-BR-00000089,"Left Superior temporal gyrus, Brainnetome 6_4",左侧颞上回（Brainnetome 6-4）,STG_L_6_4,STG_L_6_4,EXACT_BRAINNETOME_XREF,ALIGNED
76,STG_R_6_4,"STG, Superior temporal gyrus",caudal area 22,right,NGIQ-BR-00000090,"Right Superior temporal gyrus, Brainnetome 6_4",右侧颞上回（Brainnetome 6-4）,STG_R_6_4,STG_R_6_4,EXACT_BRAINNETOME_XREF,ALIGNED
77,STG_L_6_5,"STG, Superior temporal gyrus",lateral area 38,left,NGIQ-BR-00000091,"Left Superior temporal gyrus, Brainnetome 6_5",左侧颞上回（Brainnetome 6-5）,STG_L_6_5,STG_L_6_5,EXACT_BRAINNETOME_XREF,ALIGNED
78,STG_R_6_5,"STG, Superior temporal gyrus",lateral area 38,right,NGIQ-BR-00000092,"Right Superior temporal gyrus, Brainnetome 6_5",右侧颞上回（Brainnetome 6-5）,STG_R_6_5,STG_R_6_5,EXACT_BRAINNETOME_XREF,ALIGNED
79,STG_L_6_6,"STG, Superior temporal gyrus",rostral area 22,left,NGIQ-BR-00000093,"Left Superior temporal gyrus, Brainnetome 6_6",左侧颞上回（Brainnetome 6-6）,STG_L_6_6,STG_L_6_6,EXACT_BRAINNETOME_XREF,ALIGNED
80,STG_R_6_6,"STG, Superior temporal gyrus",rostral area 22,right,NGIQ-BR-00000094,"Right Superior temporal gyrus, Brainnetome 6_6",右侧颞上回（Brainnetome 6-6）,STG_R_6_6,STG_R_6_6,EXACT_BRAINNETOME_XREF,ALIGNED
81,MTG_L_4_1,"MTG, Middle temporal gyrus",caudal area 21,left,NGIQ-BR-00000007,"Left Middle temporal gyrus, Brainnetome 4_1",左侧颞中回（Brainnetome 4-1）,MTG_L_4_1,MTG_L_4_1,EXACT_BRAINNETOME_XREF,ALIGNED
82,MTG_R_4_1,"MTG, Middle temporal gyrus",caudal area 21,right,NGIQ-BR-00000008,"Right Middle temporal gyrus, Brainnetome 4_1",右侧颞中回（Brainnetome 4-1）,MTG_R_4_1,MTG_R_4_1,EXACT_BRAINNETOME_XREF,ALIGNED
83,MTG_L_4_2,"MTG, Middle temporal gyrus",rostral area 21,left,NGIQ-BR-00000095,"Left Middle temporal gyrus, Brainnetome 4_2",左侧颞中回（Brainnetome 4-2）,MTG_L_4_2,MTG_L_4_2,EXACT_BRAINNETOME_XREF,ALIGNED
