canonical_g4_id,canonical_g4_name,hemisphere,relation,target_g3_id,source_reason,future_rollup_eligible,policy_version
NGIQ-BR-00000405,Area Op2 (POperc) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000014,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000405,Area Op2 (POperc) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000154,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000406,Area Op2 (POperc) left,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000013,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000407,Area Op3 (POperc) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000166,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000407,Area Op3 (POperc) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000178,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000408,Area Op3 (POperc) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000165,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000408,Area Op3 (POperc) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000177,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000409,Area Op4 (POperc) right,right,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000166,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000410,Area Op4 (POperc) left,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000165,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000411,Area PF (IPL) right,right,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000154,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000412,Area PF (IPL) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000149,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000412,Area PF (IPL) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000153,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000412,Area PF (IPL) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000147,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000413,Area PFcm (IPL) right,right,APPROVE_CONTAINED_IN,NGIQ-BR-00000154,OWNER_CONFIRMED_CONTAINED,True,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000414,Area PFcm (IPL) left,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000153,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000415,Area PGa (IPL) right,right,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000152,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000416,Area PGa (IPL) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000149,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000416,Area PGa (IPL) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000151,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000416,Area PGa (IPL) left,left,PARTIAL_OVERLAP,NGIQ-BR-00000145,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000417,Area PFt (IPL) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000148,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000417,Area PFt (IPL) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000168,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000418,Area PFt (IPL) left,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000147,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000419,Area PFm (IPL) right,right,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000150,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000420,Area PFm (IPL) left,left,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000149,DOMINANT_CRITERIA_V1,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000421,Area PGp (IPL) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000152,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000421,Area PGp (IPL) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000012,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
NGIQ-BR-00000421,Area PGp (IPL) right,right,PARTIAL_OVERLAP,NGIQ-BR-00000146,OWNER_CONFIRMED_PARTIAL,False,G4_G3_FINAL_SCIENTIFIC_POLICY_V1
