canonical_g4_id,canonical_g4_name,hemisphere,spatial_component_id,relation,target_g3_id,target_coverage,source_pp_top1_g4_weighted,source_hard_total_bna_coverage,source_bna_uncovered_fraction,decision_reason_code,future_rollup_eligible,future_primary_rollup,decision_policy_version,preliminary_relation_status
NGIQ-BR-00000385,Area 7PC (SPL) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7PC_SPL,PARTIAL_OVERLAP,NGIQ-BR-00000142,0.43547,0.34259185,0.88444451,0.11555549,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000389,Area 7P (SPL) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7P_SPL,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000138,0.57236,0.39539669,0.93911182,0.06088818,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000526,Area 8d1 (SFG) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8D1_SFG,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000021,0.661139,0.47311355,0.97639328,0.02360672,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000525,Area 8d1 (SFG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8D1_SFG,PARTIAL_OVERLAP,NGIQ-BR-00000002,0.22928,0.34634593,0.97583301,0.02416699,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000525,Area 8d1 (SFG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8D1_SFG,PARTIAL_OVERLAP,NGIQ-BR-00000022,0.456989,0.34634593,0.97583301,0.02416699,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000525,Area 8d1 (SFG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8D1_SFG,PARTIAL_OVERLAP,NGIQ-BR-00000024,0.244201,0.34634593,0.97583301,0.02416699,PARTIAL_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000524,Area 8d2 (SFG) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8D2_SFG,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000021,0.608105,0.48361674,0.91984566,0.08015434,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000523,Area 8d2 (SFG) right,right,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8D2_SFG,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000022,0.63091,0.54562311,0.84632045,0.15367955,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000506,Area 8v1 (MFG) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V1_MFG,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000041,0.643136,0.43363409,0.95451121,0.04548879,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000504,Area 8v2 (MFG) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V2_MFG,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000041,0.586793,0.37518265,0.92567043,0.07432957,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
NGIQ-BR-00000594,Area CoS1 (CoS) left,left,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_COS1_COS,APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000115,0.509784,0.46948526,0.87325495,0.12674505,DOMINANT_CRITERIA_V1,False,False,G4_G3_SCIENTIFIC_POLICY_V1,PENDING_OWNER_REVIEW
