candidate_id,source_entity_id,target_entity_id,mapping_relation,decision_fidelity_status,target_identity_status,hemisphere_status,coverage_status,method_status,lifecycle_status,provenance_status,review_result
G3G1-STAGE-A0D7101D82F023B613AB,NGIQ-BR-00000066,NGIQ-BR-00000311,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-AC718218972F73EA4C06,NGIQ-BR-00000067,NGIQ-BR-00000278,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-787E04ED8483CA18694F,NGIQ-BR-00000067,NGIQ-BR-00000285,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-00BD51BA39242F523144,NGIQ-BR-00000068,NGIQ-BR-00000309,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-B408DD224A2E2A7B5800,NGIQ-BR-00000068,NGIQ-BR-00000316,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-63110A79997D9E71F2DC,NGIQ-BR-00000069,NGIQ-BR-00000290,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-52A65B9979224B123D91,NGIQ-BR-00000070,NGIQ-BR-00000321,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-BBEAD7976E03189FF93F,NGIQ-BR-00000071,NGIQ-BR-00000290,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-455D015E32862A43A1D4,NGIQ-BR-00000072,NGIQ-BR-00000321,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-9071B7CE05570259F292,NGIQ-BR-00000073,NGIQ-BR-00000290,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-E34CABE5C2B264BDDAFA,NGIQ-BR-00000074,NGIQ-BR-00000321,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-9246D29F7481C78D86AB,NGIQ-BR-00000075,NGIQ-BR-00000290,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-53CDDDA5CE4C4A318127,NGIQ-BR-00000076,NGIQ-BR-00000321,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-9FF9206708445D2825BF,NGIQ-BR-00000077,NGIQ-BR-00000290,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-97A6B2F22A1D7707D144,NGIQ-BR-00000078,NGIQ-BR-00000321,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-E40B82DC654F21EDFD65,NGIQ-BR-00000079,NGIQ-BR-00000290,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-05C34DECFD1153A1B344,NGIQ-BR-00000080,NGIQ-BR-00000321,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-00EA300231D6DE9ED40A,NGIQ-BR-00000081,NGIQ-BR-00000283,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-D70C44B8358AE3ADB36C,NGIQ-BR-00000082,NGIQ-BR-00000314,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-4992C33A802F384C03CB,NGIQ-BR-00000083,NGIQ-BR-00000283,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-4E42B95FC6824B42713B,NGIQ-BR-00000084,NGIQ-BR-00000314,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-67B770FBF1060C102470,NGIQ-BR-00000085,NGIQ-BR-00000296,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-5566D249FF84B7436EA3,NGIQ-BR-00000086,NGIQ-BR-00000327,dominant_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-26CC04C82E1E66F7FA90,NGIQ-BR-00000087,NGIQ-BR-00000296,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-B7BC778E1D469470A685,NGIQ-BR-00000087,NGIQ-BR-00000298,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-843B235A3B396E44FBEA,NGIQ-BR-00000088,NGIQ-BR-00000327,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-0D1C1DDAA359C3FFED8A,NGIQ-BR-00000088,NGIQ-BR-00000329,partial_overlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-2746049D8B8F0EB06F36,NGIQ-BR-00000089,NGIQ-BR-00000296,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-5C2F8B88CE918EC06285,NGIQ-BR-00000090,NGIQ-BR-00000327,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-51BE792FE30476D30EBE,NGIQ-BR-00000091,NGIQ-BR-00000296,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-EFB72652CF88A660C1A9,NGIQ-BR-00000092,NGIQ-BR-00000327,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
G3G1-STAGE-8EBF66C38C22761C406D,NGIQ-BR-00000093,NGIQ-BR-00000296,contained_in,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
