component_index,parcel_id,lut_name,official_hemisphere_code,hemisphere,canonical_g3_id,canonical_name,asset_file,asset_sha256,alignment_method,alignment_status
42,42,A14m_R,OrG_R_6_1,right,NGIQ-BR-00000058,OrG_R_6_1,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
43,43,A12/47o_L,OrG_L_6_2,left,NGIQ-BR-00000059,OrG_L_6_2,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
44,44,A12/47o_R,OrG_R_6_2,right,NGIQ-BR-00000060,OrG_R_6_2,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
45,45,A11l_L,OrG_L_6_3,left,NGIQ-BR-00000061,OrG_L_6_3,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
46,46,A11l_R,OrG_R_6_3,right,NGIQ-BR-00000062,OrG_R_6_3,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
47,47,A11m_L,OrG_L_6_4,left,NGIQ-BR-00000063,OrG_L_6_4,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
48,48,A11m_R,OrG_R_6_4,right,NGIQ-BR-00000064,OrG_R_6_4,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
49,49,A13_L,OrG_L_6_5,left,NGIQ-BR-00000065,OrG_L_6_5,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
50,50,A13_R,OrG_R_6_5,right,NGIQ-BR-00000066,OrG_R_6_5,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
51,51,A12/47l_L,OrG_L_6_6,left,NGIQ-BR-00000067,OrG_L_6_6,BNA_PM_4D.nii.gz,b1318517f61d08f714c25e55ee580eb8a487c0b7ab1ddbcc7eac852e4e97f020,DETERMINISTIC_LUT_INDEX==PARCEL_ID==CANONICAL,ALIGNED
