hemisphere,g3_entity_id,parcel_id,official_code,official_modified_name,seed_mask_code,left_right_pair_id,current_authority_decision,top1_dk_label,top1_dk_source_coverage,top2_dk_label,top2_dk_source_coverage,top1_minus_top2_margin,top1_g1_name,top1_g1_coverage,non_g1_dk_coverage_ratio,unlabeled_ratio
left,NGIQ-BR-00000183,177,CG_L_7_2,rostroventral area 24,CG,CG_7_2,PENDING_HUMAN_REVIEW,caudalanteriorcingulate,0.57441,posteriorcingulate,0.372958,0.201452,Left Caudal Anterior Cingulate Cortex,0.57441,0,0.0
left,NGIQ-BR-00000185,179,CG_L_7_3,pregenual area 32,CG,CG_7_3,PENDING_HUMAN_REVIEW,superiorfrontal,0.402509,caudalanteriorcingulate,0.337514,0.064994,Left Superior Frontal Gyrus,0.402509,0,0.0
left,NGIQ-BR-00000187,181,CG_L_7_4,ventral area 23,CG,CG_7_4,PENDING_HUMAN_REVIEW,isthmuscingulate,0.861462,posteriorcingulate,0.092908,0.768554,Left Isthmus Of Cingulate Gyrus,0.861462,0,0.0
left,NGIQ-BR-00000189,183,CG_L_7_5,caudodorsal area 24,CG,CG_7_5,PENDING_HUMAN_REVIEW,caudalanteriorcingulate,0.454209,posteriorcingulate,0.296022,0.158187,Left Caudal Anterior Cingulate Cortex,0.454209,0,0.0
left,NGIQ-BR-00000191,185,CG_L_7_6,caudal area 24,CG,CG_7_6,PENDING_HUMAN_REVIEW,posteriorcingulate,0.702128,paracentral,0.215426,0.486702,Left Posterior Cingulate Cortex,0.702128,0,0.0
left,NGIQ-BR-00000193,187,CG_L_7_7,subgenual area 32,CG,CG_7_7,PENDING_HUMAN_REVIEW,rostralanteriorcingulate,0.936685,medialorbitofrontal,0.039106,0.897579,Left Rostral Anterior Cingulate Cortex,0.936685,0,0.0
left,NGIQ-BR-00000015,189,MVOcC_L_5_1,caudal lingual gyrus,MVOcC,MVOcC_5_1,HUMAN_AUTHORITY_APPROVED_CANDIDATE,lingual,0.981308,lateraloccipital,0.018692,0.962617,Left Lingual Gyrus,0.981308,0,0.0
left,NGIQ-BR-00000195,191,MVOcC_L_5_2,rostral cuneus gyrus,MVOcC,MVOcC_5_2,HUMAN_AUTHORITY_APPROVED_CANDIDATE,pericalcarine,0.415708,lingual,0.293839,0.121869,Left Pericalcarine Cortex,0.415708,0,0.0
left,NGIQ-BR-00000197,193,MVOcC_L_5_3,caudal cuneus gyrus,MVOcC,MVOcC_5_3,HUMAN_AUTHORITY_APPROVED_CANDIDATE,pericalcarine,0.477893,cuneus,0.280339,0.197554,Left Pericalcarine Cortex,0.477893,0,0.0
left,NGIQ-BR-00000199,195,MVOcC_L_5_4,rostral lingual gyrus,MVOcC,MVOcC_5_4,HUMAN_AUTHORITY_APPROVED_CANDIDATE,lingual,0.979464,fusiform,0.010268,0.969196,Left Lingual Gyrus,0.979464,0,0.0
left,NGIQ-BR-00000201,197,MVOcC_L_5_5,ventromedial parietooccipital sulcus,MVOcC,MVOcC_5_5,NO_G1_ROLLUP,lingual,0.379668,cuneus,0.265906,0.113762,Left Lingual Gyrus,0.379668,0,0.0
right,NGIQ-BR-00000034,16,MFG_R_7_1,dorsal area 9/46,MFG,MFG_7_1,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,0.820144,caudalmiddlefrontal,0.131552,0.688592,Right Rostral Middle Frontal Cortex,0.820144,0,0.0
right,NGIQ-BR-00000036,18,MFG_R_7_2,inferior frontal junction,MFG,MFG_7_2,PENDING_HUMAN_REVIEW,caudalmiddlefrontal,0.942857,rostralmiddlefrontal,0.043206,0.899652,Right Caudal Middle Frontal Gyrus,0.942857,0,0.0
right,NGIQ-BR-00000038,20,MFG_R_7_3,area 46,MFG,MFG_7_3,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,1.0,,0,1.0,Right Rostral Middle Frontal Cortex,1.0,0,0.0
right,NGIQ-BR-00000040,22,MFG_R_7_4,ventral area 9/46,MFG,MFG_7_4,PENDING_HUMAN_REVIEW,rostralmiddlefrontal,0.975517,parstriangularis,0.012514,0.963003,Right Rostral Middle Frontal Cortex,0.975517,0,0.0
