hemisphere,g3_entity_id,parcel_id,official_code,official_modified_name,seed_mask_code,seed_type,cohort,current_authority_decision,g3_vertex_count,dk_unlabeled_vertex_count,dk_unlabeled_ratio,top1_dk_label,top1_dk_source_coverage,top2_dk_label,top2_dk_source_coverage,top3_dk_label,top3_dk_source_coverage,top1_minus_top2_margin,top1_g1_entity_id,top1_g1_name,top1_g1_coverage,non_g1_dk_coverage_ratio,unlabeled_ratio,number_of_overlapping_dk_regions,coverage_sum_error
left,NGIQ-BR-00000071,55,PrG_L_6_2,caudal dorsolateral area 6,PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,2095,0,0.0,precentral,0.9179,caudalmiddlefrontal,0.066826,superiorfrontal,0.015274,0.851074,NGIQ-BR-00000290,Left Precentral Gyrus,0.9179,0,0.0,3,0.0
left,NGIQ-BR-00000073,57,PrG_L_6_3,area 4(upper limb region),PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,2106,0,0.0,precentral,0.906458,postcentral,0.093542,,0,0.812915,NGIQ-BR-00000290,Left Precentral Gyrus,0.906458,0,0.0,2,0.0
left,NGIQ-BR-00000075,59,PrG_L_6_4,area 4(trunk region),PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,847,0,0.0,precentral,0.850059,superiorfrontal,0.14876,paracentral,0.001181,0.701299,NGIQ-BR-00000290,Left Precentral Gyrus,0.850059,0,0.0,3,0.0
left,NGIQ-BR-00000077,61,PrG_L_6_5,area 4(tongue and larynx region),PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1432,0,0.0,precentral,0.912011,postcentral,0.030726,insula,0.02933,0.881285,NGIQ-BR-00000290,Left Precentral Gyrus,0.912011,0,0.0,4,0.0
left,NGIQ-BR-00000079,63,PrG_L_6_6,caudal ventrolateral area 6,PrG,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1794,0,0.0,precentral,0.925864,parsopercularis,0.038462,caudalmiddlefrontal,0.035674,0.887402,NGIQ-BR-00000290,Left Precentral Gyrus,0.925864,0,0.0,3,0.0
left,NGIQ-BR-00000081,65,PCL_L_2_1,area 1/2/3 (lower limb region),PCL,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1398,0,0.0,paracentral,0.924893,precentral,0.05794,precuneus,0.012876,0.866953,NGIQ-BR-00000283,Left Paracentral Lobule,0.924893,0,0.0,4,0.0
left,NGIQ-BR-00000083,67,PCL_L_2_2,"area 4, (lower limb region)",PCL,single,SINGLE_SEED_CONTROL,SEED_CONTAINMENT_CONFIRMED,1361,0,0.0,paracentral,0.972814,precentral,0.016165,superiorfrontal,0.011021,0.95665,NGIQ-BR-00000283,Left Paracentral Lobule,0.972814,0,0.0,3,0.0
left,NGIQ-BR-00000005,69,STG_L_6_1,medial area 38,STG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1092,0,0.0,temporalpole,0.752747,superiortemporal,0.154762,entorhinal,0.054029,0.100733,NGIQ-BR-00000296,Left Superior Temporal Gyrus,0.154762,0.752747,0.0,6,0.0
left,NGIQ-BR-00000085,71,STG_L_6_2,area 41/42,STG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,1617,0,0.0,superiortemporal,0.961657,transversetemporal,0.028448,supramarginal,0.009895,0.93321,NGIQ-BR-00000296,Left Superior Temporal Gyrus,0.961657,0,0.0,3,0.0
left,NGIQ-BR-00000087,73,STG_L_6_3,TE1.0 and TE1.2,STG,composite,COMPOSITE_SEED_PENDING,PENDING_HUMAN_REVIEW,2285,0,0.0,superiortemporal,0.570241,transversetemporal,0.429322,insula,0.000438,0.140919,NGIQ-BR-00000296,Left Superior Temporal Gyrus,0.570241,0,0.0,3,0.0
