column_index,component_index,parcel_id,canonical_g3_id,g3_region_name,g3_hemisphere,output_asset
69,69,69,NGIQ-BR-00000005,STG_L_6_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp069_STG_L_6_1_prob_2009c.nii.gz
70,70,70,NGIQ-BR-00000006,STG_R_6_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp070_STG_R_6_1_prob_2009c.nii.gz
71,71,71,NGIQ-BR-00000085,STG_L_6_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp071_STG_L_6_2_prob_2009c.nii.gz
72,72,72,NGIQ-BR-00000086,STG_R_6_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp072_STG_R_6_2_prob_2009c.nii.gz
73,73,73,NGIQ-BR-00000087,STG_L_6_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp073_STG_L_6_3_prob_2009c.nii.gz
74,74,74,NGIQ-BR-00000088,STG_R_6_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp074_STG_R_6_3_prob_2009c.nii.gz
75,75,75,NGIQ-BR-00000089,STG_L_6_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp075_STG_L_6_4_prob_2009c.nii.gz
76,76,76,NGIQ-BR-00000090,STG_R_6_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp076_STG_R_6_4_prob_2009c.nii.gz
77,77,77,NGIQ-BR-00000091,STG_L_6_5,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp077_STG_L_6_5_prob_2009c.nii.gz
78,78,78,NGIQ-BR-00000092,STG_R_6_5,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp078_STG_R_6_5_prob_2009c.nii.gz
79,79,79,NGIQ-BR-00000093,STG_L_6_6,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp079_STG_L_6_6_prob_2009c.nii.gz
80,80,80,NGIQ-BR-00000094,STG_R_6_6,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp080_STG_R_6_6_prob_2009c.nii.gz
81,81,81,NGIQ-BR-00000007,MTG_L_4_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp081_MTG_L_4_1_prob_2009c.nii.gz
82,82,82,NGIQ-BR-00000008,MTG_R_4_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp082_MTG_R_4_1_prob_2009c.nii.gz
83,83,83,NGIQ-BR-00000095,MTG_L_4_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp083_MTG_L_4_2_prob_2009c.nii.gz
84,84,84,NGIQ-BR-00000096,MTG_R_4_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp084_MTG_R_4_2_prob_2009c.nii.gz
85,85,85,NGIQ-BR-00000097,MTG_L_4_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp085_MTG_L_4_3_prob_2009c.nii.gz
86,86,86,NGIQ-BR-00000098,MTG_R_4_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp086_MTG_R_4_3_prob_2009c.nii.gz
87,87,87,NGIQ-BR-00000099,MTG_L_4_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp087_MTG_L_4_4_prob_2009c.nii.gz
88,88,88,NGIQ-BR-00000100,MTG_R_4_4,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp088_MTG_R_4_4_prob_2009c.nii.gz
89,89,89,NGIQ-BR-00000101,ITG_L_7_1,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp089_ITG_L_7_1_prob_2009c.nii.gz
90,90,90,NGIQ-BR-00000102,ITG_R_7_1,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp090_ITG_R_7_1_prob_2009c.nii.gz
91,91,91,NGIQ-BR-00000103,ITG_L_7_2,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp091_ITG_L_7_2_prob_2009c.nii.gz
92,92,92,NGIQ-BR-00000104,ITG_R_7_2,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp092_ITG_R_7_2_prob_2009c.nii.gz
93,93,93,NGIQ-BR-00000105,ITG_L_7_3,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp093_ITG_L_7_3_prob_2009c.nii.gz
94,94,94,NGIQ-BR-00000106,ITG_R_7_3,right,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp094_ITG_R_7_3_prob_2009c.nii.gz
95,95,95,NGIQ-BR-00000107,ITG_L_7_4,left,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps/BNA_PM_comp095_ITG_L_7_4_prob_2009c.nii.gz
