canonical_g4_id,canonical_g4_name,hemisphere,decision_2ia,reason_code_2ia,revised_owner_stratum,top_target_g3,hard_top1_coverage,review_status
NGIQ-BR-00000381,Area 5L (SPL) right,right,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,UNCHANGED_2IA_PARTIAL_OVERLAP,NGIQ-BR-00000142,0.46451986,PENDING_OWNER_REVIEW
NGIQ-BR-00000382,Area 5L (SPL) left,left,CONFLICT_REVIEW,HIGH_FRAGMENTATION,TRUE_DIFFUSE_CONFLICT,NGIQ-BR-00000141,0.37309913,PENDING_OWNER_REVIEW
NGIQ-BR-00000383,Area 7M (SPL) right,right,CONFLICT_REVIEW,HIGH_FRAGMENTATION,PLAUSIBLE_MULTI_TARGET_PARTIAL,NGIQ-BR-00000156,0.34104241,PENDING_OWNER_REVIEW
NGIQ-BR-00000384,Area 7M (SPL) left,left,CONFLICT_REVIEW,HIGH_FRAGMENTATION,PLAUSIBLE_MULTI_TARGET_PARTIAL,NGIQ-BR-00000159,0.33336128,PENDING_OWNER_REVIEW
NGIQ-BR-00000385,Area 7PC (SPL) right,right,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,UNCHANGED_2IA_PARTIAL_OVERLAP,NGIQ-BR-00000142,0.43546956,PENDING_OWNER_REVIEW
NGIQ-BR-00000386,Area 7PC (SPL) left,left,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,UNCHANGED_2IA_PARTIAL_OVERLAP,NGIQ-BR-00000139,0.44471357,PENDING_OWNER_REVIEW
NGIQ-BR-00000387,Area 5M (SPL) right,right,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,PARTIAL_SET_CONCORDANT_REVIEW,NGIQ-BR-00000158,0.38932568,PENDING_OWNER_REVIEW
NGIQ-BR-00000388,Area 5M (SPL) left,left,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,UNCHANGED_2IA_PARTIAL_OVERLAP,NGIQ-BR-00000081,0.37735289,PENDING_OWNER_REVIEW
NGIQ-BR-00000389,Area 7P (SPL) right,right,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000138,0.57236045,PENDING_OWNER_REVIEW
NGIQ-BR-00000390,Area 7P (SPL) left,left,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,PARTIAL_SET_CONCORDANT_REVIEW,NGIQ-BR-00000137,0.36567568,PENDING_OWNER_REVIEW
NGIQ-BR-00000391,Area 5Ci (SPL) right,right,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,UNCHANGED_2IA_PARTIAL_OVERLAP,NGIQ-BR-00000082,0.48289796,PENDING_OWNER_REVIEW
NGIQ-BR-00000392,Area 5Ci (SPL) left,left,CONFLICT_REVIEW,PROBABILITY_HARDLABEL_TOP1_DISAGREEMENT,PARTIAL_SET_CONCORDANT_REVIEW,NGIQ-BR-00000191,0.47368087,PENDING_OWNER_REVIEW
NGIQ-BR-00000393,Area 7A (SPL) right,right,CONFLICT_REVIEW,HIGH_FRAGMENTATION,TRUE_DIFFUSE_CONFLICT,NGIQ-BR-00000010,0.42759607,PENDING_OWNER_REVIEW
NGIQ-BR-00000394,Area 7A (SPL) left,left,CONFLICT_REVIEW,HIGH_FRAGMENTATION,TRUE_DIFFUSE_CONFLICT,NGIQ-BR-00000009,0.25490857,PENDING_OWNER_REVIEW
NGIQ-BR-00000395,Area 3b (PostCG) right,right,CONFLICT_REVIEW,HIGH_FRAGMENTATION,TRUE_DIFFUSE_CONFLICT,NGIQ-BR-00000164,0.44187418,PENDING_OWNER_REVIEW
NGIQ-BR-00000396,Area 3b (PostCG) left,left,CONFLICT_REVIEW,HIGH_FRAGMENTATION,TRUE_DIFFUSE_CONFLICT,NGIQ-BR-00000163,0.38841742,PENDING_OWNER_REVIEW
NGIQ-BR-00000397,Area 1 (PostCG) right,right,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,UNCHANGED_2IA_PARTIAL_OVERLAP,NGIQ-BR-00000164,0.36682795,PENDING_OWNER_REVIEW
NGIQ-BR-00000398,Area 1 (PostCG) left,left,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,UNCHANGED_2IA_PARTIAL_OVERLAP,NGIQ-BR-00000163,0.33457443,PENDING_OWNER_REVIEW
NGIQ-BR-00000399,Area 2 (PostCS) right,right,CONFLICT_REVIEW,HIGH_FRAGMENTATION,TRUE_DIFFUSE_CONFLICT,NGIQ-BR-00000168,0.48672314,PENDING_OWNER_REVIEW
NGIQ-BR-00000400,Area 2 (PostCS) left,left,CONFLICT_REVIEW,HIGH_FRAGMENTATION,TRUE_DIFFUSE_CONFLICT,NGIQ-BR-00000167,0.46937888,PENDING_OWNER_REVIEW
NGIQ-BR-00000401,Area 3a (PostCG) right,right,CONFLICT_REVIEW,HIGH_FRAGMENTATION,LOW_COVERAGE_CONFLICT,NGIQ-BR-00000070,0.24329428,PENDING_OWNER_REVIEW
NGIQ-BR-00000402,Area 3a (PostCG) left,left,CONFLICT_REVIEW,HIGH_FRAGMENTATION,TRUE_DIFFUSE_CONFLICT,NGIQ-BR-00000069,0.22707158,PENDING_OWNER_REVIEW
NGIQ-BR-00000403,Area Op1 (POperc) right,right,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,UNCHANGED_2IA_PARTIAL_OVERLAP,NGIQ-BR-00000154,0.54144603,PENDING_OWNER_REVIEW
NGIQ-BR-00000404,Area Op1 (POperc) left,left,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000153,0.57932881,PENDING_OWNER_REVIEW
NGIQ-BR-00000405,Area Op2 (POperc) right,right,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,UNCHANGED_2IA_PARTIAL_OVERLAP,NGIQ-BR-00000014,0.46040715,PENDING_OWNER_REVIEW
NGIQ-BR-00000406,Area Op2 (POperc) left,left,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000013,0.53376322,PENDING_OWNER_REVIEW
NGIQ-BR-00000407,Area Op3 (POperc) right,right,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,UNCHANGED_2IA_PARTIAL_OVERLAP,NGIQ-BR-00000166,0.49941484,PENDING_OWNER_REVIEW
NGIQ-BR-00000408,Area Op3 (POperc) left,left,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,UNCHANGED_2IA_PARTIAL_OVERLAP,NGIQ-BR-00000165,0.43553426,PENDING_OWNER_REVIEW
NGIQ-BR-00000409,Area Op4 (POperc) right,right,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000166,0.54202928,PENDING_OWNER_REVIEW
NGIQ-BR-00000410,Area Op4 (POperc) left,left,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000165,0.73248195,PENDING_OWNER_REVIEW
NGIQ-BR-00000411,Area PF (IPL) right,right,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000154,0.51613716,PENDING_OWNER_REVIEW
NGIQ-BR-00000412,Area PF (IPL) left,left,PARTIAL_OVERLAP,PARTIAL_CRITERIA_V1,UNCHANGED_2IA_PARTIAL_OVERLAP,NGIQ-BR-00000149,0.40824211,PENDING_OWNER_REVIEW
NGIQ-BR-00000413,Area PFcm (IPL) right,right,APPROVE_CONTAINED_IN,CONTAINED_CRITERIA_V1,PROVISIONAL_OWNER_ACCEPTED_CONTAINED,NGIQ-BR-00000154,0.89002508,PENDING_OWNER_REVIEW
NGIQ-BR-00000414,Area PFcm (IPL) left,left,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000153,0.61055619,PENDING_OWNER_REVIEW
NGIQ-BR-00000415,Area PGa (IPL) right,right,APPROVE_DOMINANT_OVERLAP,DOMINANT_CRITERIA_V1,UNCHANGED_2IA_APPROVE_DOMINANT_OVERLAP,NGIQ-BR-00000152,0.54478728,PENDING_OWNER_REVIEW
