row_index,julich_asset_file,julich_component_id,julich_region_name,julich_hemisphere,canonical_g4_descendant_count,canonical_g4_ids,canonical_g4_entity_ids,spatial_identity_status
28,AREA_5CI_SPL_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL,Area 5Ci (SPL) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5CI_SPL_RIGHT,NGIQ-BR-00000391,ONE_TO_ONE_CANONICAL
29,AREA_5L_SPL_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5L_SPL,Area 5L (SPL) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5L_SPL_LEFT,NGIQ-BR-00000382,ONE_TO_ONE_CANONICAL
30,AREA_5L_SPL_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5L_SPL,Area 5L (SPL) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5L_SPL_RIGHT,NGIQ-BR-00000381,ONE_TO_ONE_CANONICAL
31,AREA_5M_SPL_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5M_SPL,Area 5M (SPL) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5M_SPL_LEFT,NGIQ-BR-00000388,ONE_TO_ONE_CANONICAL
32,AREA_5M_SPL_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5M_SPL,Area 5M (SPL) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_5M_SPL_RIGHT,NGIQ-BR-00000387,ONE_TO_ONE_CANONICAL
33,AREA_6D1_PRECG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D1_PRECG,Area 6d1 (PreCG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D1_PRECG_LEFT,NGIQ-BR-00000454,ONE_TO_ONE_CANONICAL
34,AREA_6D1_PRECG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D1_PRECG,Area 6d1 (PreCG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D1_PRECG_RIGHT,NGIQ-BR-00000453,ONE_TO_ONE_CANONICAL
35,AREA_6D2_PRECG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D2_PRECG,Area 6d2 (PreCG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D2_PRECG_LEFT,NGIQ-BR-00000452,ONE_TO_ONE_CANONICAL
36,AREA_6D2_PRECG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D2_PRECG,Area 6d2 (PreCG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D2_PRECG_RIGHT,NGIQ-BR-00000451,ONE_TO_ONE_CANONICAL
37,AREA_6D3_SFS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D3_SFS,Area 6d3 (SFS) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D3_SFS_LEFT,NGIQ-BR-00000514,ONE_TO_ONE_CANONICAL
38,AREA_6D3_SFS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D3_SFS,Area 6d3 (SFS) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6D3_SFS_RIGHT,NGIQ-BR-00000513,ONE_TO_ONE_CANONICAL
39,AREA_6MA_PRESMA_MESIAL_SFG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6MA_PRESMA_MESIAL_SFG,"Area 6ma (preSMA, mesial SFG) left",left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6MA_PRESMA_MESIAL_SFG_LEFT,NGIQ-BR-00000456,ONE_TO_ONE_CANONICAL
40,AREA_6MA_PRESMA_MESIAL_SFG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6MA_PRESMA_MESIAL_SFG,"Area 6ma (preSMA, mesial SFG) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6MA_PRESMA_MESIAL_SFG_RIGHT,NGIQ-BR-00000455,ONE_TO_ONE_CANONICAL
41,AREA_6MP_SMA_MESIAL_SFG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6MP_SMA_MESIAL_SFG,"Area 6mp (SMA, mesial SFG) left",left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6MP_SMA_MESIAL_SFG_LEFT,NGIQ-BR-00000462,ONE_TO_ONE_CANONICAL
42,AREA_6MP_SMA_MESIAL_SFG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6MP_SMA_MESIAL_SFG,"Area 6mp (SMA, mesial SFG) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6MP_SMA_MESIAL_SFG_RIGHT,NGIQ-BR-00000461,ONE_TO_ONE_CANONICAL
43,AREA_6R1_PRECG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6R1_PRECG,Area 6r1 (PreCG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6R1_PRECG_LEFT,NGIQ-BR-00000448,ONE_TO_ONE_CANONICAL
44,AREA_6R1_PRECG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6R1_PRECG,Area 6r1 (PreCG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6R1_PRECG_RIGHT,NGIQ-BR-00000447,ONE_TO_ONE_CANONICAL
45,AREA_6V1_PRECG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6V1_PRECG,Area 6v1 (PreCG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6V1_PRECG_LEFT,NGIQ-BR-00000450,ONE_TO_ONE_CANONICAL
46,AREA_6V1_PRECG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6V1_PRECG,Area 6v1 (PreCG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6V1_PRECG_RIGHT,NGIQ-BR-00000449,ONE_TO_ONE_CANONICAL
47,AREA_6V2_PRECG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6V2_PRECG,Area 6v2 (PreCG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6V2_PRECG_LEFT,NGIQ-BR-00000446,ONE_TO_ONE_CANONICAL
48,AREA_6V2_PRECG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6V2_PRECG,Area 6v2 (PreCG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6V2_PRECG_RIGHT,NGIQ-BR-00000445,ONE_TO_ONE_CANONICAL
49,AREA_6V3_PRECG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6V3_PRECG,Area 6v3 (PreCG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6V3_PRECG_LEFT,NGIQ-BR-00000444,ONE_TO_ONE_CANONICAL
50,AREA_6V3_PRECG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6V3_PRECG,Area 6v3 (PreCG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_6V3_PRECG_RIGHT,NGIQ-BR-00000443,ONE_TO_ONE_CANONICAL
51,AREA_7A_SPL_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7A_SPL,Area 7A (SPL) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7A_SPL_LEFT,NGIQ-BR-00000394,ONE_TO_ONE_CANONICAL
52,AREA_7A_SPL_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7A_SPL,Area 7A (SPL) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7A_SPL_RIGHT,NGIQ-BR-00000393,ONE_TO_ONE_CANONICAL
53,AREA_7M_SPL_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7M_SPL,Area 7M (SPL) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7M_SPL_LEFT,NGIQ-BR-00000384,ONE_TO_ONE_CANONICAL
54,AREA_7M_SPL_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7M_SPL,Area 7M (SPL) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7M_SPL_RIGHT,NGIQ-BR-00000383,ONE_TO_ONE_CANONICAL
55,AREA_7PC_SPL_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7PC_SPL,Area 7PC (SPL) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7PC_SPL_LEFT,NGIQ-BR-00000386,ONE_TO_ONE_CANONICAL
56,AREA_7PC_SPL_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7PC_SPL,Area 7PC (SPL) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7PC_SPL_RIGHT,NGIQ-BR-00000385,ONE_TO_ONE_CANONICAL
57,AREA_7P_SPL_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7P_SPL,Area 7P (SPL) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7P_SPL_LEFT,NGIQ-BR-00000390,ONE_TO_ONE_CANONICAL
58,AREA_7P_SPL_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7P_SPL,Area 7P (SPL) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_7P_SPL_RIGHT,NGIQ-BR-00000389,ONE_TO_ONE_CANONICAL
59,AREA_8D1_SFG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8D1_SFG,Area 8d1 (SFG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8D1_SFG_LEFT,NGIQ-BR-00000526,ONE_TO_ONE_CANONICAL
60,AREA_8D1_SFG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8D1_SFG,Area 8d1 (SFG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8D1_SFG_RIGHT,NGIQ-BR-00000525,ONE_TO_ONE_CANONICAL
61,AREA_8D2_SFG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8D2_SFG,Area 8d2 (SFG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8D2_SFG_LEFT,NGIQ-BR-00000524,ONE_TO_ONE_CANONICAL
62,AREA_8D2_SFG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8D2_SFG,Area 8d2 (SFG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8D2_SFG_RIGHT,NGIQ-BR-00000523,ONE_TO_ONE_CANONICAL
63,AREA_8V1_MFG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V1_MFG,Area 8v1 (MFG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V1_MFG_LEFT,NGIQ-BR-00000506,ONE_TO_ONE_CANONICAL
64,AREA_8V1_MFG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V1_MFG,Area 8v1 (MFG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V1_MFG_RIGHT,NGIQ-BR-00000505,ONE_TO_ONE_CANONICAL
65,AREA_8V2_MFG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V2_MFG,Area 8v2 (MFG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V2_MFG_LEFT,NGIQ-BR-00000504,ONE_TO_ONE_CANONICAL
66,AREA_8V2_MFG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V2_MFG,Area 8v2 (MFG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_8V2_MFG_RIGHT,NGIQ-BR-00000503,ONE_TO_ONE_CANONICAL
67,AREA_COS1_COS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_COS1_COS,Area CoS1 (CoS) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_COS1_COS_LEFT,NGIQ-BR-00000594,ONE_TO_ONE_CANONICAL
68,AREA_COS1_COS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_COS1_COS,Area CoS1 (CoS) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_COS1_COS_RIGHT,NGIQ-BR-00000593,ONE_TO_ONE_CANONICAL
69,AREA_EC_HIPPOCAMPAL_REGION_ENTORHINAL_CORTEX_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_EC_HIPPOCAMPAL_REGION_ENTORHINAL_CORTEX,"Area EC (Hippocampal Region, Entorhinal Cortex) left",left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_EC_HIPPOCAMPAL_REGION_ENTORHINAL_CORTEX_LEFT,NGIQ-BR-00000682,ONE_TO_ONE_CANONICAL
70,AREA_EC_HIPPOCAMPAL_REGION_ENTORHINAL_CORTEX_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_EC_HIPPOCAMPAL_REGION_ENTORHINAL_CORTEX,"Area EC (Hippocampal Region, Entorhinal Cortex) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_EC_HIPPOCAMPAL_REGION_ENTORHINAL_CORTEX_RIGHT,NGIQ-BR-00000681,ONE_TO_ONE_CANONICAL
71,AREA_FG1_FUSG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG1_FUSG,Area FG1 (FusG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG1_FUSG_LEFT,NGIQ-BR-00000606,ONE_TO_ONE_CANONICAL
72,AREA_FG1_FUSG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG1_FUSG,Area FG1 (FusG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG1_FUSG_RIGHT,NGIQ-BR-00000605,ONE_TO_ONE_CANONICAL
73,AREA_FG2_FUSG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG2_FUSG,Area FG2 (FusG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG2_FUSG_LEFT,NGIQ-BR-00000602,ONE_TO_ONE_CANONICAL
74,AREA_FG2_FUSG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG2_FUSG,Area FG2 (FusG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG2_FUSG_RIGHT,NGIQ-BR-00000601,ONE_TO_ONE_CANONICAL
75,AREA_FG3_FUSG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG3_FUSG,Area FG3 (FusG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG3_FUSG_LEFT,NGIQ-BR-00000604,ONE_TO_ONE_CANONICAL
76,AREA_FG3_FUSG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG3_FUSG,Area FG3 (FusG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG3_FUSG_RIGHT,NGIQ-BR-00000603,ONE_TO_ONE_CANONICAL
77,AREA_FG4_FUSG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG4_FUSG,Area FG4 (FusG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG4_FUSG_LEFT,NGIQ-BR-00000608,ONE_TO_ONE_CANONICAL
78,AREA_FG4_FUSG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG4_FUSG,Area FG4 (FusG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG4_FUSG_RIGHT,NGIQ-BR-00000607,ONE_TO_ONE_CANONICAL
79,AREA_FG5_FUSG_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG5_FUSG,Area FG5 (FusG) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG5_FUSG_LEFT,NGIQ-BR-00000600,ONE_TO_ONE_CANONICAL
80,AREA_FG5_FUSG_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG5_FUSG,Area FG5 (FusG) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FG5_FUSG_RIGHT,NGIQ-BR-00000599,ONE_TO_ONE_CANONICAL
81,AREA_FO1_OFC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO1_OFC,Area Fo1 (OFC) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO1_OFC_LEFT,NGIQ-BR-00000464,ONE_TO_ONE_CANONICAL
82,AREA_FO1_OFC_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO1_OFC,Area Fo1 (OFC) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO1_OFC_RIGHT,NGIQ-BR-00000463,ONE_TO_ONE_CANONICAL
83,AREA_FO2_OFC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO2_OFC,Area Fo2 (OFC) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO2_OFC_LEFT,NGIQ-BR-00000468,ONE_TO_ONE_CANONICAL
84,AREA_FO2_OFC_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO2_OFC,Area Fo2 (OFC) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO2_OFC_RIGHT,NGIQ-BR-00000467,ONE_TO_ONE_CANONICAL
85,AREA_FO3_OFC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO3_OFC,Area Fo3 (OFC) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO3_OFC_LEFT,NGIQ-BR-00000466,ONE_TO_ONE_CANONICAL
86,AREA_FO3_OFC_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO3_OFC,Area Fo3 (OFC) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO3_OFC_RIGHT,NGIQ-BR-00000465,ONE_TO_ONE_CANONICAL
87,AREA_FO4_OFC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO4_OFC,Area Fo4 (OFC) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO4_OFC_LEFT,NGIQ-BR-00000536,ONE_TO_ONE_CANONICAL
88,AREA_FO4_OFC_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO4_OFC,Area Fo4 (OFC) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO4_OFC_RIGHT,NGIQ-BR-00000535,ONE_TO_ONE_CANONICAL
89,AREA_FO5_OFC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO5_OFC,Area Fo5 (OFC) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO5_OFC_LEFT,NGIQ-BR-00000532,ONE_TO_ONE_CANONICAL
90,AREA_FO5_OFC_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO5_OFC,Area Fo5 (OFC) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO5_OFC_RIGHT,NGIQ-BR-00000531,ONE_TO_ONE_CANONICAL
91,AREA_FO6_OFC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO6_OFC,Area Fo6 (OFC) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO6_OFC_LEFT,NGIQ-BR-00000530,ONE_TO_ONE_CANONICAL
92,AREA_FO6_OFC_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO6_OFC,Area Fo6 (OFC) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO6_OFC_RIGHT,NGIQ-BR-00000529,ONE_TO_ONE_CANONICAL
93,AREA_FO7_OFC_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO7_OFC,Area Fo7 (OFC) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO7_OFC_LEFT,NGIQ-BR-00000534,ONE_TO_ONE_CANONICAL
94,AREA_FO7_OFC_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO7_OFC,Area Fo7 (OFC) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FO7_OFC_RIGHT,NGIQ-BR-00000533,ONE_TO_ONE_CANONICAL
95,AREA_FP1_FPOLE_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FP1_FPOLE,Area Fp1 (FPole) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FP1_FPOLE_LEFT,NGIQ-BR-00000458,ONE_TO_ONE_CANONICAL
96,AREA_FP1_FPOLE_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FP1_FPOLE,Area Fp1 (FPole) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FP1_FPOLE_RIGHT,NGIQ-BR-00000457,ONE_TO_ONE_CANONICAL
97,AREA_FP2_FPOLE_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FP2_FPOLE,Area Fp2 (FPole) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FP2_FPOLE_LEFT,NGIQ-BR-00000460,ONE_TO_ONE_CANONICAL
98,AREA_FP2_FPOLE_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FP2_FPOLE,Area Fp2 (FPole) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_FP2_FPOLE_RIGHT,NGIQ-BR-00000459,ONE_TO_ONE_CANONICAL
99,AREA_HIP1_IPS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP1_IPS,Area hIP1 (IPS) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP1_IPS_LEFT,NGIQ-BR-00000428,ONE_TO_ONE_CANONICAL
100,AREA_HIP1_IPS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP1_IPS,Area hIP1 (IPS) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP1_IPS_RIGHT,NGIQ-BR-00000427,ONE_TO_ONE_CANONICAL
101,AREA_HIP2_IPS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP2_IPS,Area hIP2 (IPS) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP2_IPS_LEFT,NGIQ-BR-00000434,ONE_TO_ONE_CANONICAL
102,AREA_HIP2_IPS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP2_IPS,Area hIP2 (IPS) right,right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP2_IPS_RIGHT,NGIQ-BR-00000433,ONE_TO_ONE_CANONICAL
103,AREA_HIP3_IPS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP3_IPS,Area hIP3 (IPS) left,left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_AREA_HIP3_IPS_LEFT,NGIQ-BR-00000432,ONE_TO_ONE_CANONICAL
