row_index,julich_asset_file,julich_component_id,julich_region_name,julich_hemisphere,canonical_g4_descendant_count,canonical_g4_ids,canonical_g4_entity_ids,spatial_identity_status
344,NFAST_CEREBELLUM_FASTIGIAL_NUCLEUS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NFAST_CEREBELLUM_FASTIGIAL_NUCLEUS,"Nfast (Cerebellum, Fastigial Nucleus) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NFAST_CEREBELLUM_FASTIGIAL_NUCLEUS_RIGHT,NGIQ-BR-00000703,ONE_TO_ONE_CANONICAL
345,NINTERP_CEREBELLUM_INTERPOSED_NUCLEUS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NINTERP_CEREBELLUM_INTERPOSED_NUCLEUS,"Ninterp (Cerebellum, Interposed Nucleus) left",left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NINTERP_CEREBELLUM_INTERPOSED_NUCLEUS_LEFT,NGIQ-BR-00000698,ONE_TO_ONE_CANONICAL
346,NINTERP_CEREBELLUM_INTERPOSED_NUCLEUS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NINTERP_CEREBELLUM_INTERPOSED_NUCLEUS,"Ninterp (Cerebellum, Interposed Nucleus) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NINTERP_CEREBELLUM_INTERPOSED_NUCLEUS_RIGHT,NGIQ-BR-00000697,ONE_TO_ONE_CANONICAL
347,NRM_MIDBRAIN_NUCLEUS_RUBER_MAGNOCELLULAR_PART_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NRM_MIDBRAIN_NUCLEUS_RUBER_MAGNOCELLULAR_PART,"NRm (Midbrain, Nucleus Ruber, magnocellular part) left",left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NRM_MIDBRAIN_NUCLEUS_RUBER_MAGNOCELLULAR_PART_LEFT,NGIQ-BR-00000696,ONE_TO_ONE_CANONICAL
348,NRM_MIDBRAIN_NUCLEUS_RUBER_MAGNOCELLULAR_PART_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NRM_MIDBRAIN_NUCLEUS_RUBER_MAGNOCELLULAR_PART,"NRm (Midbrain, Nucleus Ruber, magnocellular part) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NRM_MIDBRAIN_NUCLEUS_RUBER_MAGNOCELLULAR_PART_RIGHT,NGIQ-BR-00000695,ONE_TO_ONE_CANONICAL
349,NRP_MIDBRAIN_NUCLEUS_RUBER_PARVOCELLULAR_PART_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NRP_MIDBRAIN_NUCLEUS_RUBER_PARVOCELLULAR_PART,"NRp (Midbrain, Nucleus Ruber, parvocellular part) left",left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NRP_MIDBRAIN_NUCLEUS_RUBER_PARVOCELLULAR_PART_LEFT,NGIQ-BR-00000694,ONE_TO_ONE_CANONICAL
350,NRP_MIDBRAIN_NUCLEUS_RUBER_PARVOCELLULAR_PART_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NRP_MIDBRAIN_NUCLEUS_RUBER_PARVOCELLULAR_PART,"NRp (Midbrain, Nucleus Ruber, parvocellular part) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_NRP_MIDBRAIN_NUCLEUS_RUBER_PARVOCELLULAR_PART_RIGHT,NGIQ-BR-00000693,ONE_TO_ONE_CANONICAL
351,PF_THALAMUS_PARAFASCICULAR_NUCLEUS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PF_THALAMUS_PARAFASCICULAR_NUCLEUS,"Pf (Thalamus, parafascicular Nucleus) left",left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PF_THALAMUS_PARAFASCICULAR_NUCLEUS_LEFT,NGIQ-BR-00000766,ONE_TO_ONE_CANONICAL
352,PF_THALAMUS_PARAFASCICULAR_NUCLEUS_RIGHT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PF_THALAMUS_PARAFASCICULAR_NUCLEUS,"Pf (Thalamus, parafascicular Nucleus) right",right,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PF_THALAMUS_PARAFASCICULAR_NUCLEUS_RIGHT,NGIQ-BR-00000765,ONE_TO_ONE_CANONICAL
353,PO_THALAMUS_POSTERIOR_NUCLEUS_LEFT.nii.gz,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PO_THALAMUS_POSTERIOR_NUCLEUS,"Po (Thalamus, posterior Nucleus) left",left,1,JULICH_BRAIN_CYTOARCHITECTONIC_ATLAS_V3_1_PO_THALAMUS_POSTERIOR_NUCLEUS_LEFT,NGIQ-BR-00000722,ONE_TO_ONE_CANONICAL
